ablation_family,ablation_name,model_name,split,metric_name,fold_count,metric_value_mean,baseline_value_mean,delta_vs_baseline_mean,delta_vs_baseline_std,status
calibration,confidence_threshold_0,elastic_net,test,eligible_predictions,5,16671.4,16671.4,0.0,0.0,ok
calibration,confidence_threshold_0,elastic_net,test,hit_rate_proxy,5,0.6021972891566216,0.6021972891566216,0.0,0.0,ok
calibration,confidence_threshold_0,gradient_boosting,test,eligible_predictions,5,16671.4,16671.4,0.0,0.0,ok
calibration,confidence_threshold_0,gradient_boosting,test,hit_rate_proxy,5,0.6197996238882171,0.6197996238882171,0.0,0.0,ok
calibration,confidence_threshold_0,logistic,test,eligible_predictions,5,16671.4,16671.4,0.0,0.0,ok
calibration,confidence_threshold_0,logistic,test,hit_rate_proxy,5,0.6021438145248628,0.6021438145248628,0.0,0.0,ok
calibration,confidence_threshold_0,majority,test,eligible_predictions,5,16671.4,16671.4,0.0,0.0,ok
calibration,confidence_threshold_0,majority,test,hit_rate_proxy,5,0.5893700656289758,0.5893700656289758,0.0,0.0,ok
calibration,confidence_threshold_0,random_forest,test,eligible_predictions,5,16671.4,16671.4,0.0,0.0,ok
calibration,confidence_threshold_0,random_forest,test,hit_rate_proxy,5,0.601966374238325,0.601966374238325,0.0,0.0,ok
calibration,confidence_threshold_0.5,elastic_net,test,eligible_predictions,5,11815.4,16671.4,-4856.0,1461.8980812628492,ok
calibration,confidence_threshold_0.5,elastic_net,test,hit_rate_proxy,5,0.664685541534993,0.6021972891566216,0.06248825237837141,0.009257072494851954,ok
calibration,confidence_threshold_0.5,gradient_boosting,test,eligible_predictions,5,12012.0,16671.4,-4659.4,1048.404616548401,ok
calibration,confidence_threshold_0.5,gradient_boosting,test,hit_rate_proxy,5,0.6933600895951877,0.6197996238882171,0.07356046570697065,0.008051791645190338,ok
calibration,confidence_threshold_0.5,logistic,test,eligible_predictions,5,11818.8,16671.4,-4852.6,1465.608624428773,ok
calibration,confidence_threshold_0.5,logistic,test,hit_rate_proxy,5,0.6646273435883423,0.6021438145248628,0.06248352906347954,0.009302176502003465,ok
calibration,confidence_threshold_0.5,majority,test,eligible_predictions,5,16671.4,16671.4,0.0,0.0,ok
calibration,confidence_threshold_0.5,majority,test,hit_rate_proxy,5,0.5893700656289758,0.5893700656289758,0.0,0.0,ok
calibration,confidence_threshold_0.5,random_forest,test,eligible_predictions,5,8857.2,16671.4,-7814.2,2409.8011868201907,ok
calibration,confidence_threshold_0.5,random_forest,test,hit_rate_proxy,5,0.7085968675976854,0.601966374238325,0.10663049335936033,0.022474227501886997,ok
calibration,confidence_threshold_0.6,elastic_net,test,eligible_predictions,5,7270.2,16671.4,-9401.2,2357.989855788188,ok
calibration,confidence_threshold_0.6,elastic_net,test,hit_rate_proxy,5,0.7140105673425973,0.6021972891566216,0.11181327818597556,0.01200994244870149,ok
calibration,confidence_threshold_0.6,gradient_boosting,test,eligible_predictions,5,8445.4,16671.4,-8226.0,2365.2604930535663,ok
calibration,confidence_threshold_0.6,gradient_boosting,test,hit_rate_proxy,5,0.7423152849964688,0.6197996238882171,0.12251566110825185,0.007670099596970528,ok
calibration,confidence_threshold_0.6,logistic,test,eligible_predictions,5,7271.0,16671.4,-9400.4,2358.1260865356626,ok
calibration,confidence_threshold_0.6,logistic,test,hit_rate_proxy,5,0.7138783064173013,0.6021438145248628,0.11173449189243848,0.012133208058604681,ok
calibration,confidence_threshold_0.6,majority,test,eligible_predictions,5,16671.4,16671.4,0.0,0.0,ok
calibration,confidence_threshold_0.6,majority,test,hit_rate_proxy,5,0.5893700656289758,0.5893700656289758,0.0,0.0,ok
calibration,confidence_threshold_0.6,random_forest,test,eligible_predictions,5,4499.8,16671.4,-12171.6,3052.9687584382514,ok
calibration,confidence_threshold_0.6,random_forest,test,hit_rate_proxy,5,0.7703557699654018,0.601966374238325,0.16838939572707673,0.027235896756015246,ok
calibration,confidence_threshold_0.7,elastic_net,test,eligible_predictions,5,3326.2,16671.4,-13345.2,2696.454961611634,ok
calibration,confidence_threshold_0.7,elastic_net,test,hit_rate_proxy,5,0.7695209616545303,0.6021972891566216,0.16732367249790864,0.015481405293119008,ok
calibration,confidence_threshold_0.7,gradient_boosting,test,eligible_predictions,5,4480.6,16671.4,-12190.8,2864.3471437659227,ok
calibration,confidence_threshold_0.7,gradient_boosting,test,hit_rate_proxy,5,0.7961569734945371,0.6197996238882171,0.17635734960631996,0.02275539946815614,ok
calibration,confidence_threshold_0.7,logistic,test,eligible_predictions,5,3329.4,16671.4,-13342.0,2697.260758621606,ok
calibration,confidence_threshold_0.7,logistic,test,hit_rate_proxy,5,0.7697476525118125,0.6021438145248628,0.16760383798694972,0.015382951494603616,ok
calibration,confidence_threshold_0.7,majority,test,eligible_predictions,5,0.0,16671.4,-16671.4,2758.3766675347297,ok
calibration,confidence_threshold_0.7,majority,test,hit_rate_proxy,5,0.0,0.5893700656289758,-0.5893700656289758,0.03524980699865622,ok
calibration,confidence_threshold_0.7,random_forest,test,eligible_predictions,5,1942.4,16671.4,-14729.0,2571.2497350510316,ok
calibration,confidence_threshold_0.7,random_forest,test,hit_rate_proxy,5,0.8063109938523901,0.601966374238325,0.20434461961406516,0.015716809598007492,ok
calibration,reliability_ece,elastic_net,test,ece,5,0.0203995908571121,0.0,0.0203995908571121,0.007682251339680221,ok
calibration,reliability_ece,gradient_boosting,test,ece,5,0.0245443929402979,0.0,0.0245443929402979,0.014393801650746102,ok
calibration,reliability_ece,logistic,test,ece,5,0.02056450997143542,0.0,0.02056450997143542,0.007462458635432232,ok
calibration,reliability_ece,majority,test,ece,5,0.024285120472328777,0.0,0.024285120472328777,0.01324426018118277,ok
calibration,reliability_ece,random_forest,test,ece,5,0.07294956695317911,0.0,0.07294956695317911,0.022756195160658337,ok
execution,cost_0.5_latency_0,elastic_net,test,gross_signal_return_proxy,5,19.697543779947186,19.697543779947186,0.0,0.0,ok
execution,cost_0.5_latency_0,elastic_net,test,net_signal_return_proxy,5,19.197543779947186,19.697543779947186,-0.5,0.0,ok
execution,cost_0.5_latency_0,elastic_net,test,turnover_proxy,5,15811.0,15811.0,0.0,0.0,ok
execution,cost_0.5_latency_0,gradient_boosting,test,gross_signal_return_proxy,5,13.028808645291075,13.028808645291075,0.0,0.0,ok
execution,cost_0.5_latency_0,gradient_boosting,test,net_signal_return_proxy,5,12.528808645291075,13.028808645291075,-0.5,0.0,ok
execution,cost_0.5_latency_0,gradient_boosting,test,turnover_proxy,5,15346.4,15346.4,0.0,0.0,ok
execution,cost_0.5_latency_0,logistic,test,gross_signal_return_proxy,5,19.69851517367156,19.69851517367156,0.0,0.0,ok
execution,cost_0.5_latency_0,logistic,test,net_signal_return_proxy,5,19.19851517367156,19.69851517367156,-0.5,0.0,ok
execution,cost_0.5_latency_0,logistic,test,turnover_proxy,5,15809.2,15809.2,0.0,0.0,ok
execution,cost_0.5_latency_0,majority,test,gross_signal_return_proxy,5,21.28622984703073,21.28622984703073,0.0,0.0,ok
execution,cost_0.5_latency_0,majority,test,net_signal_return_proxy,5,20.78622984703073,21.28622984703073,-0.5,0.0,ok
execution,cost_0.5_latency_0,majority,test,turnover_proxy,5,16671.4,16671.4,0.0,0.0,ok
execution,cost_0.5_latency_0,random_forest,test,gross_signal_return_proxy,5,9.824365963998629,9.824365963998629,0.0,0.0,ok
execution,cost_0.5_latency_0,random_forest,test,net_signal_return_proxy,5,9.324365963998629,9.824365963998629,-0.5000000000000007,1.4217791915866692e-15,ok
execution,cost_0.5_latency_0,random_forest,test,turnover_proxy,5,15191.0,15191.0,0.0,0.0,ok
execution,cost_0.5_latency_1,elastic_net,test,gross_signal_return_proxy,5,19.538370452466474,19.697543779947186,-0.15917332748070834,0.122602914020889,ok
execution,cost_0.5_latency_1,elastic_net,test,net_signal_return_proxy,5,19.038370452466474,19.697543779947186,-0.6591733274807083,0.122602914020889,ok
execution,cost_0.5_latency_1,elastic_net,test,turnover_proxy,5,15810.0,15811.0,-1.0,0.0,ok
execution,cost_0.5_latency_1,gradient_boosting,test,gross_signal_return_proxy,5,10.597473661826209,13.028808645291075,-2.4313349834648688,2.2496714685540002,ok
execution,cost_0.5_latency_1,gradient_boosting,test,net_signal_return_proxy,5,10.097473661826209,13.028808645291075,-2.9313349834648688,2.2496714685540002,ok
execution,cost_0.5_latency_1,gradient_boosting,test,turnover_proxy,5,15345.6,15346.4,-0.8,0.4000000000000001,ok
execution,cost_0.5_latency_1,logistic,test,gross_signal_return_proxy,5,19.542644675501855,19.69851517367156,-0.15587049816970194,0.12560272524472263,ok
execution,cost_0.5_latency_1,logistic,test,net_signal_return_proxy,5,19.042644675501855,19.69851517367156,-0.6558704981697019,0.12560272524472263,ok
execution,cost_0.5_latency_1,logistic,test,turnover_proxy,5,15808.2,15809.2,-1.0,0.0,ok
execution,cost_0.5_latency_1,majority,test,gross_signal_return_proxy,5,21.28582479955753,21.28622984703073,-0.000405047473199005,0.004626371985088749,ok
execution,cost_0.5_latency_1,majority,test,net_signal_return_proxy,5,20.78582479955753,21.28622984703073,-0.500405047473199,0.004626371985088749,ok
execution,cost_0.5_latency_1,majority,test,turnover_proxy,5,16670.4,16671.4,-1.0,0.0,ok
execution,cost_0.5_latency_1,random_forest,test,gross_signal_return_proxy,5,9.963590599004672,9.824365963998629,0.13922463500604185,1.1030902606123467,ok
execution,cost_0.5_latency_1,random_forest,test,net_signal_return_proxy,5,9.463590599004672,9.824365963998629,-0.3607753649939581,1.1030902606123467,ok
execution,cost_0.5_latency_1,random_forest,test,turnover_proxy,5,15190.0,15191.0,-1.0,0.0,ok
execution,cost_0_latency_0,elastic_net,test,gross_signal_return_proxy,5,19.697543779947186,19.697543779947186,0.0,0.0,ok
execution,cost_0_latency_0,elastic_net,test,net_signal_return_proxy,5,19.697543779947186,19.697543779947186,0.0,0.0,ok
execution,cost_0_latency_0,elastic_net,test,turnover_proxy,5,15811.0,15811.0,0.0,0.0,ok
execution,cost_0_latency_0,gradient_boosting,test,gross_signal_return_proxy,5,13.028808645291075,13.028808645291075,0.0,0.0,ok
execution,cost_0_latency_0,gradient_boosting,test,net_signal_return_proxy,5,13.028808645291075,13.028808645291075,0.0,0.0,ok
execution,cost_0_latency_0,gradient_boosting,test,turnover_proxy,5,15346.4,15346.4,0.0,0.0,ok
execution,cost_0_latency_0,logistic,test,gross_signal_return_proxy,5,19.69851517367156,19.69851517367156,0.0,0.0,ok
execution,cost_0_latency_0,logistic,test,net_signal_return_proxy,5,19.69851517367156,19.69851517367156,0.0,0.0,ok
execution,cost_0_latency_0,logistic,test,turnover_proxy,5,15809.2,15809.2,0.0,0.0,ok
execution,cost_0_latency_0,majority,test,gross_signal_return_proxy,5,21.28622984703073,21.28622984703073,0.0,0.0,ok
execution,cost_0_latency_0,majority,test,net_signal_return_proxy,5,21.28622984703073,21.28622984703073,0.0,0.0,ok
execution,cost_0_latency_0,majority,test,turnover_proxy,5,16671.4,16671.4,0.0,0.0,ok
execution,cost_0_latency_0,random_forest,test,gross_signal_return_proxy,5,9.824365963998629,9.824365963998629,0.0,0.0,ok
