model_family,pretraining_objective,horizon,threshold,run_group_count,ok_group_count,status,mean_retained_sample_fraction,mean_active_trade_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_trade_hit_rate,mean_gross_directional_proxy,mean_net_cost_adjusted_proxy,payoff_mode,cost_mode
matrix_transformer,masked_reconstruction,10,0.33,15,15,ok,1.0,0.5052264409832705,0.4061412567720745,0.323277585413822,0.21242387545312644,-10224.2,-10224.2,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.35,15,15,ok,0.9928334841197193,0.5007011013389,0.40700672539038557,0.32304037274735464,0.2122145395118907,-10135.333333333334,-10135.333333333334,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.4,15,15,ok,0.8951123937637592,0.4322572188808076,0.42125844078374247,0.31964084628879497,0.20824034193128113,-8836.133333333333,-8836.133333333333,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.45,15,15,ok,0.7118106281745207,0.29291993964709523,0.4635039081386745,0.3138210139295666,0.21152749250202826,-6041.8,-6041.8,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.5,15,15,ok,0.5339853219677075,0.15999561960680717,0.5243306906446128,0.309610059201543,0.1999579343908656,-3328.4,-3328.4,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.55,15,15,ok,0.412629841630721,0.0808895212829022,0.5859753170725329,0.30666588889130736,0.19628961273288723,-1693.3333333333333,-1693.3333333333333,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.6,15,15,ok,0.31596148811363345,0.026251919972020882,0.6473604278940037,0.3028981858755485,0.21973929502891903,-558.3333333333334,-558.3333333333334,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.65,15,14,ok,0.21419703089461534,0.008780521543061658,0.7255455222194168,0.31097654454268486,0.19290849939305685,-208.0,-208.0,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.7,15,13,ok,0.15717997142959178,0.0023678115390002616,0.760178107713313,0.3050604436848723,0.18347629296342888,-62.69230769230769,-62.69230769230769,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.75,15,13,ok,0.11342980480956194,0.00034855496800068335,0.7947372143656152,0.30121383210543634,0.301445787077971,-9.461538461538462,-9.461538461538462,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.8,15,12,ok,0.07334296460876769,0.0,0.8811789424707053,0.31217536311195976,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.85,15,11,ok,0.03504092222364612,0.0,0.9502288414461408,0.32472609683331655,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.9,15,8,ok,0.024565485614809413,0.0,0.970613327195728,0.3283092692861636,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,10,0.95,15,2,ok,0.0011627015562313138,0.0,1.0,0.3333333333333333,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.33,15,15,ok,1.0,0.630742201644663,0.3930936856239708,0.35466020870184706,0.29474679040263135,-9021.933333333332,-9021.933333333332,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.35,15,15,ok,0.9926512602061199,0.6256488037509784,0.39354614715459857,0.354874546454724,0.2947277217980436,-8954.8,-8954.8,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.4,15,15,ok,0.8811132400105031,0.5418865154255237,0.3991628399564469,0.3536338949917906,0.29127594224495307,-7954.666666666667,-7954.666666666667,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.45,15,15,ok,0.7014158812637151,0.403005800438745,0.4138628661053419,0.34893431260792657,0.2858702018706385,-6128.333333333333,-6128.333333333333,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.5,15,15,ok,0.49859705148552125,0.24970610839715662,0.4539752462621597,0.35134997776713955,0.2919663953808785,-3748.6,-3748.6,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.55,15,15,ok,0.30881512428282787,0.13460090164194236,0.5014515758564744,0.3520243245200433,0.299925928063723,-1990.5333333333333,-1990.5333333333333,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.6,15,15,ok,0.1933347914641665,0.06464832586324322,0.5335764581703003,0.33043880396486197,0.28606408637976694,-970.3333333333334,-970.3333333333334,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.65,15,15,ok,0.12184550041009458,0.02602146203822727,0.5876471467262604,0.31669422459368607,0.28103221254430966,-414.73333333333335,-414.73333333333335,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.7,15,13,ok,0.08045219545460203,0.008669444377923961,0.7538603867018255,0.3418552609300701,0.30558428685448946,-165.53846153846155,-165.53846153846155,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.75,15,13,ok,0.045647389205336404,0.002096131974883643,0.799181090840034,0.30530484736770214,0.4225203446609449,-49.46153846153846,-49.46153846153846,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.8,15,12,ok,0.030074225347102104,0.00045051517065230524,0.8521940783159354,0.2996951784187127,0.07714285714285714,-12.25,-12.25,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.85,15,9,ok,0.02453554092347278,0.0,0.9451354970529535,0.32379908369629196,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.9,15,7,ok,0.010596454808263777,0.0,0.9709586678146372,0.32833554937507153,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,20,0.95,15,0,skipped,3.407184047564289e-06,0.0,,,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.33,15,15,ok,1.0,0.8176541798996632,0.43675621570771334,0.41475508660939525,0.4151952633967967,-4922.266666666666,-4922.266666666666,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.35,15,15,ok,0.9875318205018595,0.8078558134170641,0.4380715688537853,0.4155057794661497,0.4162644347401247,-4777.266666666666,-4777.266666666666,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.4,15,15,ok,0.8576803928501568,0.7058148965472721,0.44563177648017127,0.41597084754214314,0.4218490065638665,-3834.4666666666667,-3834.4666666666667,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.45,15,15,ok,0.6750832041572316,0.5549586262086738,0.45931861775116956,0.41438499253700056,0.43008990041574274,-2773.8,-2773.8,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.5,15,15,ok,0.4903172126725767,0.39688710812013445,0.4787253836572913,0.4207597987317028,0.44161448636792555,-1843.0666666666666,-1843.0666666666666,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.55,15,15,ok,0.34160547321584933,0.2697870211612214,0.48776055717950234,0.4079542135646585,0.4403685606723385,-1126.6666666666667,-1126.6666666666667,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.6,15,15,ok,0.21971958843924072,0.16494037164636677,0.494126008816664,0.39294742374687475,0.4271080441310128,-616.8,-616.8,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.65,15,15,ok,0.12369173411763605,0.08298785353468913,0.5451481161714687,0.40109066555428374,0.450335397313728,-252.4,-252.4,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.7,15,14,ok,0.06535100294217717,0.032980592599904816,0.6661208471499516,0.4285540970728949,0.5007011795316871,-101.28571428571429,-101.28571428571429,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.75,15,14,ok,0.03411872951617979,0.0105398662591075,0.7924095711705929,0.38623845112540955,0.46092374287985893,-10.5,-10.5,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.8,15,13,ok,0.020718332431666896,0.004424951685400634,0.845649214289709,0.31956981778333815,0.37828611911791665,19.46153846153846,19.46153846153846,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.85,15,13,ok,0.01009477468646937,0.0016548669937878357,0.8920307102332312,0.32555660839150735,0.5324409151566232,12.923076923076923,12.923076923076923,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.9,15,8,ok,0.002308112144129092,0.0001465683464484861,0.8347440762305429,0.2840748680481816,0.36585365853658536,1.875,1.875,unit_payoff,unit_proxy
matrix_transformer,masked_reconstruction,50,0.95,15,0,skipped,0.0,0.0,,,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.33,15,15,ok,1.0,0.11431133390028873,0.5570450580658334,0.273269787401566,0.17222460128265285,-2465.4666666666667,-2465.4666666666667,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.35,15,15,ok,0.9979146732144578,0.11293936179837169,0.5572996187840704,0.2729652942532607,0.17183646423089427,-2438.3333333333335,-2438.3333333333335,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.4,15,15,ok,0.9731238645044513,0.09681324954889013,0.5610454140539459,0.27078136785709855,0.16822299657628598,-2096.3333333333335,-2096.3333333333335,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.45,15,15,ok,0.9315969198826827,0.07445549792233876,0.5675989408518378,0.269090410148389,0.17405920166772143,-1623.6,-1623.6,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.5,15,15,ok,0.8788638157146821,0.05349108179347008,0.5772959877741559,0.2684645589377552,0.18271626045792683,-1167.7333333333333,-1167.7333333333333,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.55,15,15,ok,0.7719971650042463,0.03747315933116206,0.5902073920583173,0.27078681201902605,0.17918125162007134,-812.8666666666667,-812.8666666666667,unit_payoff,unit_proxy
matrix_transformer,next_field,10,0.6,15,15,ok,0.5681099962149997,0.025193485807596325,0.6104292752100131,0.2763161506993674,0.15633904969797868,-540.7333333333333,-540.7333333333333,unit_payoff,unit_proxy
