model_family,pretraining_objective,horizon,fold,seed,lookback,confidence_threshold,fill_mode,active_signal_count,filled_count,fill_fraction,directional_hit_rate_on_filled_trades,gross_proxy,net_proxy,average_cost,cost_mode,fill_fallback,status,skipped_reason
matrix_transformer,masked_reconstruction,10,fold_1,0,20,0.33,aggressive_crossing,21188,21188,1.0,0.2119595997734567,-12206.0,-12873.422,0.03149999999999999,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_1,0,20,0.33,passive_optimistic,21188,21188,1.0,0.2119595997734567,-12206.0,-12650.948,0.020999999999999998,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_1,0,20,0.33,passive_conservative,21188,3,0.0001415895790069851,0.3333333333333333,-1.0,-1.0315,0.0105,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_1,0,20,0.33,abstain_only,21188,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,aggressive_crossing,18788,18788,1.0,0.19837130083031723,-11334.0,-11925.822,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,passive_optimistic,18788,18788,1.0,0.19837130083031723,-11334.0,-11728.548,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,passive_conservative,18788,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,0.33,abstain_only,18788,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,aggressive_crossing,18785,18785,1.0,0.19361192440777217,-11511.0,-12102.727499999999,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,passive_optimistic,18785,18785,1.0,0.19361192440777217,-11511.0,-11905.485,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,passive_conservative,18785,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,abstain_only,18785,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,aggressive_crossing,14476,14476,1.0,0.200124343741365,-8682.0,-9137.994,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,passive_optimistic,14476,14476,1.0,0.200124343741365,-8682.0,-8985.996,0.020999999999999998,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,passive_conservative,14476,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,abstain_only,14476,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,aggressive_crossing,14491,14491,1.0,0.19584569732937684,-8815.0,-9271.4665,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,passive_optimistic,14491,14491,1.0,0.19584569732937684,-8815.0,-9119.311,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,passive_conservative,14491,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,abstain_only,14491,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,aggressive_crossing,14603,14603,1.0,0.18920769704855167,-9077.0,-9536.9945,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,passive_optimistic,14603,14603,1.0,0.18920769704855167,-9077.0,-9383.663,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,passive_conservative,14603,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,abstain_only,14603,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,aggressive_crossing,21487,21487,1.0,0.22157583655233398,-11965.0,-12641.8405,0.03149999999999999,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,passive_optimistic,21487,21487,1.0,0.22157583655233398,-11965.0,-12416.227,0.020999999999999998,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,passive_conservative,21487,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,abstain_only,21487,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_3,1,20,0.33,aggressive_crossing,22981,22981,1.0,0.2256646795178626,-12609.0,-13332.9015,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_3,1,20,0.33,passive_optimistic,22981,22981,1.0,0.2256646795178626,-12609.0,-13091.601,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_3,1,20,0.33,passive_conservative,22981,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_3,1,20,0.33,abstain_only,22981,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,0.33,aggressive_crossing,23266,23266,1.0,0.2194188945241984,-13056.0,-13788.878999999999,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_3,2,20,0.33,passive_optimistic,23266,23266,1.0,0.2194188945241984,-13056.0,-13544.586,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
