model_family,pretraining_objective,horizon,fold,seed,lookback,partition,latency_step,retained_samples,dropped_samples,active_trades,directional_hit_rate,gross_proxy,net_proxy,degradation_vs_latency_0,net_degradation_vs_latency_0,payoff_mode,cost_mode,status,skipped_reason
matrix_transformer,masked_reconstruction,10,fold_1,0,20,test,0,38378,0,21188,0.2119595997734567,-12206.0,-12206.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_1,0,20,test,1,38377,1,21188,0.21101566924674345,-12246.0,-12246.0,-40.0,-40.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_1,0,20,test,2,38376,2,21188,0.2068623749292052,-12422.0,-12422.0,-216.0,-216.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_1,0,20,test,5,38373,5,21188,0.20577685482348498,-12468.0,-12468.0,-262.0,-262.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_1,0,20,test,10,38368,10,21188,0.20289786671700963,-12590.0,-12590.0,-384.0,-384.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,test,0,38378,0,18788,0.19837130083031723,-11334.0,-11334.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,test,1,38377,1,18788,0.19805194805194806,-11346.0,-11346.0,-12.0,-12.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,test,2,38376,2,18788,0.19533744943581008,-11448.0,-11448.0,-114.0,-114.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,test,5,38373,5,18788,0.19528422397274856,-11450.0,-11450.0,-116.0,-116.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_1,1,20,test,10,38368,10,18788,0.19416648924845648,-11492.0,-11492.0,-158.0,-158.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,test,0,38378,0,18785,0.19361192440777217,-11511.0,-11511.0,0.0,0.0,unit_payoff,unit_proxy,ok,
