horizon,model,ablation_mode,feature_group,completed_runs,failed_runs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_mcc,std_mcc,mean_ece
10,gradient_boosting,all_features,all,5,0,0.8401084173604307,0.00851100062097767,0.7906707592707253,0.003602905642571702,0.7083453280723347,0.005140960867337535,0.013509666489434736
10,gradient_boosting,no_proxy_features,no_proxy,5,0,0.6100881617363793,0.01868349795006989,0.28656640028516156,0.00828689504219013,0.08613456891615008,0.023974838367825872,0.030225532435008168
10,gradient_boosting,remove_one_group,depth_imbalance,5,0,0.8400539495535982,0.008299328921190289,0.7906560860392717,0.0034268793526302144,0.7081394242118535,0.004790609311156884,0.014291582217001381
10,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,5,0,0.6100881617363793,0.01868349795006989,0.28656640028516156,0.00828689504219013,0.08613456891615008,0.023974838367825872,0.030225532435008168
10,gradient_boosting,remove_one_group,spread,5,0,0.8403135616689535,0.008592646631350405,0.7910243324606971,0.0035591335728720635,0.7090652477665346,0.0050195543538881175,0.012829244813547408
10,gradient_boosting,remove_one_group,top_of_book_imbalance,5,0,0.840109305782218,0.008505242317326068,0.7906687191886181,0.003602516055346322,0.7083451777318354,0.005135438250972956,0.01349473312240693
50,gradient_boosting,all_features,all,5,0,0.5310706035774204,0.009107184728455764,0.529437522378319,0.008032730053764571,0.30128514482798086,0.011611465730783222,0.020235329280644816
50,gradient_boosting,no_proxy_features,no_proxy,5,0,0.36821678075103026,0.005332879524088331,0.35964622128848633,0.011087785435057397,0.05392962127397064,0.01068960620585829,0.02723013039972173
50,gradient_boosting,remove_one_group,depth_imbalance,5,0,0.5304240982462866,0.008841748079334846,0.5285658481670288,0.007810892514288353,0.30092317861303974,0.01084915262206318,0.02052048825873875
50,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,5,0,0.36821678075103026,0.005332879524088331,0.35964622128848633,0.011087785435057397,0.05392962127397064,0.01068960620585829,0.02723013039972173
50,gradient_boosting,remove_one_group,spread,5,0,0.5268023785422128,0.009936520534139579,0.5244564538440276,0.008235842716881096,0.2958083290180905,0.013802857732757256,0.020446120856791265
50,gradient_boosting,remove_one_group,top_of_book_imbalance,5,0,0.5310170996748651,0.009147771833626877,0.5293847693327244,0.00807136689336407,0.30117066018053323,0.011671961902026384,0.02058265896547411
