fold,horizon,seed,model,ablation_mode,feature_group,baseline_accuracy,accuracy,delta_accuracy,baseline_macro_f1,macro_f1,delta_macro_f1,baseline_mcc,mcc,delta_mcc,baseline_ece,ece,delta_ece,interpretation
fold_1,10,0,gradient_boosting,all_features,all,0.8320181264161263,0.8320181264161263,0.0,0.7852037929721307,0.7852037929721307,0.0,0.7005639967039612,0.7005639967039612,0.0,0.007890058090489439,0.007890058090489439,0.0,neutral
fold_1,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,0.8320181264161263,0.5945516576815897,-0.23746646873453658,0.7852037929721307,0.28833911369868137,-0.49686467927344935,0.7005639967039612,0.08738588885218652,-0.6131781078517746,0.007890058090489439,0.018412073687513197,0.010522015597023758,hurt
fold_1,10,0,gradient_boosting,remove_one_group,spread,0.8320181264161263,0.8326171315467354,0.0005990051306091759,0.7852037929721307,0.7860746246579623,0.0008708316858315746,0.7005639967039612,0.7022584182868602,0.0016944215828990083,0.007890058090489439,0.009889897447199248,0.001999839356709809,neutral
fold_1,10,0,gradient_boosting,remove_one_group,depth_imbalance,0.8320181264161263,0.8321743886241113,0.0001562622079850362,0.7852037929721307,0.7854935814364751,0.0002897884643443538,0.7005639967039612,0.7007754339814467,0.00021143727748551555,0.007890058090489439,0.009891752095607931,0.0020016940051184925,neutral
fold_1,10,0,gradient_boosting,remove_one_group,top_of_book_imbalance,0.8320181264161263,0.8319920827147954,-2.604370133085787e-05,0.7852037929721307,0.785151675640778,-5.21173313526857e-05,0.7005639967039612,0.7005104149587719,-5.3581745189323904e-05,0.007890058090489439,0.007829341720774532,-6.071636971490685e-05,neutral
fold_1,10,0,gradient_boosting,no_proxy_features,no_proxy,0.8320181264161263,0.5945516576815897,-0.23746646873453658,0.7852037929721307,0.28833911369868137,-0.49686467927344935,0.7005639967039612,0.08738588885218652,-0.6131781078517746,0.007890058090489439,0.018412073687513197,0.010522015597023758,hurt
fold_1,50,0,gradient_boosting,all_features,all,0.5277495637680027,0.5277495637680027,0.0,0.5263199478437797,0.5263199478437797,0.0,0.2962440177212677,0.2962440177212677,0.0,0.005728080324118397,0.005728080324118397,0.0,neutral
fold_1,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,0.5277495637680027,0.3621637107065656,-0.16558585306143714,0.5263199478437797,0.3483421358796132,-0.17797781196416645,0.2962440177212677,0.034364277521616485,-0.2618797401996512,0.005728080324118397,0.04800976201683521,0.042281681692716816,hurt
fold_1,50,0,gradient_boosting,remove_one_group,spread,0.5277495637680027,0.5222282990858661,-0.005521264682136651,0.5263199478437797,0.5207715293854968,-0.005548418458282911,0.2962440177212677,0.2899319322169706,-0.006312085504297071,0.005728080324118397,0.01108701219349231,0.005358931869373912,hurt
fold_1,50,0,gradient_boosting,remove_one_group,depth_imbalance,0.5277495637680027,0.5245722322056411,-0.0031773315623616627,0.5263199478437797,0.5225407981311335,-0.003779149712646146,0.2962440177212677,0.2934790856176236,-0.002764932103644091,0.005728080324118397,0.013716493043529723,0.007988412719411326,hurt
fold_1,50,0,gradient_boosting,remove_one_group,top_of_book_imbalance,0.5277495637680027,0.5273068208453785,-0.00044274292262425075,0.5263199478437797,0.5258916901012874,-0.0004282577424922218,0.2962440177212677,0.29542460668859444,-0.0008194110326732451,0.005728080324118397,0.007125716496372285,0.001397636172253888,neutral
fold_1,50,0,gradient_boosting,no_proxy_features,no_proxy,0.5277495637680027,0.3621637107065656,-0.16558585306143714,0.5263199478437797,0.3483421358796132,-0.17797781196416645,0.2962440177212677,0.034364277521616485,-0.2618797401996512,0.005728080324118397,0.04800976201683521,0.042281681692716816,hurt
fold_2,10,0,gradient_boosting,all_features,all,0.8541790783248642,0.8541790783248642,0.0,0.7942090014827535,0.7942090014827535,0.0,0.7142066690686678,0.7142066690686678,0.0,0.03125280674093602,0.03125280674093602,0.0,neutral
fold_2,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,0.8541790783248642,0.642579288592956,-0.21159978973190818,0.7942090014827535,0.27753386910412337,-0.5166751323786302,0.7142066690686678,0.046338912382457326,-0.6678677566862105,0.03125280674093602,0.06476399391481595,0.03351118717387993,hurt
fold_2,10,0,gradient_boosting,remove_one_group,spread,0.8541790783248642,0.8546697038724373,0.0004906255475731758,0.7942090014827535,0.7950535113548094,0.0008445098720558653,0.7142066690686678,0.7153816572267631,0.001174988158095247,0.03125280674093602,0.03163204963758067,0.0003792428966446493,neutral
fold_2,10,0,gradient_boosting,remove_one_group,depth_imbalance,0.8541790783248642,0.8536183634133521,-0.0005607149115121057,0.7942090014827535,0.7936449844950971,-0.0005640169876564016,0.7142066690686678,0.7126733894777829,-0.001533279590884895,0.03125280674093602,0.032356601148585525,0.0011037944076495027,neutral
fold_2,10,0,gradient_boosting,remove_one_group,top_of_book_imbalance,0.8541790783248642,0.8541790783248642,0.0,0.7942090014827535,0.7942090014827535,0.0,0.7142066690686678,0.7142066690686678,0.0,0.03125280674093602,0.031223458041480724,-2.9348699455297722e-05,neutral
fold_2,10,0,gradient_boosting,no_proxy_features,no_proxy,0.8541790783248642,0.642579288592956,-0.21159978973190818,0.7942090014827535,0.27753386910412337,-0.5166751323786302,0.7142066690686678,0.046338912382457326,-0.6678677566862105,0.03125280674093602,0.06476399391481595,0.03351118717387993,hurt
fold_2,50,0,gradient_boosting,all_features,all,0.5326441212545996,0.5326441212545996,0.0,0.5301799820800639,0.5301799820800639,0.0,0.2974679057080909,0.2974679057080909,0.0,0.030358696571650592,0.030358696571650592,0.0,neutral
fold_2,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,0.5326441212545996,0.36618188189942175,-0.16646223935517784,0.5301799820800639,0.3499713116795961,-0.18020867040046779,0.2974679057080909,0.06544366472260311,-0.2320242409854878,0.030358696571650592,0.037166072852706226,0.006807376281055634,hurt
fold_2,50,0,gradient_boosting,remove_one_group,spread,0.5326441212545996,0.5266514806378132,-0.005992640616786393,0.5301799820800639,0.5225634527986337,-0.0076165292814301955,0.2974679057080909,0.2879836150189345,-0.009484290689156405,0.030358696571650592,0.023315875625808273,-0.007042820945842319,hurt
fold_2,50,0,gradient_boosting,remove_one_group,depth_imbalance,0.5326441212545996,0.5334151042579288,0.0007709830033292286,0.5301799820800639,0.5306954337577983,0.0005154516777343687,0.2974679057080909,0.29849897881076837,0.001031073102677471,0.030358696571650592,0.028922808868075554,-0.0014358877035750388,neutral
fold_2,50,0,gradient_boosting,remove_one_group,top_of_book_imbalance,0.5326441212545996,0.5328193446644471,0.00017522340984754692,0.5301799820800639,0.5303444745945834,0.00016449251451955416,0.2974679057080909,0.2977148935035261,0.000246987795435194,0.030358696571650592,0.03069593358928755,0.0003372370176369585,neutral
fold_2,50,0,gradient_boosting,no_proxy_features,no_proxy,0.5326441212545996,0.36618188189942175,-0.16646223935517784,0.5301799820800639,0.3499713116795961,-0.18020867040046779,0.2974679057080909,0.06544366472260311,-0.2320242409854878,0.030358696571650592,0.037166072852706226,0.006807376281055634,hurt
fold_3,10,0,gradient_boosting,all_features,all,0.8384517732220511,0.8384517732220511,0.0,0.7913996045885904,0.7913996045885904,0.0,0.7103836486569503,0.7103836486569503,0.0,0.004875906381661658,0.004875906381661658,0.0,neutral
fold_3,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,0.8384517732220511,0.6014639548388839,-0.23698781838316718,0.7913996045885904,0.2763930349479797,-0.5150065696406108,0.7103836486569503,0.0769740466000615,-0.6334096020568888,0.004875906381661658,0.012075342894807531,0.007199436513145873,hurt
fold_3,10,0,gradient_boosting,remove_one_group,spread,0.8384517732220511,0.8384517732220511,0.0,0.7913996045885904,0.7914407655010471,4.1160912456761345e-05,0.7103836486569503,0.7105177800264256,0.00013413136947537652,0.004875906381661658,0.0055279090175716725,0.0006520026359100144,neutral
fold_3,10,0,gradient_boosting,remove_one_group,depth_imbalance,0.8384517732220511,0.8385328039326905,8.103071063936262e-05,0.7913996045885904,0.7915296681634825,0.00013006357489209197,0.7103836486569503,0.7105337467388543,0.00015009808190402651,0.004875906381661658,0.0060308839115411,0.0011549775298794421,neutral
fold_3,10,0,gradient_boosting,remove_one_group,top_of_book_imbalance,0.8384517732220511,0.8384247629851714,-2.701023687967652e-05,0.7913996045885904,0.7913440884845252,-5.5516104065178595e-05,0.7103836486569503,0.7103268908401393,-5.6757816810915074e-05,0.004875906381661658,0.004946437037885464,7.05306562238054e-05,neutral
fold_3,10,0,gradient_boosting,no_proxy_features,no_proxy,0.8384517732220511,0.6014639548388839,-0.23698781838316718,0.7913996045885904,0.2763930349479797,-0.5150065696406108,0.7103836486569503,0.0769740466000615,-0.6334096020568888,0.004875906381661658,0.012075342894807531,0.007199436513145873,hurt
