ablation_name,ablation_type,status,model_name,split,horizon,feature_group,lookback,calibration_bins,cost_bps,latency_steps,metric_name,metric_value,source_experiment,warning
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,accuracy,0.5911659765085814,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,macro_f1,0.24768670071144863,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,weighted_f1,0.4392718508828169,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,matthews_corrcoef,0.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,balanced_accuracy,0.3333333333333333,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,log_loss,0.9636694166054967,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,n_samples,38397.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,class_count_train,3.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,class_count_test,3.0,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,brier_score,0.569683496580462,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,mean_confidence,0.6340628256662201,experiments/baseline,none
baseline,baseline,run,majority,test,10,all,1,10,"0.0,1.0,5.0",0,expected_calibration_error,0.042896849157638695,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,accuracy,0.594343308070943,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,macro_f1,0.33282132091497396,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,weighted_f1,0.49271754414029084,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,matthews_corrcoef,0.11839941945666792,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,balanced_accuracy,0.36833153055248896,experiments/baseline,none
