model_name,split,confidence_threshold,cost_bps,latency_steps,eligible_predictions,trade_count_proxy,turnover_proxy,gross_signal_return_proxy,cost_proxy,net_signal_return_proxy,hit_rate_proxy
majority,test,0.0,0.0,0,20285,20285,20285.0,19.703129181111397,0.0,19.703129181111397,0.6183386738969682
majority,test,0.0,0.5,0,20285,20285,20285.0,19.703129181111397,0.5,19.203129181111397,0.6183386738969682
majority,test,0.0,1.0,0,20285,20285,20285.0,19.703129181111397,1.0,18.703129181111397,0.6183386738969682
majority,test,0.0,5.0,0,20285,20285,20285.0,19.703129181111397,5.0,14.703129181111397,0.6183386738969682
majority,test,0.0,0.0,1,20284,20284,20284.0,19.70781088333363,0.0,19.70781088333363,0.6182705580753303
majority,test,0.0,0.5,1,20284,20284,20284.0,19.70781088333363,0.5,19.20781088333363,0.6182705580753303
majority,test,0.0,1.0,1,20284,20284,20284.0,19.70781088333363,1.0,18.70781088333363,0.6182705580753303
majority,test,0.0,5.0,1,20284,20284,20284.0,19.70781088333363,5.0,14.707810883333629,0.6182705580753303
majority,test,0.5,0.0,0,20285,20285,20285.0,19.703129181111397,0.0,19.703129181111397,0.6183386738969682
majority,test,0.5,0.5,0,20285,20285,20285.0,19.703129181111397,0.5,19.203129181111397,0.6183386738969682
majority,test,0.5,1.0,0,20285,20285,20285.0,19.703129181111397,1.0,18.703129181111397,0.6183386738969682
majority,test,0.5,5.0,0,20285,20285,20285.0,19.703129181111397,5.0,14.703129181111397,0.6183386738969682
majority,test,0.5,0.0,1,20284,20284,20284.0,19.70781088333363,0.0,19.70781088333363,0.6182705580753303
majority,test,0.5,0.5,1,20284,20284,20284.0,19.70781088333363,0.5,19.20781088333363,0.6182705580753303
majority,test,0.5,1.0,1,20284,20284,20284.0,19.70781088333363,1.0,18.70781088333363,0.6182705580753303
majority,test,0.5,5.0,1,20284,20284,20284.0,19.70781088333363,5.0,14.707810883333629,0.6182705580753303
majority,test,0.6,0.0,0,20285,20285,20285.0,19.703129181111397,0.0,19.703129181111397,0.6183386738969682
majority,test,0.6,0.5,0,20285,20285,20285.0,19.703129181111397,0.5,19.203129181111397,0.6183386738969682
majority,test,0.6,1.0,0,20285,20285,20285.0,19.703129181111397,1.0,18.703129181111397,0.6183386738969682
majority,test,0.6,5.0,0,20285,20285,20285.0,19.703129181111397,5.0,14.703129181111397,0.6183386738969682
majority,test,0.6,0.0,1,20284,20284,20284.0,19.70781088333363,0.0,19.70781088333363,0.6182705580753303
majority,test,0.6,0.5,1,20284,20284,20284.0,19.70781088333363,0.5,19.20781088333363,0.6182705580753303
majority,test,0.6,1.0,1,20284,20284,20284.0,19.70781088333363,1.0,18.70781088333363,0.6182705580753303
majority,test,0.6,5.0,1,20284,20284,20284.0,19.70781088333363,5.0,14.707810883333629,0.6182705580753303
majority,test,0.7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
majority,test,0.7,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0
majority,test,0.7,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0
majority,test,0.7,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0
