run_id,fold_id,seed,model_name,lookback,target_horizon,batch_size,max_epochs,early_stopping_patience,early_stopping_metric,learning_rate,weight_decay,gradient_clip_norm,dropout,validation_metric,device_policy,output_dir,checkpoint_path,mode
fold_1__seed_0__deeplob_style__lookback_20,fold_1,0,deeplob_style,20,10,256,25,10,validation_macro_f1,0.001,0.0001,1.0,0.1,macro_f1,auto,experiments\fi2010_multifold_neural\runs\fold_1_seed_0_deeplob_style_lb20,,benchmark
fold_1__seed_0__matrix_transformer__lookback_20,fold_1,0,matrix_transformer,20,10,256,25,10,validation_macro_f1,0.001,0.0001,1.0,0.1,macro_f1,auto,experiments\fi2010_multifold_neural\runs\fold_1_seed_0_matrix_transformer_lb20,,benchmark
fold_2__seed_0__deeplob_style__lookback_20,fold_2,0,deeplob_style,20,10,256,25,10,validation_macro_f1,0.001,0.0001,1.0,0.1,macro_f1,auto,experiments\fi2010_multifold_neural\runs\fold_2_seed_0_deeplob_style_lb20,,benchmark
fold_2__seed_0__matrix_transformer__lookback_20,fold_2,0,matrix_transformer,20,10,256,25,10,validation_macro_f1,0.001,0.0001,1.0,0.1,macro_f1,auto,experiments\fi2010_multifold_neural\runs\fold_2_seed_0_matrix_transformer_lb20,,benchmark
fold_3__seed_0__deeplob_style__lookback_20,fold_3,0,deeplob_style,20,10,256,25,10,validation_macro_f1,0.001,0.0001,1.0,0.1,macro_f1,auto,experiments\fi2010_multifold_neural\runs\fold_3_seed_0_deeplob_style_lb20,,benchmark
fold_3__seed_0__matrix_transformer__lookback_20,fold_3,0,matrix_transformer,20,10,256,25,10,validation_macro_f1,0.001,0.0001,1.0,0.1,macro_f1,auto,experiments\fi2010_multifold_neural\runs\fold_3_seed_0_matrix_transformer_lb20,,benchmark
fold_4__seed_0__deeplob_style__lookback_20,fold_4,0,deeplob_style,20,10,256,25,10,validation_macro_f1,0.001,0.0001,1.0,0.1,macro_f1,auto,experiments\fi2010_multifold_neural\runs\fold_4_seed_0_deeplob_style_lb20,,benchmark
fold_4__seed_0__matrix_transformer__lookback_20,fold_4,0,matrix_transformer,20,10,256,25,10,validation_macro_f1,0.001,0.0001,1.0,0.1,macro_f1,auto,experiments\fi2010_multifold_neural\runs\fold_4_seed_0_matrix_transformer_lb20,,benchmark
fold_5__seed_0__deeplob_style__lookback_20,fold_5,0,deeplob_style,20,10,256,25,10,validation_macro_f1,0.001,0.0001,1.0,0.1,macro_f1,auto,experiments\fi2010_multifold_neural\runs\fold_5_seed_0_deeplob_style_lb20,,benchmark
fold_5__seed_0__matrix_transformer__lookback_20,fold_5,0,matrix_transformer,20,10,256,25,10,validation_macro_f1,0.001,0.0001,1.0,0.1,macro_f1,auto,experiments\fi2010_multifold_neural\runs\fold_5_seed_0_matrix_transformer_lb20,,benchmark
