fold,horizon,seed,objective,reason,traceback,invalidates_aggregate_claims,status,run_id
1,10,0,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_0__lb20__supervised
1,10,0,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_0__lb20__masked_reconstruction
1,10,0,next_field,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_0__lb20__next_field
1,10,1,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_1__lb20__supervised
1,10,1,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_1__lb20__masked_reconstruction
1,10,1,next_field,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_1__lb20__next_field
1,10,2,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_2__lb20__supervised
1,10,2,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_2__lb20__masked_reconstruction
1,10,2,next_field,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_2__lb20__next_field
1,20,0,supervised,existing completed run reused,,False,skipped_existing,fold_1__h20__seed_0__lb20__supervised
1,20,0,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_1__h20__seed_0__lb20__masked_reconstruction
1,20,0,next_field,existing completed run reused,,False,skipped_existing,fold_1__h20__seed_0__lb20__next_field
1,20,1,supervised,existing completed run reused,,False,skipped_existing,fold_1__h20__seed_1__lb20__supervised
1,20,1,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_1__h20__seed_1__lb20__masked_reconstruction
1,20,1,next_field,existing completed run reused,,False,skipped_existing,fold_1__h20__seed_1__lb20__next_field
1,20,2,supervised,existing completed run reused,,False,skipped_existing,fold_1__h20__seed_2__lb20__supervised
1,20,2,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_1__h20__seed_2__lb20__masked_reconstruction
1,20,2,next_field,existing completed run reused,,False,skipped_existing,fold_1__h20__seed_2__lb20__next_field
1,50,0,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_0__lb20__supervised
1,50,0,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_0__lb20__masked_reconstruction
1,50,0,next_field,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_0__lb20__next_field
1,50,1,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_1__lb20__supervised
1,50,1,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_1__lb20__masked_reconstruction
1,50,1,next_field,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_1__lb20__next_field
1,50,2,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_2__lb20__supervised
1,50,2,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_2__lb20__masked_reconstruction
1,50,2,next_field,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_2__lb20__next_field
2,10,0,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_0__lb20__supervised
2,10,0,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_0__lb20__masked_reconstruction
2,10,0,next_field,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_0__lb20__next_field
2,10,1,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_1__lb20__supervised
2,10,1,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_1__lb20__masked_reconstruction
2,10,1,next_field,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_1__lb20__next_field
2,10,2,supervised,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_2__lb20__supervised
2,10,2,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_2__lb20__masked_reconstruction
2,10,2,next_field,existing completed run reused,,False,skipped_existing,fold_2__h10__seed_2__lb20__next_field
2,20,0,supervised,existing completed run reused,,False,skipped_existing,fold_2__h20__seed_0__lb20__supervised
2,20,0,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_2__h20__seed_0__lb20__masked_reconstruction
2,20,0,next_field,existing completed run reused,,False,skipped_existing,fold_2__h20__seed_0__lb20__next_field
2,20,1,supervised,existing completed run reused,,False,skipped_existing,fold_2__h20__seed_1__lb20__supervised
2,20,1,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_2__h20__seed_1__lb20__masked_reconstruction
2,20,1,next_field,existing completed run reused,,False,skipped_existing,fold_2__h20__seed_1__lb20__next_field
2,20,2,supervised,existing completed run reused,,False,skipped_existing,fold_2__h20__seed_2__lb20__supervised
2,20,2,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_2__h20__seed_2__lb20__masked_reconstruction
2,20,2,next_field,existing completed run reused,,False,skipped_existing,fold_2__h20__seed_2__lb20__next_field
2,50,0,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_0__lb20__supervised
2,50,0,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_0__lb20__masked_reconstruction
2,50,0,next_field,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_0__lb20__next_field
2,50,1,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_1__lb20__supervised
2,50,1,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_1__lb20__masked_reconstruction
2,50,1,next_field,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_1__lb20__next_field
2,50,2,supervised,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_2__lb20__supervised
2,50,2,masked_reconstruction,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_2__lb20__masked_reconstruction
2,50,2,next_field,existing completed run reused,,False,skipped_existing,fold_2__h50__seed_2__lb20__next_field
