run_id,fold,fold_id,horizon,seed,lookback,model_family,objective,pretraining_objective,run_dir
fold_1__h10__seed_0__lb20__supervised,1,fold_1,10,0,20,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_0/lookback_20/supervised
fold_1__h10__seed_0__lb20__masked_reconstruction,1,fold_1,10,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_1/horizon_10/seed_0/lookback_20/masked_reconstruction
fold_1__h10__seed_0__lb20__next_field,1,fold_1,10,0,20,matrix_transformer,next_field,next_field,runs/fold_1/horizon_10/seed_0/lookback_20/next_field
fold_1__h10__seed_1__lb20__supervised,1,fold_1,10,1,20,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_1/lookback_20/supervised
fold_1__h10__seed_1__lb20__masked_reconstruction,1,fold_1,10,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_1/horizon_10/seed_1/lookback_20/masked_reconstruction
fold_1__h10__seed_1__lb20__next_field,1,fold_1,10,1,20,matrix_transformer,next_field,next_field,runs/fold_1/horizon_10/seed_1/lookback_20/next_field
fold_1__h10__seed_2__lb20__supervised,1,fold_1,10,2,20,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_2/lookback_20/supervised
fold_1__h10__seed_2__lb20__masked_reconstruction,1,fold_1,10,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_1/horizon_10/seed_2/lookback_20/masked_reconstruction
fold_1__h10__seed_2__lb20__next_field,1,fold_1,10,2,20,matrix_transformer,next_field,next_field,runs/fold_1/horizon_10/seed_2/lookback_20/next_field
fold_1__h20__seed_0__lb20__supervised,1,fold_1,20,0,20,matrix_transformer,supervised,none,runs/fold_1/horizon_20/seed_0/lookback_20/supervised
fold_1__h20__seed_0__lb20__masked_reconstruction,1,fold_1,20,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_1/horizon_20/seed_0/lookback_20/masked_reconstruction
fold_1__h20__seed_0__lb20__next_field,1,fold_1,20,0,20,matrix_transformer,next_field,next_field,runs/fold_1/horizon_20/seed_0/lookback_20/next_field
fold_1__h20__seed_1__lb20__supervised,1,fold_1,20,1,20,matrix_transformer,supervised,none,runs/fold_1/horizon_20/seed_1/lookback_20/supervised
fold_1__h20__seed_1__lb20__masked_reconstruction,1,fold_1,20,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_1/horizon_20/seed_1/lookback_20/masked_reconstruction
fold_1__h20__seed_1__lb20__next_field,1,fold_1,20,1,20,matrix_transformer,next_field,next_field,runs/fold_1/horizon_20/seed_1/lookback_20/next_field
fold_1__h20__seed_2__lb20__supervised,1,fold_1,20,2,20,matrix_transformer,supervised,none,runs/fold_1/horizon_20/seed_2/lookback_20/supervised
fold_1__h20__seed_2__lb20__masked_reconstruction,1,fold_1,20,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_1/horizon_20/seed_2/lookback_20/masked_reconstruction
fold_1__h20__seed_2__lb20__next_field,1,fold_1,20,2,20,matrix_transformer,next_field,next_field,runs/fold_1/horizon_20/seed_2/lookback_20/next_field
fold_1__h50__seed_0__lb20__supervised,1,fold_1,50,0,20,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_0/lookback_20/supervised
fold_1__h50__seed_0__lb20__masked_reconstruction,1,fold_1,50,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_1/horizon_50/seed_0/lookback_20/masked_reconstruction
fold_1__h50__seed_0__lb20__next_field,1,fold_1,50,0,20,matrix_transformer,next_field,next_field,runs/fold_1/horizon_50/seed_0/lookback_20/next_field
fold_1__h50__seed_1__lb20__supervised,1,fold_1,50,1,20,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_1/lookback_20/supervised
fold_1__h50__seed_1__lb20__masked_reconstruction,1,fold_1,50,1,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_1/horizon_50/seed_1/lookback_20/masked_reconstruction
fold_1__h50__seed_1__lb20__next_field,1,fold_1,50,1,20,matrix_transformer,next_field,next_field,runs/fold_1/horizon_50/seed_1/lookback_20/next_field
fold_1__h50__seed_2__lb20__supervised,1,fold_1,50,2,20,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_2/lookback_20/supervised
fold_1__h50__seed_2__lb20__masked_reconstruction,1,fold_1,50,2,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_1/horizon_50/seed_2/lookback_20/masked_reconstruction
fold_1__h50__seed_2__lb20__next_field,1,fold_1,50,2,20,matrix_transformer,next_field,next_field,runs/fold_1/horizon_50/seed_2/lookback_20/next_field
fold_2__h10__seed_0__lb20__supervised,2,fold_2,10,0,20,matrix_transformer,supervised,none,runs/fold_2/horizon_10/seed_0/lookback_20/supervised
fold_2__h10__seed_0__lb20__masked_reconstruction,2,fold_2,10,0,20,matrix_transformer,masked_reconstruction,masked_reconstruction,runs/fold_2/horizon_10/seed_0/lookback_20/masked_reconstruction
