fold,horizon,seed,lookback,model_family,ssl_objective,comparison,supervised_run_id,ssl_run_id,supervised_macro_f1,ssl_macro_f1,delta_macro_f1,supervised_accuracy,ssl_accuracy,delta_accuracy,supervised_mcc,ssl_mcc,delta_mcc,supervised_ece,ssl_ece,delta_ece,supervised_brier_score,ssl_brier_score,delta_brier_score,supervised_nll,ssl_nll,delta_nll,macro_f1_outcome,ece_outcome,mcc_outcome,status,reason
1,10,0,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_1__h10__seed_0__lb20__supervised,fold_1__h10__seed_0__lb20__masked_reconstruction,0.2760479579596437,0.32121939502772545,0.04517143706808174,0.4079681067278128,0.3823284173224243,-0.02563968940538852,-0.023084984977199095,0.005420778323787202,0.0285057633009863,0.1195301970840779,0.1520280729014138,0.03249787581733589,0.6181388818392266,0.705086568802538,0.08694768696331134,1.0294383558299378,1.1889641706873513,0.15952581485741346,win,loss,win,matched,
1,10,0,20,matrix_transformer,next_field,supervised_vs_next_field,fold_1__h10__seed_0__lb20__supervised,fold_1__h10__seed_0__lb20__next_field,0.2760479579596437,0.24766084744467373,-0.028387110514969977,0.4079681067278128,0.5910677992599928,0.18309969253217995,-0.023084984977199095,,,0.1195301970840779,0.09884305069409663,-0.020687146389981273,0.6181388818392266,0.5899098398825317,-0.028229041956694956,1.0294383558299378,1.0000593926932793,-0.029378963136658554,loss,win,n/a,matched,
1,10,1,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_1__h10__seed_1__lb20__supervised,fold_1__h10__seed_1__lb20__masked_reconstruction,0.2997821486585026,0.2849542112147222,-0.014827937443780415,0.39048413153369116,0.38743550992756265,-0.00304862160612851,-0.02351220120441232,-0.02986045860529202,-0.0063482574008797005,0.16612342033862676,0.13214587921460266,-0.0339775411240241,0.687987827827711,0.6402943476295399,-0.0476934801981711,1.1475651256491417,1.060933915141676,-0.0866312105074658,loss,win,loss,matched,
1,10,1,20,matrix_transformer,next_field,supervised_vs_next_field,fold_1__h10__seed_1__lb20__supervised,fold_1__h10__seed_1__lb20__next_field,0.2997821486585026,0.24766084744467373,-0.05212130121382888,0.39048413153369116,0.5910677992599928,0.2005836677263016,-0.02351220120441232,,,0.16612342033862676,0.09446424793892322,-0.07165917239970354,0.687987827827711,0.5861667699312966,-0.10182105789641438,1.1475651256491417,0.9923123192057044,-0.1552528064434373,loss,win,n/a,matched,
1,10,2,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_1__h10__seed_2__lb20__supervised,fold_1__h10__seed_2__lb20__masked_reconstruction,0.2702190667849797,0.2674250913245116,-0.002793975460468112,0.5858564802751577,0.3850904163843869,-0.20076606389077079,0.030842356959350163,-0.035245118140189574,-0.06608747509953974,0.15425682017767828,0.21760195899618678,0.0633451388185085,0.612345525565437,0.7579629285394349,0.14561740297399794,1.025879238937705,1.297822910393754,0.27194367145604903,loss,loss,loss,matched,
1,10,2,20,matrix_transformer,next_field,supervised_vs_next_field,fold_1__h10__seed_2__lb20__supervised,fold_1__h10__seed_2__lb20__next_field,0.2702190667849797,0.24766084744467373,-0.02255821934030597,0.5858564802751577,0.5910677992599928,0.005211318984835067,0.030842356959350163,,,0.15425682017767828,0.12269887250733552,-0.031557947670342756,0.612345525565437,0.595085018599951,-0.017260506965485978,1.025879238937705,1.02209725061043,-0.0037819883272749433,loss,win,n/a,matched,
1,20,0,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_1__h20__seed_0__lb20__supervised,fold_1__h20__seed_0__lb20__masked_reconstruction,0.3008972644269983,0.36354979548834115,0.06265253106134283,0.4070561259054667,0.3727395903903278,-0.03431653551513891,0.01902787775578366,0.0770581018601606,0.05803022410437694,0.03895020924751807,0.12720469047444657,0.0882544812269285,0.6440192204375987,0.7030712076303955,0.059051987192796807,1.0662217744945115,1.1645823357429521,0.09836056124844061,win,loss,win,matched,
1,20,0,20,matrix_transformer,next_field,supervised_vs_next_field,fold_1__h20__seed_0__lb20__supervised,fold_1__h20__seed_0__lb20__next_field,0.3008972644269983,0.21662474421440844,-0.08427252021258988,0.4070561259054667,0.4813434780342905,0.07428735212882381,0.01902787775578366,,,0.03895020924751807,0.1298107346529351,0.09086052540541703,0.6440192204375987,0.6845170189988262,0.04049779856122748,1.0662217744945115,1.1345758618787665,0.06835408738425497,loss,loss,n/a,matched,
1,20,1,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_1__h20__seed_1__lb20__supervised,fold_1__h20__seed_1__lb20__masked_reconstruction,0.3503696282203564,0.2928189244572948,-0.057550703763061595,0.38389181301787484,0.36862264839230807,-0.015269164625566767,0.017326130170381697,-0.011836470352704995,-0.029162600523086692,0.10295167990356163,0.11556259676386205,0.012610916860300414,0.6962300885437854,0.6772042504827778,-0.01902583806100766,1.1636305909957638,1.1135941184136842,-0.05003647258207966,loss,loss,loss,matched,
1,20,1,20,matrix_transformer,next_field,supervised_vs_next_field,fold_1__h20__seed_1__lb20__supervised,fold_1__h20__seed_1__lb20__next_field,0.3503696282203564,0.21662474421440844,-0.13374488400594794,0.38389181301787484,0.4813434780342905,0.09745166501641567,0.017326130170381697,,,0.10295167990356163,0.10775622797451036,0.004804548070948725,0.6962300885437854,0.6663260440829147,-0.029904044460870693,1.1636305909957638,1.101663006937073,-0.06196758405869085,loss,loss,n/a,matched,
