run_id,fold,horizon,seed,lookback,model_family,confidence_threshold,n_total,n_active,active_fraction,macro_f1,mcc
fold_1__h10__seed_0__lb20__supervised,1,10,0,20,matrix_transformer,0.0,38378,38378,1.0,0.6905555155280024,0.5673478511817102
fold_1__h10__seed_0__lb20__supervised,1,10,0,20,matrix_transformer,0.5,38378,35263,0.9188337068111939,0.7204979038864251,0.6125827818267049
fold_1__h10__seed_0__lb20__supervised,1,10,0,20,matrix_transformer,0.6,38378,31952,0.8325603210172494,0.7498375887549716,0.6572200019876753
fold_1__h10__seed_0__lb20__supervised,1,10,0,20,matrix_transformer,0.7,38378,28864,0.7520975558913962,0.7802180922434729,0.7017782812551869
fold_1__h10__seed_0__lb20__supervised,1,10,0,20,matrix_transformer,0.8,38378,25445,0.6630100578456407,0.8115096478812752,0.7463982101817697
fold_1__h10__seed_0__lb20__supervised,1,10,0,20,matrix_transformer,0.9,38378,19894,0.5183698994215435,0.8526872710650704,0.8015277654290803
fold_1__h10__seed_0__lb20__deeplob_style__supervised,1,10,0,20,deeplob_style,0.0,38378,38378,1.0,0.5808968714683559,0.4352692546722922
fold_1__h10__seed_0__lb20__deeplob_style__supervised,1,10,0,20,deeplob_style,0.5,38378,33811,0.8809995309812914,0.6139784559284552,0.48731678657392
fold_1__h10__seed_0__lb20__deeplob_style__supervised,1,10,0,20,deeplob_style,0.6,38378,27622,0.7197352649955704,0.6561879553300064,0.5463996956110028
fold_1__h10__seed_0__lb20__deeplob_style__supervised,1,10,0,20,deeplob_style,0.7,38378,20186,0.5259784251394027,0.7107749970186193,0.6125968313152895
fold_1__h10__seed_0__lb20__deeplob_style__supervised,1,10,0,20,deeplob_style,0.8,38378,11954,0.31148053572359163,0.7973747068578834,0.720174889579048
fold_1__h10__seed_0__lb20__deeplob_style__supervised,1,10,0,20,deeplob_style,0.9,38378,6224,0.1621762468080671,0.8985469084936856,0.8604768127285671
fold_1__h10__seed_0__lb50__supervised,1,10,0,50,matrix_transformer,0.0,38348,38348,1.0,0.2521758721161697,0.0007972982358240225
fold_1__h10__seed_0__lb50__supervised,1,10,0,50,matrix_transformer,0.5,38348,19565,0.5101960988839053,0.2419269052503609,0.0
fold_1__h10__seed_0__lb50__supervised,1,10,0,50,matrix_transformer,0.6,38348,18499,0.48239803901116096,0.24564158587100005,0.0
fold_1__h10__seed_0__lb50__supervised,1,10,0,50,matrix_transformer,0.7,38348,0,0.0,,
fold_1__h10__seed_0__lb50__supervised,1,10,0,50,matrix_transformer,0.8,38348,0,0.0,,
fold_1__h10__seed_0__lb50__supervised,1,10,0,50,matrix_transformer,0.9,38348,0,0.0,,
fold_1__h10__seed_0__lb50__deeplob_style__supervised,1,10,0,50,deeplob_style,0.0,38348,38348,1.0,0.5571493472336008,0.38643684653307075
fold_1__h10__seed_0__lb50__deeplob_style__supervised,1,10,0,50,deeplob_style,0.5,38348,33297,0.8682851778449985,0.5866945017249795,0.4373007727756177
fold_1__h10__seed_0__lb50__deeplob_style__supervised,1,10,0,50,deeplob_style,0.6,38348,26590,0.6933868780640451,0.636955789147022,0.508094322425653
fold_1__h10__seed_0__lb50__deeplob_style__supervised,1,10,0,50,deeplob_style,0.7,38348,19114,0.4984353812454365,0.7051202404428247,0.5970528227790658
fold_1__h10__seed_0__lb50__deeplob_style__supervised,1,10,0,50,deeplob_style,0.8,38348,12438,0.3243454678210076,0.785497095874458,0.7046155697483613
fold_1__h10__seed_0__lb50__deeplob_style__supervised,1,10,0,50,deeplob_style,0.9,38348,6770,0.176541149473245,0.8729334334834672,0.8230242873387029
fold_1__h10__seed_0__lb100__supervised,1,10,0,100,matrix_transformer,0.0,38298,38298,1.0,0.26815494791316863,-0.033121104991748404
fold_1__h10__seed_0__lb100__supervised,1,10,0,100,matrix_transformer,0.5,38298,19525,0.509817745051961,0.24228395061728394,0.0
fold_1__h10__seed_0__lb100__supervised,1,10,0,100,matrix_transformer,0.6,38298,19493,0.5089821922815813,0.2423431071638477,0.0
fold_1__h10__seed_0__lb100__supervised,1,10,0,100,matrix_transformer,0.7,38298,0,0.0,,
fold_1__h10__seed_0__lb100__supervised,1,10,0,100,matrix_transformer,0.8,38298,0,0.0,,
fold_1__h10__seed_0__lb100__supervised,1,10,0,100,matrix_transformer,0.9,38298,0,0.0,,
fold_1__h10__seed_0__lb100__deeplob_style__supervised,1,10,0,100,deeplob_style,0.0,38298,38298,1.0,0.5604026023263821,0.40148282779469896
fold_1__h10__seed_0__lb100__deeplob_style__supervised,1,10,0,100,deeplob_style,0.5,38298,34911,0.9115619614601285,0.57691481493388,0.4392888211700319
fold_1__h10__seed_0__lb100__deeplob_style__supervised,1,10,0,100,deeplob_style,0.6,38298,30588,0.798684004386652,0.6012766375949496,0.48320349048565225
fold_1__h10__seed_0__lb100__deeplob_style__supervised,1,10,0,100,deeplob_style,0.7,38298,26059,0.6804271763538566,0.6216947982583921,0.5147893634627343
fold_1__h10__seed_0__lb100__deeplob_style__supervised,1,10,0,100,deeplob_style,0.8,38298,19970,0.521437150765053,0.6463870212154196,0.5471137548942401
fold_1__h10__seed_0__lb100__deeplob_style__supervised,1,10,0,100,deeplob_style,0.9,38298,11108,0.2900412554180375,0.6748623412273321,0.5787145093578745
fold_1__h10__seed_1__lb20__supervised,1,10,1,20,matrix_transformer,0.0,38378,38378,1.0,0.6736789523869705,0.538546440997973
fold_1__h10__seed_1__lb20__supervised,1,10,1,20,matrix_transformer,0.5,38378,34378,0.8957736203032988,0.709506961389439,0.5923673188145687
fold_1__h10__seed_1__lb20__supervised,1,10,1,20,matrix_transformer,0.6,38378,30398,0.792068372505081,0.7473743402207242,0.6504574911135365
fold_1__h10__seed_1__lb20__supervised,1,10,1,20,matrix_transformer,0.7,38378,26701,0.695737141070405,0.7825042329477417,0.7046498205761191
fold_1__h10__seed_1__lb20__supervised,1,10,1,20,matrix_transformer,0.8,38378,22657,0.5903642711970399,0.8177615637668012,0.757626824565297
fold_1__h10__seed_1__lb20__supervised,1,10,1,20,matrix_transformer,0.9,38378,17225,0.4488248475689197,0.8564906034046939,0.8150540855832594
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.0,38378,38378,1.0,0.5967851631907861,0.4185636363811408
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.5,38378,19621,0.5112564490072438,0.7240041450375765,0.6149926660553799
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.6,38378,14937,0.3892073583824066,0.777957421053136,0.6940887041316977
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.7,38378,12281,0.32000104226379694,0.8099205515070667,0.741399278997861
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.8,38378,9888,0.25764761061024544,0.8460354427168975,0.7926685536370502
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,0.9,38378,6526,0.17004533847516806,0.8866622144689239,0.848933426330202
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.0,38348,38348,1.0,0.2729783754213661,-0.03364387997373246
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.5,38348,19556,0.5099614060707207,0.2419424897923725,0.0
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.6,38348,19543,0.5096224053405654,0.24190656277507905,0.0
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.7,38348,0,0.0,,
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.8,38348,0,0.0,,
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,0.9,38348,0,0.0,,
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.0,38348,38348,1.0,0.5056787374273811,0.30485204100548563
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.5,38348,27729,0.7230885574215082,0.5858788051044519,0.4126253430080659
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.6,38348,18845,0.4914206738291436,0.7091168810665917,0.5903124449582046
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.7,38348,14044,0.3662250964848232,0.7910404254126678,0.7142002816795089
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.8,38348,10655,0.27785021383122976,0.8361827403809957,0.7812301140973645
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,0.9,38348,6860,0.17888807760509023,0.8844668228537215,0.8484923206916567
fold_1__h10__seed_1__lb100__supervised,1,10,1,100,matrix_transformer,0.0,38298,38298,1.0,0.2666516771363188,-0.03405456590077106
