fold,horizon,seed,model_family,objective,reason,traceback,invalidates_aggregate_claims,status,run_id
1,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_0__lb20__supervised
1,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_0__lb20__deeplob_style__supervised
1,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_0__lb50__supervised
1,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_0__lb50__deeplob_style__supervised
1,10,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_0__lb100__supervised
1,10,0,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_0__lb100__deeplob_style__supervised
1,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_1__lb20__supervised
1,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_1__lb20__deeplob_style__supervised
1,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_1__lb50__supervised
1,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_1__lb50__deeplob_style__supervised
1,10,1,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_1__lb100__supervised
1,10,1,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_1__lb100__deeplob_style__supervised
1,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_2__lb20__supervised
1,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_2__lb20__deeplob_style__supervised
1,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_2__lb50__supervised
1,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_2__lb50__deeplob_style__supervised
1,10,2,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_2__lb100__supervised
1,10,2,deeplob_style,supervised,existing completed run reused,,False,skipped_existing,fold_1__h10__seed_2__lb100__deeplob_style__supervised
1,50,0,matrix_transformer,supervised,existing completed run reused,,False,skipped_existing,fold_1__h50__seed_0__lb20__supervised
