fold,model_family,horizon,lookback,run_count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,brier_score_mean,brier_score_std,ece_mean,ece_std
1,deeplob_style,10,20,3,0.7082877342922161,0.0326591154394887,0.6037615913256175,0.02703664251675409,0.45880986599166923,0.055868955847457984,0.4227187237666639,0.049796269637152106,0.05091517491998376,0.034731599368181564
1,deeplob_style,10,50,3,0.5626890580995098,0.10364750318342045,0.5140279705246736,0.0396122758367546,0.32805952855024567,0.05090881901031639,0.5626467387877625,0.12389704973591968,0.12337067404402884,0.09378210398342143
1,deeplob_style,10,100,3,0.5863317492645395,0.10328927184350895,0.5090514911927392,0.05932097879540795,0.32520243382789515,0.07874942955954575,0.5974309875594832,0.1508832022567281,0.15717769842520216,0.14368765061441782
1,deeplob_style,50,20,3,0.4710598085708826,0.022169130020738212,0.44086997076831036,0.041298490427882535,0.23209102599478884,0.033161353851871245,0.6591307984009757,0.03978677525732134,0.1705536139667914,0.07710850289027793
1,deeplob_style,50,50,3,0.4274799207259831,0.03036906910333963,0.3988189056120262,0.023407898376490825,0.1726613371807013,0.0403250029803542,0.6961587818078993,0.049701269178538156,0.16798592964628703,0.06139928228596639
1,deeplob_style,50,100,3,0.4430518564938117,0.04526298387555142,0.42401433127030824,0.054561369343424454,0.19395863338797295,0.05429370155266541,0.8069343190896263,0.020268452856966,0.2884254890999258,0.0438371993143235
1,matrix_transformer,10,20,3,0.7572307050914587,0.01273442603198808,0.6842577942505805,0.009216864486821044,0.5583520468009149,0.017176121862418563,0.3455123922548915,0.014052316714086405,0.06213462634845413,0.0062664428240791605
1,matrix_transformer,10,50,3,0.5638538298390181,0.1671547496040437,0.38816557821827197,0.21777411625118845,0.15056999299707388,0.2897530314909494,0.5600290845013073,0.15196511580518257,0.1077391327437968,0.05935860578668906
1,matrix_transformer,10,100,3,0.38747889358887316,0.0021571772836641396,0.26716629798872465,0.0008564364704900966,-0.03378366045064727,0.0005769572030909217,0.6443166788427339,0.025344578372977787,0.14284918664828053,0.019153094406777087
1,matrix_transformer,50,20,3,0.6351989855299043,0.008634462574553439,0.638589078299512,0.009514659860871466,0.46187774363983247,0.007361008449331402,0.5027892272206163,0.01324971423898368,0.11655414127999786,0.02424696136263574
1,matrix_transformer,50,50,3,0.4848231980807343,0.06396700017254316,0.4757030508546232,0.0681761188182058,0.2258038802397203,0.10022876915686157,0.6440116502220428,0.022040772003129823,0.12648996579393165,0.05404907419235277
1,matrix_transformer,50,100,3,0.3698974707121346,0.01578433182329492,0.36222985849443895,0.01363536385768604,0.05298665687348727,0.015010765130268448,0.6796018616578928,0.022504317178271536,0.0653803282506539,0.032841093354793426
2,deeplob_style,10,20,3,0.464289054098284,0.018545132273488727,0.4690395254177082,0.016658657159114597,0.28969727047925065,0.03312584447187628,0.8308791864973113,0.06384679436659067,0.34049456965340824,0.04353480523907827
2,deeplob_style,10,50,3,0.4528423319057315,0.009130687947086867,0.4510133872705238,0.011205447559399492,0.2805780437330226,0.0065801844227857485,0.866053167602261,0.11431522267112365,0.36814868501604253,0.08165618575090777
2,deeplob_style,10,100,3,0.5665822666103999,0.15463398003385678,0.48392239462896675,0.07822723555356194,0.3130783219705897,0.12237154443084053,0.5678962707670622,0.13948184818882417,0.19326204980292816,0.09602679336571357
2,deeplob_style,50,20,3,0.5673540000935148,0.024977360152749307,0.5387716755964682,0.03495815868820168,0.3743611043917372,0.04484063946374577,0.6091492775919213,0.07082375448616315,0.16770259400685705,0.047845700378392024
2,deeplob_style,50,50,3,0.5421961665379484,0.030072293899693164,0.5285310740847186,0.03390974718286474,0.3444257739880283,0.029499386651329,0.6749923115858053,0.12015702951575023,0.2351647188384657,0.10547962159215069
2,deeplob_style,50,100,3,0.519998124443194,0.02656103422401358,0.49701475082621527,0.027581448314350526,0.3479881235321482,0.033373342243322945,0.7328461762639681,0.1623316448343758,0.27799523166489776,0.11798409350864028
2,matrix_transformer,10,20,3,0.8181021181091316,0.0020166405305554486,0.7409117694292835,0.001843657558674552,0.6387253696727005,0.0027738318992915193,0.25299023554253447,0.003376377818424052,0.013002142194833399,0.00563971870795126
