run_id,fold,fold_id,horizon,seed,lookback,model_family,objective,pretraining_objective,run_dir
fold_1__h10__seed_0__lb20__supervised,1,fold_1,10,0,20,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_0/lookback_20/supervised
fold_1__h10__seed_0__lb20__deeplob_style__supervised,1,fold_1,10,0,20,deeplob_style,supervised,none,runs/fold_1/horizon_10/seed_0/lookback_20/deeplob_style/supervised
fold_1__h10__seed_0__lb50__supervised,1,fold_1,10,0,50,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_0/lookback_50/supervised
fold_1__h10__seed_0__lb50__deeplob_style__supervised,1,fold_1,10,0,50,deeplob_style,supervised,none,runs/fold_1/horizon_10/seed_0/lookback_50/deeplob_style/supervised
fold_1__h10__seed_0__lb100__supervised,1,fold_1,10,0,100,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_0/lookback_100/supervised
fold_1__h10__seed_0__lb100__deeplob_style__supervised,1,fold_1,10,0,100,deeplob_style,supervised,none,runs/fold_1/horizon_10/seed_0/lookback_100/deeplob_style/supervised
fold_1__h10__seed_1__lb20__supervised,1,fold_1,10,1,20,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_1/lookback_20/supervised
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,fold_1,10,1,20,deeplob_style,supervised,none,runs/fold_1/horizon_10/seed_1/lookback_20/deeplob_style/supervised
fold_1__h10__seed_1__lb50__supervised,1,fold_1,10,1,50,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_1/lookback_50/supervised
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,fold_1,10,1,50,deeplob_style,supervised,none,runs/fold_1/horizon_10/seed_1/lookback_50/deeplob_style/supervised
fold_1__h10__seed_1__lb100__supervised,1,fold_1,10,1,100,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_1/lookback_100/supervised
fold_1__h10__seed_1__lb100__deeplob_style__supervised,1,fold_1,10,1,100,deeplob_style,supervised,none,runs/fold_1/horizon_10/seed_1/lookback_100/deeplob_style/supervised
fold_1__h10__seed_2__lb20__supervised,1,fold_1,10,2,20,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_2/lookback_20/supervised
fold_1__h10__seed_2__lb20__deeplob_style__supervised,1,fold_1,10,2,20,deeplob_style,supervised,none,runs/fold_1/horizon_10/seed_2/lookback_20/deeplob_style/supervised
fold_1__h10__seed_2__lb50__supervised,1,fold_1,10,2,50,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_2/lookback_50/supervised
fold_1__h10__seed_2__lb50__deeplob_style__supervised,1,fold_1,10,2,50,deeplob_style,supervised,none,runs/fold_1/horizon_10/seed_2/lookback_50/deeplob_style/supervised
fold_1__h10__seed_2__lb100__supervised,1,fold_1,10,2,100,matrix_transformer,supervised,none,runs/fold_1/horizon_10/seed_2/lookback_100/supervised
fold_1__h10__seed_2__lb100__deeplob_style__supervised,1,fold_1,10,2,100,deeplob_style,supervised,none,runs/fold_1/horizon_10/seed_2/lookback_100/deeplob_style/supervised
fold_1__h50__seed_0__lb20__supervised,1,fold_1,50,0,20,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_0/lookback_20/supervised
fold_1__h50__seed_0__lb20__deeplob_style__supervised,1,fold_1,50,0,20,deeplob_style,supervised,none,runs/fold_1/horizon_50/seed_0/lookback_20/deeplob_style/supervised
fold_1__h50__seed_0__lb50__supervised,1,fold_1,50,0,50,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_0/lookback_50/supervised
fold_1__h50__seed_0__lb50__deeplob_style__supervised,1,fold_1,50,0,50,deeplob_style,supervised,none,runs/fold_1/horizon_50/seed_0/lookback_50/deeplob_style/supervised
fold_1__h50__seed_0__lb100__supervised,1,fold_1,50,0,100,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_0/lookback_100/supervised
fold_1__h50__seed_0__lb100__deeplob_style__supervised,1,fold_1,50,0,100,deeplob_style,supervised,none,runs/fold_1/horizon_50/seed_0/lookback_100/deeplob_style/supervised
fold_1__h50__seed_1__lb20__supervised,1,fold_1,50,1,20,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_1/lookback_20/supervised
fold_1__h50__seed_1__lb20__deeplob_style__supervised,1,fold_1,50,1,20,deeplob_style,supervised,none,runs/fold_1/horizon_50/seed_1/lookback_20/deeplob_style/supervised
fold_1__h50__seed_1__lb50__supervised,1,fold_1,50,1,50,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_1/lookback_50/supervised
fold_1__h50__seed_1__lb50__deeplob_style__supervised,1,fold_1,50,1,50,deeplob_style,supervised,none,runs/fold_1/horizon_50/seed_1/lookback_50/deeplob_style/supervised
fold_1__h50__seed_1__lb100__supervised,1,fold_1,50,1,100,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_1/lookback_100/supervised
fold_1__h50__seed_1__lb100__deeplob_style__supervised,1,fold_1,50,1,100,deeplob_style,supervised,none,runs/fold_1/horizon_50/seed_1/lookback_100/deeplob_style/supervised
fold_1__h50__seed_2__lb20__supervised,1,fold_1,50,2,20,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_2/lookback_20/supervised
fold_1__h50__seed_2__lb20__deeplob_style__supervised,1,fold_1,50,2,20,deeplob_style,supervised,none,runs/fold_1/horizon_50/seed_2/lookback_20/deeplob_style/supervised
fold_1__h50__seed_2__lb50__supervised,1,fold_1,50,2,50,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_2/lookback_50/supervised
fold_1__h50__seed_2__lb50__deeplob_style__supervised,1,fold_1,50,2,50,deeplob_style,supervised,none,runs/fold_1/horizon_50/seed_2/lookback_50/deeplob_style/supervised
fold_1__h50__seed_2__lb100__supervised,1,fold_1,50,2,100,matrix_transformer,supervised,none,runs/fold_1/horizon_50/seed_2/lookback_100/supervised
fold_1__h50__seed_2__lb100__deeplob_style__supervised,1,fold_1,50,2,100,deeplob_style,supervised,none,runs/fold_1/horizon_50/seed_2/lookback_100/deeplob_style/supervised
fold_2__h10__seed_0__lb20__supervised,2,fold_2,10,0,20,matrix_transformer,supervised,none,runs/fold_2/horizon_10/seed_0/lookback_20/supervised
fold_2__h10__seed_0__lb20__deeplob_style__supervised,2,fold_2,10,0,20,deeplob_style,supervised,none,runs/fold_2/horizon_10/seed_0/lookback_20/deeplob_style/supervised
fold_2__h10__seed_0__lb50__supervised,2,fold_2,10,0,50,matrix_transformer,supervised,none,runs/fold_2/horizon_10/seed_0/lookback_50/supervised
fold_2__h10__seed_0__lb50__deeplob_style__supervised,2,fold_2,10,0,50,deeplob_style,supervised,none,runs/fold_2/horizon_10/seed_0/lookback_50/deeplob_style/supervised
fold_2__h10__seed_0__lb100__supervised,2,fold_2,10,0,100,matrix_transformer,supervised,none,runs/fold_2/horizon_10/seed_0/lookback_100/supervised
fold_2__h10__seed_0__lb100__deeplob_style__supervised,2,fold_2,10,0,100,deeplob_style,supervised,none,runs/fold_2/horizon_10/seed_0/lookback_100/deeplob_style/supervised
fold_2__h10__seed_1__lb20__supervised,2,fold_2,10,1,20,matrix_transformer,supervised,none,runs/fold_2/horizon_10/seed_1/lookback_20/supervised
fold_2__h10__seed_1__lb20__deeplob_style__supervised,2,fold_2,10,1,20,deeplob_style,supervised,none,runs/fold_2/horizon_10/seed_1/lookback_20/deeplob_style/supervised
fold_2__h10__seed_1__lb50__supervised,2,fold_2,10,1,50,matrix_transformer,supervised,none,runs/fold_2/horizon_10/seed_1/lookback_50/supervised
fold_2__h10__seed_1__lb50__deeplob_style__supervised,2,fold_2,10,1,50,deeplob_style,supervised,none,runs/fold_2/horizon_10/seed_1/lookback_50/deeplob_style/supervised
