run_id,fold,horizon,seed,lookback,model_family,objective,pretraining_objective,max_epochs,epochs_ran,best_epoch,monitored_metric,best_validation_score,early_stopping_patience,early_stopped,training_seconds,test_macro_f1,test_accuracy,test_mcc,test_ece,status
fold_1__h10__seed_0__lb20__supervised,1,10,0,20,matrix_transformer,supervised,none,25,25,23,validation_macro_f1,0.6969743169249317,5,False,36.15362887782976,0.6905555155280024,0.7636927406326541,0.5673478511817102,0.06267898923595494,skipped_existing
fold_1__h10__seed_0__lb20__deeplob_style__supervised,1,10,0,20,deeplob_style,supervised,none,25,20,15,validation_macro_f1,0.7098609522347541,5,True,20.730543597601354,0.5808968714683559,0.7019386106623586,0.4352692546722922,0.02911088665329028,skipped_existing
fold_1__h10__seed_0__lb50__supervised,1,10,0,50,matrix_transformer,supervised,none,25,6,1,validation_macro_f1,0.2546958228202972,5,True,14.249000439886004,0.2521758721161697,0.5884009596328361,0.0007972982358240225,0.13571290146044496,skipped_existing
fold_1__h10__seed_0__lb50__deeplob_style__supervised,1,10,0,50,deeplob_style,supervised,none,25,25,25,validation_macro_f1,0.7101318832543203,5,False,34.99438261287287,0.5571493472336008,0.6802180035464692,0.38643684653307075,0.027423620605648884,skipped_existing
fold_1__h10__seed_0__lb100__supervised,1,10,0,100,matrix_transformer,supervised,none,25,6,1,validation_macro_f1,0.25425467926264017,5,True,25.532224089838564,0.26815494791316863,0.3899681445506293,-0.033121104991748404,0.12264734073290688,skipped_existing
fold_1__h10__seed_0__lb100__deeplob_style__supervised,1,10,0,100,deeplob_style,supervised,none,25,17,12,validation_macro_f1,0.6789177035689692,5,True,36.45643634814769,0.5604026023263821,0.684187163820565,0.40148282779469896,0.08532718619220522,skipped_existing
fold_1__h10__seed_1__lb20__supervised,1,10,1,20,matrix_transformer,supervised,none,25,25,24,validation_macro_f1,0.6827079040589407,5,False,36.21204147487879,0.6736789523869705,0.742560842149148,0.538546440997973,0.055613760446956984,skipped_existing
fold_1__h10__seed_1__lb20__deeplob_style__supervised,1,10,1,20,deeplob_style,supervised,none,25,15,10,validation_macro_f1,0.6695023804829239,5,True,14.519692840985954,0.5967851631907861,0.6792693730783261,0.4185636363811408,0.09096716904538149,skipped_existing
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,matrix_transformer,supervised,none,25,6,1,validation_macro_f1,0.2546958228202972,5,True,14.249805673956871,0.2729783754213661,0.3857828309168666,-0.03364387997373246,0.14794214854020798,skipped_existing
fold_1__h10__seed_1__lb50__deeplob_style__supervised,1,10,1,50,deeplob_style,supervised,none,25,25,24,validation_macro_f1,0.6972815895006281,5,False,35.5925572742708,0.5056787374273811,0.5234953582976948,0.30485204100548563,0.12786196036639996,skipped_existing
fold_1__h10__seed_1__lb100__supervised,1,10,1,100,matrix_transformer,supervised,none,25,6,1,validation_macro_f1,0.25425467926264017,5,True,25.703202759847045,0.2666516771363188,0.3861559350357721,-0.03405456590077106,0.1451555543547976,skipped_existing
fold_1__h10__seed_1__lb100__deeplob_style__supervised,1,10,1,100,deeplob_style,supervised,none,25,25,21,validation_macro_f1,0.7093329467476064,5,False,54.18873018026352,0.44411684668780776,0.47835396104235206,0.24419676381367555,0.3226184704383799,skipped_existing
fold_1__h10__seed_2__lb20__supervised,1,10,2,20,matrix_transformer,supervised,none,25,25,23,validation_macro_f1,0.7027969103916156,5,False,36.4529742221348,0.6885389148367689,0.7654385324925739,0.5691618482230616,0.06811112936245067,skipped_existing
fold_1__h10__seed_2__lb20__deeplob_style__supervised,1,10,2,20,deeplob_style,supervised,none,25,18,13,validation_macro_f1,0.6983134227712302,5,True,16.630188734270632,0.6336027393177105,0.7436552191359633,0.5225967069215747,0.03266746906127973,skipped_existing
fold_1__h10__seed_2__lb50__supervised,1,10,2,50,matrix_transformer,supervised,none,25,25,23,validation_macro_f1,0.6747169505261289,5,False,56.23778048623353,0.63934248711728,0.7173776989673516,0.48455656072913006,0.03956234823073764,skipped_existing
fold_1__h10__seed_2__lb50__deeplob_style__supervised,1,10,2,50,deeplob_style,supervised,none,25,21,16,validation_macro_f1,0.7120089215927677,5,True,29.05181902134791,0.47925582691303914,0.48435381245436526,0.29288969811218085,0.2148264411600378,skipped_existing
fold_1__h10__seed_2__lb100__supervised,1,10,2,100,matrix_transformer,supervised,none,25,6,1,validation_macro_f1,0.25425467926264017,5,True,25.556225727777928,0.2666922689166867,0.38631260118021826,-0.03417531045942245,0.16074466485713726,skipped_existing
fold_1__h10__seed_2__lb100__deeplob_style__supervised,1,10,2,100,deeplob_style,supervised,none,25,19,14,validation_macro_f1,0.6874747669698756,5,True,41.82083373190835,0.5226350245640278,0.5964541229307013,0.329927709875311,0.06358743864502145,skipped_existing
fold_1__h50__seed_0__lb20__supervised,1,50,0,20,matrix_transformer,supervised,none,25,25,23,validation_macro_f1,0.6606427882450171,5,False,36.354110260959715,0.6470251969018043,0.6429725363489499,0.47033217365327606,0.12958221685777355,skipped_existing
fold_1__h50__seed_0__lb20__deeplob_style__supervised,1,50,0,20,deeplob_style,supervised,none,25,10,5,validation_macro_f1,0.5792365285612341,5,True,11.13846238097176,0.44020155205767963,0.4607327114492678,0.21173052813795482,0.13060918635499802,skipped_existing
fold_1__h50__seed_0__lb50__supervised,1,50,0,50,matrix_transformer,supervised,none,25,25,23,validation_macro_f1,0.5584519303098362,5,False,55.78930855123326,0.5162278955480383,0.5238082820486075,0.2850297749315215,0.16485556565099022,skipped_existing
fold_1__h50__seed_0__lb50__deeplob_style__supervised,1,50,0,50,deeplob_style,supervised,none,25,8,3,validation_macro_f1,0.5648176979009114,5,True,12.525975573807955,0.41089991108805296,0.4434390320225305,0.1945670943145385,0.20514652836296945,skipped_existing
fold_1__h50__seed_0__lb100__supervised,1,50,0,100,matrix_transformer,supervised,none,25,17,12,validation_macro_f1,0.38517342982910135,5,True,70.55471572699025,0.3494453719306752,0.35307326753355267,0.03985405930128925,0.10187915374871986,skipped_existing
fold_1__h50__seed_0__lb100__deeplob_style__supervised,1,50,0,100,deeplob_style,supervised,none,25,9,4,validation_macro_f1,0.534479322371699,5,True,19.742170681711286,0.42870847539463114,0.44905739203091544,0.19796185085665974,0.29140284083199924,skipped_existing
fold_1__h50__seed_1__lb20__supervised,1,50,1,20,matrix_transformer,supervised,none,25,22,17,validation_macro_f1,0.6558592906575099,5,True,32.105598357040435,0.6404663187829639,0.6367189535671478,0.45689131505843816,0.08857811219542708,skipped_existing
fold_1__h50__seed_1__lb20__deeplob_style__supervised,1,50,1,20,deeplob_style,supervised,none,25,11,6,validation_macro_f1,0.5494561162788468,5,True,11.962821864988655,0.39990974679487845,0.45593829798321955,0.21418635041635695,0.12161245283679743,skipped_existing
fold_1__h50__seed_1__lb50__supervised,1,50,1,50,matrix_transformer,supervised,none,25,25,21,validation_macro_f1,0.5518275609017247,5,False,56.39631416508928,0.5138896310575322,0.5196620423490143,0.2823014793742956,0.14993770634703968,skipped_existing
fold_1__h50__seed_1__lb50__deeplob_style__supervised,1,50,1,50,deeplob_style,supervised,none,25,7,2,validation_macro_f1,0.5580213963192687,5,True,10.744507500901818,0.4137179990119588,0.44654219255241473,0.197292292283872,0.09711615436309974,skipped_existing
fold_1__h50__seed_1__lb100__supervised,1,50,1,100,matrix_transformer,supervised,none,25,16,11,validation_macro_f1,0.35953999235602657,5,True,66.73631555307657,0.36066340684516546,0.37223875920413596,0.049756311818397396,0.03821945009549621,skipped_existing
fold_1__h50__seed_1__lb100__deeplob_style__supervised,1,50,1,100,deeplob_style,supervised,none,25,25,20,validation_macro_f1,0.6507448410455082,5,True,54.216846759896725,0.4760769714186947,0.48501227218131493,0.24613992523779643,0.33069811550223316,skipped_existing
fold_1__h50__seed_2__lb20__supervised,1,50,2,20,matrix_transformer,supervised,none,25,23,18,validation_macro_f1,0.6880067589008328,5,True,33.77642868505791,0.6282757192137677,0.6259054666736151,0.4584097422077833,0.1315020947867931,skipped_existing
fold_1__h50__seed_2__lb20__deeplob_style__supervised,1,50,2,20,deeplob_style,supervised,none,25,25,24,validation_macro_f1,0.6710487908357093,5,False,24.93830139003694,0.48249861345237327,0.4965084162801605,0.2703561994300549,0.2594392027085788,skipped_existing
fold_1__h50__seed_2__lb50__supervised,1,50,2,50,matrix_transformer,supervised,none,25,9,4,validation_macro_f1,0.40406955388385407,5,True,20.98352930136025,0.39699162595829945,0.4109992698445812,0.11008038641334386,0.06467662538376524,skipped_existing
fold_1__h50__seed_2__lb50__deeplob_style__supervised,1,50,2,50,deeplob_style,supervised,none,25,6,1,validation_macro_f1,0.5544175872629865,5,True,9.255973120685667,0.3718388067360669,0.3924585376030041,0.1261246249436934,0.20169510621279207,skipped_existing
fold_1__h50__seed_2__lb100__supervised,1,50,2,100,matrix_transformer,supervised,none,25,21,16,validation_macro_f1,0.38857198479661753,5,True,87.1468340116553,0.37658079670747635,0.38438038539871533,0.06934959950077535,0.05604238090774573,skipped_existing
