source,split,metric,baseline_model,candidate_model,lookback,n_folds,mean_difference,std_difference,standard_error,ci_level,ci_lower,ci_upper,wins,losses,ties
classical,test,accuracy,gradient_boosting,elastic_net,,5,-0.028438790916447788,0.010332464215148265,0.0046208184720311065,0.95,-0.04126618299480614,-0.015611398838089437,0,5,0
classical,test,accuracy,gradient_boosting,logistic,,5,-0.02846400675470282,0.010343702614525363,0.004625844437024203,0.95,-0.041305350911882005,-0.015622662597523635,0,5,0
classical,test,accuracy,gradient_boosting,majority,,5,-0.03516802783871507,0.01415034317220196,0.0063282258475987185,0.95,-0.05273518279164911,-0.017600872885781025,0,5,0
classical,test,accuracy,gradient_boosting,random_forest,,5,-0.014655915246164563,0.006994565116667276,0.003128064614783355,0.95,-0.023339422616803156,-0.00597240787552597,0,5,0
classical,test,accuracy,gradient_boosting,ridge,,5,-0.028307142424076524,0.011379545544978538,0.00508908747832538,0.95,-0.04243444926390778,-0.01417983558424527,0,5,0
classical,test,macro_f1,gradient_boosting,elastic_net,,5,-0.13940425872216577,0.01137031539435374,0.005084959629477458,0.95,-0.1535201066535952,-0.12528841079073635,0,5,0
classical,test,macro_f1,gradient_boosting,logistic,,5,-0.13932052770131204,0.011435930769792352,0.005114303717447439,0.95,-0.15351783482094614,-0.12512322058167794,0,5,0
classical,test,macro_f1,gradient_boosting,majority,,5,-0.2139597491493112,0.005564675465798843,0.0024885985228503037,0.95,-0.22086809864874365,-0.20705139964987876,0,5,0
classical,test,macro_f1,gradient_boosting,random_forest,,5,-0.0107180492680642,0.00671514987913315,0.0030031063217682437,0.95,-0.019054672417292844,-0.002381426118835555,0,5,0
classical,test,macro_f1,gradient_boosting,ridge,,5,-0.1567219458443872,0.008712355427584428,0.003896283796043605,0.95,-0.16753802966220424,-0.14590586202657016,0,5,0
classical,test,mcc,gradient_boosting,elastic_net,,5,-0.14965255576308906,0.015853977564090863,0.007090114309412739,0.95,-0.16933471308601883,-0.12997039844015928,0,5,0
classical,test,mcc,gradient_boosting,logistic,,5,-0.14966466253105087,0.01580402156613636,0.007067773307950718,0.95,-0.16928480123392206,-0.1300445238281797,0,5,0
classical,test,mcc,gradient_boosting,majority,,5,-0.2723530079601043,0.014535420706798561,0.006500437756391924,0.95,-0.29039822317184827,-0.25430779274836035,0,5,0
classical,test,mcc,gradient_boosting,random_forest,,5,-0.029207548616687073,0.009760022554938361,0.00436481477895467,0.95,-0.04132427444306523,-0.01709082279030891,0,5,0
classical,test,mcc,gradient_boosting,ridge,,5,-0.16076708584759816,0.01651999633325735,0.007387966957842141,0.95,-0.18127608212256793,-0.1402580895726284,0,5,0
classical,test,brier_score,gradient_boosting,elastic_net,,5,0.04701508775607834,0.015443015387051638,0.006906326436604537,0.95,0.027843125568064148,0.06618704994409254,5,0,0
classical,test,brier_score,gradient_boosting,logistic,,5,0.04702493532554972,0.015434610388036792,0.006902567606774934,0.95,0.027863407649142507,0.06618646300195694,5,0,0
classical,test,brier_score,gradient_boosting,majority,,5,0.07412909634970097,0.016062534039221095,0.007183383600520528,0.95,0.05418802347465598,0.09407016922474595,5,0,0
classical,test,brier_score,gradient_boosting,random_forest,,5,0.03148393281596874,0.013483920465398968,0.0060301925527665385,0.95,0.014744118289488833,0.04822374734244865,5,0,0
classical,test,ece,gradient_boosting,elastic_net,,5,-0.004144802083185801,0.014192618115127295,0.006347131776823913,0.95,-0.021764439895648982,0.013474835729277379,2,3,0
classical,test,ece,gradient_boosting,logistic,,5,-0.0039798829688624795,0.014199597395168986,0.006350253005745359,0.95,-0.021608185312811595,0.013648419375086634,2,3,0
classical,test,ece,gradient_boosting,majority,,5,-0.0002592724679691197,0.019076738499922155,0.00853137681496266,0.95,-0.023942374506305462,0.023423829570367222,2,3,0
classical,test,ece,gradient_boosting,random_forest,,5,0.048405174012881205,0.01185120175521345,0.005300018547944419,0.95,0.033692322523787496,0.06311802550197491,5,0,0
classical,validation,accuracy,gradient_boosting,elastic_net,,5,-0.008622329584596322,0.012974072300594964,0.005802181521825485,0.95,-0.024729185489183868,0.007484526319991221,1,4,0
classical,validation,accuracy,gradient_boosting,logistic,,5,-0.008657777571428115,0.013101089625006475,0.005858985396166341,0.95,-0.024922321031185878,0.007606765888329647,1,4,0
classical,validation,accuracy,gradient_boosting,majority,,5,-0.009615870407995076,0.012424867595385402,0.005556569710943222,0.95,-0.02504090792557346,0.0058091671095833065,1,4,0
classical,validation,accuracy,gradient_boosting,random_forest,,5,-0.02713160912108603,0.026584914003852295,0.011889134977719967,0.95,-0.06013584781923666,0.005872629577064595,0,5,0
classical,validation,accuracy,gradient_boosting,ridge,,5,-0.006990827779155051,0.011527267024553634,0.005155150532338733,0.95,-0.021301525656927372,0.00731987009861727,1,4,0
classical,validation,macro_f1,gradient_boosting,elastic_net,,5,-0.0882882013932033,0.015764486021789897,0.007050092475013488,0.95,-0.10785925810384074,-0.06871714468256586,0,5,0
classical,validation,macro_f1,gradient_boosting,logistic,,5,-0.08848679549668206,0.0157060044360747,0.0070239387147952555,0.95,-0.10798524936895369,-0.06898834162441043,0,5,0
classical,validation,macro_f1,gradient_boosting,majority,,5,-0.16305198906407878,0.013271484613429882,0.005935188351594347,0.95,-0.1795280719281047,-0.14657590620005287,0,5,0
classical,validation,macro_f1,gradient_boosting,random_forest,,5,-0.02696124527178676,0.006711004939554866,0.0030012526484363092,0.95,-0.03529272262384596,-0.018629767919727567,0,5,0
classical,validation,macro_f1,gradient_boosting,ridge,,5,-0.10292971047174819,0.015277530512284683,0.006832319350759147,0.95,-0.12189622898945558,-0.0839631919540408,0,5,0
classical,validation,mcc,gradient_boosting,elastic_net,,5,-0.10431432978366703,0.020375329119563204,0.009112124195054852,0.95,-0.1296095865491393,-0.07901907301819476,0,5,0
classical,validation,mcc,gradient_boosting,logistic,,5,-0.1044797573433082,0.020611203445684248,0.009217610400525574,0.95,-0.13006784381516717,-0.0788916708714492,0,5,0
classical,validation,mcc,gradient_boosting,majority,,5,-0.22114739243105808,0.018772243911587026,0.008395202695303028,0.95,-0.24445247511321927,-0.19784230974889688,0,5,0
classical,validation,mcc,gradient_boosting,random_forest,,5,-0.05803899080461557,0.019215627090266852,0.008593489680824634,0.95,-0.08189451815858476,-0.034183463450646386,0,5,0
classical,validation,mcc,gradient_boosting,ridge,,5,-0.11328837637190219,0.01980227365080035,0.008855845998448502,0.95,-0.13787220486359522,-0.08870454788020915,0,5,0
classical,validation,brier_score,gradient_boosting,elastic_net,,5,0.02550194079939917,0.010800172035359453,0.0048299837679511995,0.95,0.01209390585956664,0.038909975739231696,5,0,0
classical,validation,brier_score,gradient_boosting,logistic,,5,0.025519192936403878,0.010803256632521824,0.004831363241738852,0.95,0.012107328577336825,0.03893105729547093,5,0,0
classical,validation,brier_score,gradient_boosting,majority,,5,0.04842671158673704,0.013049218859519637,0.005835788084631637,0.95,0.032226563863799615,0.06462685930967446,5,0,0
classical,validation,brier_score,gradient_boosting,random_forest,,5,0.04984503710637932,0.030949756824418372,0.0138411520292975,0.95,0.011421999073049457,0.08826807513970918,5,0,0
classical,validation,ece,gradient_boosting,elastic_net,,5,0.0033973470868163,0.01571549595518452,0.0070281834511831155,0.95,-0.01611289017366803,0.022907584347300627,4,1,0
classical,validation,ece,gradient_boosting,logistic,,5,0.003418851060695042,0.015738353546644903,0.007038405676844581,0.95,-0.016119763098225513,0.0229574652196156,4,1,0
classical,validation,ece,gradient_boosting,majority,,5,0.0005190901962171992,0.014755755941973434,0.006598974669129808,0.95,-0.017799663485287148,0.018837843877721545,3,2,0
classical,validation,ece,gradient_boosting,random_forest,,5,0.057356951431397164,0.009810782062901516,0.004387515121016682,0.95,0.04517720945545486,0.06953669340733948,5,0,0
