source,split,metric,model_name,lookback,n_folds,best_count,best_fraction,mean_rank,rank_std
classical,test,accuracy,elastic_net,,5,0,0.0,3.4,0.5477225575051661
classical,test,accuracy,gradient_boosting,,5,5,1.0,1.0,0.0
classical,test,accuracy,logistic,,5,0,0.0,3.8,0.8366600265340756
classical,test,accuracy,majority,,5,0,0.0,5.8,0.44721359549995787
classical,test,accuracy,random_forest,,5,0,0.0,2.8,1.7888543819998322
classical,test,accuracy,ridge,,5,0,0.0,4.0,1.4142135623730951
classical,test,macro_f1,elastic_net,,5,0,0.0,3.4,0.5477225575051661
classical,test,macro_f1,gradient_boosting,,5,5,1.0,1.0,0.0
classical,test,macro_f1,logistic,,5,0,0.0,3.6,0.5477225575051661
classical,test,macro_f1,majority,,5,0,0.0,6.0,0.0
classical,test,macro_f1,random_forest,,5,0,0.0,2.0,0.0
classical,test,macro_f1,ridge,,5,0,0.0,5.0,0.0
classical,test,mcc,elastic_net,,5,0,0.0,3.6,0.5477225575051661
classical,test,mcc,gradient_boosting,,5,5,1.0,1.0,0.0
classical,test,mcc,logistic,,5,0,0.0,3.4,0.5477225575051661
classical,test,mcc,majority,,5,0,0.0,6.0,0.0
classical,test,mcc,random_forest,,5,0,0.0,2.0,0.0
classical,test,mcc,ridge,,5,0,0.0,5.0,0.0
classical,test,brier_score,elastic_net,,5,0,0.0,3.2,0.4472135954999579
classical,test,brier_score,gradient_boosting,,5,5,1.0,1.0,0.0
classical,test,brier_score,logistic,,5,0,0.0,3.4,0.8944271909999159
classical,test,brier_score,majority,,5,0,0.0,5.0,0.0
classical,test,brier_score,random_forest,,5,0,0.0,2.4,0.8944271909999161
classical,test,ece,elastic_net,,5,1,0.2,2.2,1.0954451150103321
classical,test,ece,gradient_boosting,,5,1,0.2,2.8,1.3038404810405297
classical,test,ece,logistic,,5,1,0.2,2.4,0.8944271909999159
classical,test,ece,majority,,5,2,0.4,2.6,1.51657508881031
classical,test,ece,random_forest,,5,0,0.0,5.0,0.0
classical,validation,accuracy,elastic_net,,5,0,0.0,3.4,1.140175425099138
classical,validation,accuracy,gradient_boosting,,5,4,0.8,1.8,1.7888543819998322
classical,validation,accuracy,logistic,,5,1,0.2,3.8,1.9235384061671346
classical,validation,accuracy,majority,,5,0,0.0,4.2,1.3038404810405297
classical,validation,accuracy,random_forest,,5,0,0.0,5.2,1.0954451150103321
classical,validation,accuracy,ridge,,5,0,0.0,2.2,0.44721359549995787
classical,validation,macro_f1,elastic_net,,5,0,0.0,3.2,0.44721359549995787
classical,validation,macro_f1,gradient_boosting,,5,5,1.0,1.0,0.0
classical,validation,macro_f1,logistic,,5,0,0.0,3.8,0.44721359549995787
classical,validation,macro_f1,majority,,5,0,0.0,6.0,0.0
classical,validation,macro_f1,random_forest,,5,0,0.0,2.0,0.0
classical,validation,macro_f1,ridge,,5,0,0.0,5.0,0.0
classical,validation,mcc,elastic_net,,5,0,0.0,3.2,0.44721359549995787
classical,validation,mcc,gradient_boosting,,5,5,1.0,1.0,0.0
classical,validation,mcc,logistic,,5,0,0.0,3.8,0.44721359549995787
classical,validation,mcc,majority,,5,0,0.0,6.0,0.0
classical,validation,mcc,random_forest,,5,0,0.0,2.0,0.0
classical,validation,mcc,ridge,,5,0,0.0,5.0,0.0
classical,validation,brier_score,elastic_net,,5,0,0.0,2.0,0.0
classical,validation,brier_score,gradient_boosting,,5,5,1.0,1.0,0.0
classical,validation,brier_score,logistic,,5,0,0.0,3.0,0.0
classical,validation,brier_score,majority,,5,0,0.0,4.6,0.5477225575051662
classical,validation,brier_score,random_forest,,5,0,0.0,4.4,0.5477225575051662
classical,validation,ece,elastic_net,,5,0,0.0,2.8,0.4472135954999579
classical,validation,ece,gradient_boosting,,5,3,0.6,1.8,1.3038404810405297
classical,validation,ece,logistic,,5,1,0.2,3.0,1.4142135623730951
classical,validation,ece,majority,,5,1,0.2,2.4,1.140175425099138
classical,validation,ece,random_forest,,5,0,0.0,5.0,0.0
neural,test,accuracy,deeplob_style,20,5,0,0.0,2.0,0.0
neural,test,accuracy,matrix_transformer,20,5,5,1.0,1.0,0.0
neural,test,macro_f1,deeplob_style,20,5,0,0.0,2.0,0.0
neural,test,macro_f1,matrix_transformer,20,5,5,1.0,1.0,0.0
neural,test,mcc,deeplob_style,20,5,0,0.0,2.0,0.0
neural,test,mcc,matrix_transformer,20,5,5,1.0,1.0,0.0
neural,test,brier_score,deeplob_style,20,5,0,0.0,2.0,0.0
neural,test,brier_score,matrix_transformer,20,5,5,1.0,1.0,0.0
neural,test,ece,deeplob_style,20,5,0,0.0,2.0,0.0
neural,test,ece,matrix_transformer,20,5,5,1.0,1.0,0.0
