lookback,model_family,horizon,run_count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,brier_score_mean,brier_score_std,ece_mean,ece_std
20,deeplob_style,10,15,0.5668792991716923,0.11222193560912436,0.5309623442214852,0.06189386468178621,0.36099980288981864,0.08446750255060426,0.621714083257236,0.1734905713843849,0.199832257933766,0.12225416194237185
20,deeplob_style,50,15,0.557656708331175,0.056239958693127194,0.5391699598605125,0.0669661181638794,0.3594437955693596,0.08108800094409298,0.6154668590693809,0.09035487479976553,0.17597544724839995,0.08460356314296029
20,matrix_transformer,10,15,0.799185712273107,0.024253658357800092,0.7311069748188268,0.026743309355171736,0.6256524511216652,0.03744687164472246,0.27858671854805467,0.03774513120705925,0.032273183208693886,0.01908944406857712
20,matrix_transformer,50,15,0.751056821485119,0.06378656969088725,0.7514681473812842,0.06235525380314551,0.6286706619878922,0.09204034294194831,0.3527153048827472,0.08336489214247647,0.058393593199954144,0.0356928410546192
50,deeplob_style,10,15,0.5395055190661384,0.10503487244919406,0.5071062927411945,0.06247084609717621,0.3321923525812284,0.08362289906967535,0.6767142152817792,0.20562635482540684,0.235048288855596,0.14753636656026387
50,deeplob_style,50,15,0.522279887081187,0.05497736817053467,0.505083260138304,0.059873637328496015,0.3184431003908511,0.08369016631334203,0.6652805813843138,0.09280723689244952,0.20475613019556624,0.1026710283100547
50,matrix_transformer,10,15,0.7508458400255473,0.1171688539616299,0.6539327960843377,0.16261855458172061,0.5228019246303185,0.22550888332252958,0.341073486391749,0.13015130423273227,0.04926953785088048,0.040247136476932434
50,matrix_transformer,50,15,0.7128709895571722,0.12280624005532931,0.7108587571040059,0.12668414952295642,0.5691788949769677,0.1852877538660861,0.39072226096059826,0.13495903463398926,0.05497468421907208,0.04403792844830726
100,deeplob_style,10,15,0.5576499096508022,0.12847989228678885,0.5049586052750467,0.08957991431066425,0.33377638855895525,0.11683931090227895,0.6594996385863063,0.23944340841605238,0.23608114383750797,0.16074820297141035
100,deeplob_style,50,15,0.511422809811022,0.04793074332988894,0.4922786354568898,0.0549061290846977,0.30850704845925087,0.07581094798572204,0.7480107314030682,0.12234498247655766,0.282226202554058,0.08572197920627206
100,matrix_transformer,10,15,0.4552983143272085,0.10096780243893692,0.2978346807584551,0.07674769606189788,0.02646127388416366,0.10500100385402664,0.6151459061808209,0.06401750049963512,0.11622171160678917,0.05984676508423964
100,matrix_transformer,50,15,0.46971809796640784,0.10442849468133808,0.46269571406508786,0.10700930970477625,0.20369898883393592,0.15529270039105006,0.6126659854744931,0.07757072361937459,0.05893350201070125,0.029643175893842248
