run_id,fold,horizon,seed,lookback,objective,pretraining_objective,max_epochs,epochs_ran,best_epoch,monitored_metric,best_validation_score,early_stopping_patience,early_stopped,training_seconds,test_macro_f1,test_accuracy,test_mcc,test_ece,status
fold_1__h10__seed_0__lb50__supervised,1,10,0,50,supervised,none,25,6,1,validation_macro_f1,0.2546958228202972,5,True,433.03753590001725,0.24774826442940556,0.5913998122457494,0.0,0.08722833047305542,skipped_existing
fold_1__h10__seed_0__lb50__market_state_multitask,1,10,0,50,market_state_multitask,market_state_multitask,25,6,1,validation_macro_f1,0.30845496983414783,5,True,593.093423000013,0.3271736672332963,0.5207833524564515,0.08166752045689414,0.0967955065197093,skipped_existing
fold_1__h10__seed_1__lb50__supervised,1,10,1,50,supervised,none,25,6,1,validation_macro_f1,0.2546958228202972,5,True,12.819799507036805,0.2475431519802359,0.5905131949514968,-0.01349327236098135,0.05357522398446316,skipped_existing
fold_1__h10__seed_1__lb50__market_state_multitask,1,10,1,50,market_state_multitask,market_state_multitask,25,6,1,validation_macro_f1,0.2546958228202972,5,True,11.495163622312248,0.24774826442940556,0.5913998122457494,0.0,0.1453177160032154,skipped_existing
fold_1__h10__seed_2__lb50__supervised,1,10,2,50,supervised,none,25,6,1,validation_macro_f1,0.2546958228202972,5,True,12.708068024832755,0.2537948567290626,0.5904088870345259,0.018864401294220543,0.12845778758394927,skipped_existing
fold_1__h10__seed_2__lb50__market_state_multitask,1,10,2,50,market_state_multitask,market_state_multitask,25,6,1,validation_macro_f1,0.2546958228202972,5,True,11.499985148198903,0.24774826442940556,0.5913998122457494,0.0,0.09709983362046974,skipped_existing
fold_1__h50__seed_0__lb50__supervised,1,50,0,50,supervised,none,25,14,9,validation_macro_f1,0.41403893297024746,5,True,1164.1930720999953,0.38832521054460023,0.3903984562428288,0.09173356193612449,0.04961886866665754,skipped_existing
fold_1__h50__seed_0__lb50__market_state_multitask,1,50,0,50,market_state_multitask,market_state_multitask,25,6,1,validation_macro_f1,0.4147177465777134,5,True,586.525608099997,0.3066867226123558,0.3345937206633984,0.01594007827792984,0.14245297935842333,skipped_existing
fold_1__h50__seed_1__lb50__supervised,1,50,1,50,supervised,none,25,20,15,validation_macro_f1,0.4286362441037935,5,True,39.40193579066545,0.4421835407441915,0.4422134139981225,0.16135929780597483,0.04144895909213505,skipped_existing
fold_1__h50__seed_1__lb50__market_state_multitask,1,50,1,50,market_state_multitask,market_state_multitask,25,12,7,validation_macro_f1,0.40361950853754136,5,True,22.86398911383003,0.3825803961526373,0.3928757692708877,0.08288420091890678,0.054354873982120216,skipped_existing
fold_1__h50__seed_2__lb50__supervised,1,50,2,50,supervised,none,25,25,25,validation_macro_f1,0.5339802650052002,5,False,48.49915837869048,0.5145455748216117,0.5170543444247419,0.27205274762360476,0.09206692635739852,skipped_existing
fold_1__h50__seed_2__lb50__market_state_multitask,1,50,2,50,market_state_multitask,market_state_multitask,25,13,8,validation_macro_f1,0.4088023134004391,5,True,24.777818019967526,0.39551905395723447,0.3972567017836654,0.09799598620914468,0.08450863248999749,skipped_existing
fold_2__h10__seed_0__lb50__supervised,2,10,0,50,supervised,none,25,8,3,validation_macro_f1,0.26388714936575264,5,True,1698.8501658999594,0.26103920144673703,0.643544197149477,0.0,0.03410635901956572,skipped_existing
fold_2__h10__seed_0__lb50__market_state_multitask,2,10,0,50,market_state_multitask,market_state_multitask,25,7,2,validation_macro_f1,0.2642455580639436,5,True,1088.4851295999833,0.26103920144673703,0.643544197149477,0.0,0.07798590143346432,skipped_existing
fold_2__h10__seed_1__lb50__supervised,2,10,1,50,supervised,none,25,6,1,validation_macro_f1,0.25745428973277074,5,True,23.473209636751562,0.27062376693201123,0.39910833391841605,-0.007482022798685903,0.17265976880069156,skipped_existing
fold_2__h10__seed_1__lb50__market_state_multitask,2,10,1,50,market_state_multitask,market_state_multitask,25,25,25,validation_macro_f1,0.6825924421068993,5,False,93.48213557712734,0.6743794843422531,0.7660956259215053,0.5500374181832901,0.015847268612924563,skipped_existing
fold_2__h10__seed_2__lb50__supervised,2,10,2,50,supervised,none,25,6,1,validation_macro_f1,0.25745428973277074,5,True,23.86083591589704,0.26847508261993774,0.3986168644246296,-0.008171655507689477,0.14913861130489525,skipped_existing
fold_2__h10__seed_2__lb50__market_state_multitask,2,10,2,50,market_state_multitask,market_state_multitask,25,6,1,validation_macro_f1,0.25745428973277074,5,True,22.53844252321869,0.2652955885172374,0.6431580425472162,0.020503006949650102,0.15605424076541755,skipped_existing
fold_2__h50__seed_0__lb50__supervised,2,50,0,50,supervised,none,25,25,23,validation_macro_f1,0.7021439156423659,5,False,4285.911979199969,0.6555901987069657,0.6551639401811417,0.496755790966925,0.0967543712757175,skipped_existing
fold_2__h50__seed_0__lb50__market_state_multitask,2,50,0,50,market_state_multitask,market_state_multitask,25,25,24,validation_macro_f1,0.5834689334592958,5,False,3866.299511499994,0.5484353066570354,0.5562732570385452,0.36068839346939274,0.1330084305849123,skipped_existing
fold_2__h50__seed_1__lb50__supervised,2,50,1,50,supervised,none,25,25,25,validation_macro_f1,0.7080975729025388,5,False,96.46947301831096,0.6482395736939545,0.6585691216738047,0.5060738773828181,0.11879507798435406,skipped_existing
fold_2__h50__seed_1__lb50__market_state_multitask,2,50,1,50,market_state_multitask,market_state_multitask,25,25,25,validation_macro_f1,0.7136878559881773,5,False,94.22099873796105,0.63449456800174,0.6345573264059537,0.47435735306133336,0.1278743869611499,skipped_existing
fold_2__h50__seed_2__lb50__supervised,2,50,2,50,supervised,none,25,25,24,validation_macro_f1,0.7252221366091786,5,False,95.26278877910227,0.6934396975839191,0.7068384469563996,0.5686129825151371,0.08028869778082048,skipped_existing
fold_2__h50__seed_2__lb50__market_state_multitask,2,50,2,50,market_state_multitask,market_state_multitask,25,25,25,validation_macro_f1,0.6207988305953118,5,False,93.84194728685543,0.5934539513040131,0.6000140419855368,0.4108836552155373,0.058534447319862216,skipped_existing
fold_3__h10__seed_0__lb50__supervised,3,10,0,50,supervised,none,25,9,4,validation_macro_f1,0.26963938894304323,5,True,1947.1291920999647,0.313919455850664,0.5239086925947963,0.01741280569383475,0.05441964114244678,skipped_existing
fold_3__h10__seed_0__lb50__market_state_multitask,3,10,0,50,market_state_multitask,market_state_multitask,25,10,5,validation_macro_f1,0.2803640353564402,5,True,2117.654466899985,0.255498570044234,0.599421214907773,0.03876840131040518,0.057652483224006804,skipped_existing
fold_3__h10__seed_1__lb50__supervised,3,10,1,50,supervised,none,25,25,23,validation_macro_f1,0.7297192083974391,5,False,129.3688881760463,0.6996626684780246,0.7840644777411154,0.597564048053751,0.07283787637115023,skipped_existing
fold_3__h10__seed_1__lb50__market_state_multitask,3,10,1,50,market_state_multitask,market_state_multitask,25,9,4,validation_macro_f1,0.28093719698890735,5,True,46.313661334104836,0.2854120087002113,0.5965813815113323,0.0660315334025093,0.052170446003842665,skipped_existing
fold_3__h10__seed_2__lb50__supervised,3,10,2,50,supervised,none,25,7,2,validation_macro_f1,0.27458340467345593,5,True,37.44427505740896,0.26337116260383553,0.34783902201547034,-0.016967630414153546,0.1293887168380053,skipped_existing
fold_3__h10__seed_2__lb50__market_state_multitask,3,10,2,50,market_state_multitask,market_state_multitask,25,6,1,validation_macro_f1,0.2693771604707174,5,True,31.363743810914457,0.2718746453176282,0.5908746686861037,0.025045578419988543,0.14609686588641885,skipped_existing
fold_3__h50__seed_0__lb50__supervised,3,50,0,50,supervised,none,25,25,25,validation_macro_f1,0.7453943498817154,5,False,5415.311140100006,0.6976427330468632,0.6996267647536106,0.5533449166757284,0.11111332491801898,skipped_existing
fold_3__h50__seed_0__lb50__market_state_multitask,3,50,0,50,market_state_multitask,market_state_multitask,25,25,25,validation_macro_f1,0.7667824239295306,5,False,5480.876102700015,0.7291906945189787,0.7281873749121004,0.5942394095880031,0.0935682053592195,skipped_existing
fold_3__h50__seed_1__lb50__supervised,3,50,1,50,supervised,none,25,25,24,validation_macro_f1,0.7603355126911788,5,False,129.44788650004193,0.7423658091349217,0.7417644831503218,0.6146270851833305,0.05781316068848699,skipped_existing
fold_3__h50__seed_1__lb50__market_state_multitask,3,50,1,50,market_state_multitask,market_state_multitask,25,25,24,validation_macro_f1,0.7491306544443636,5,False,128.76276450278237,0.7119144119888698,0.7131227348947909,0.5740006375695743,0.07863856530233815,skipped_existing
fold_3__h50__seed_2__lb50__supervised,3,50,2,50,supervised,none,25,25,24,validation_macro_f1,0.75966963020387,5,False,131.79449624894187,0.7347759239107993,0.7341915940931465,0.6026995767634302,0.06633670588652617,skipped_existing
fold_3__h50__seed_2__lb50__market_state_multitask,3,50,2,50,market_state_multitask,market_state_multitask,25,25,24,validation_macro_f1,0.7461589356720268,5,False,128.46829304518178,0.72347874523323,0.7219938335046249,0.5847685463009814,0.09449735002360754,skipped_existing
fold_4__h10__seed_0__lb50__supervised,4,10,0,50,supervised,none,25,25,25,validation_macro_f1,0.7264785663869465,5,False,7532.602857599966,0.7342086749610331,0.7938450023030862,0.6264026479357518,0.036566012546542806,skipped_existing
fold_4__h10__seed_0__lb50__market_state_multitask,4,10,0,50,market_state_multitask,market_state_multitask,25,25,24,validation_macro_f1,0.7346698993883689,5,False,9981.60058540001,0.735234255498237,0.7986526946107785,0.6350052134997068,0.025744057785334284,skipped_existing
fold_4__h10__seed_1__lb50__supervised,4,10,1,50,supervised,none,25,25,25,validation_macro_f1,0.7182741177709842,5,False,174.6192988292314,0.7348777541927518,0.793614693689544,0.6274570248634748,0.02679590711677656,skipped_existing
