pretraining_objective,horizon,threshold,n_groups,mean_retained_fraction,mean_active_fraction,mean_abstention_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_hit_rate,mean_gross_directional_proxy,mean_cost_adjusted_proxy
masked_reconstruction,10,0.33,15,1.0,0.5052264409832705,0.49477355901672937,0.4061412567720745,0.32327758541382196,0.2124238754531264,-10224.2,-10224.2
masked_reconstruction,10,0.35,15,0.9928334841197193,0.5007011013389,0.49631706826446226,0.40700672539038557,0.3230403727473546,0.21221453951189068,-10135.333333333334,-10135.333333333334
masked_reconstruction,10,0.4,15,0.8951123937637592,0.4322572188808076,0.5241569565287159,0.4212584407837424,0.31964084628879497,0.2082403419312811,-8836.133333333333,-8836.133333333333
masked_reconstruction,10,0.45,15,0.7118106281745207,0.29291993964709523,0.6067640331228715,0.4635039081386745,0.3138210139295666,0.21152749250202824,-6041.8,-6041.8
masked_reconstruction,10,0.5,15,0.5339853219677075,0.15999561960680708,0.7127320489714106,0.5243306906446127,0.3096100592015429,0.1999579343908656,-3328.4,-3328.4
masked_reconstruction,10,0.55,15,0.412629841630721,0.08088952128290215,0.807136112803459,0.5859753170725329,0.30666588889130736,0.19628961273288723,-1693.3333333333333,-1693.3333333333333
masked_reconstruction,10,0.6,15,0.31596148811363345,0.026251919972020844,0.889665186182075,0.6473604278940037,0.3028981858755484,0.21973929502891895,-558.3333333333334,-558.3333333333334
masked_reconstruction,10,0.65,14,0.2141970308946153,0.008780521543061614,0.9372135954928382,0.7255455222194168,0.31097654454268486,0.19290849939305685,-208.0,-208.0
masked_reconstruction,10,0.7,13,0.15717997142959175,0.0023678115390002308,0.9019776945612522,0.760178107713313,0.3050604436848723,0.18347629296342885,-62.69230769230769,-62.69230769230769
masked_reconstruction,10,0.75,13,0.1134298048095619,0.00034855496800066356,0.9196166543470234,0.7947372143656152,0.30121383210543623,0.30144578707797093,-9.461538461538462,-9.461538461538462
masked_reconstruction,10,0.8,12,0.07334296460876764,0.0,1.0,0.8811789424707053,0.31217536311195965,,0.0,0.0
masked_reconstruction,10,0.85,11,0.03504092222364607,0.0,1.0,0.9502288414461408,0.32472609683331655,,0.0,0.0
masked_reconstruction,10,0.9,8,0.024565485614809365,0.0,1.0,0.970613327195728,0.32830926928616355,,0.0,0.0
masked_reconstruction,10,0.95,2,0.00116270155623125,0.0,1.0,1.0,0.3333333333333333,,0.0,0.0
masked_reconstruction,20,0.33,15,1.0,0.630742201644663,0.369257798355337,0.3930936856239708,0.35466020870184706,0.29474679040263124,-9021.933333333332,-9021.933333333332
masked_reconstruction,20,0.35,15,0.9926512602061199,0.6256488037509784,0.36927445581492524,0.39354614715459857,0.354874546454724,0.2947277217980436,-8954.8,-8954.8
masked_reconstruction,20,0.4,15,0.8811132400105031,0.5418865154255237,0.3772752849127388,0.3991628399564469,0.3536338949917906,0.29127594224495307,-7954.666666666667,-7954.666666666667
masked_reconstruction,20,0.45,15,0.7014158812637151,0.403005800438745,0.40610591246074246,0.4138628661053419,0.34893431260792657,0.28587020187063844,-6128.333333333333,-6128.333333333333
masked_reconstruction,20,0.5,15,0.49859705148552125,0.24970610839715654,0.4808865365605463,0.4539752462621596,0.35134997776713955,0.2919663953808785,-3748.6,-3748.6
masked_reconstruction,20,0.55,15,0.30881512428282787,0.13460090164194233,0.5172740244239472,0.5014515758564744,0.35202432452004323,0.299925928063723,-1990.5333333333333,-1990.5333333333333
masked_reconstruction,20,0.6,15,0.19333479146416646,0.06464832586324316,0.5691250675547133,0.5335764581703003,0.33043880396486197,0.28606408637976694,-970.3333333333334,-970.3333333333334
masked_reconstruction,20,0.65,15,0.12184550041009454,0.026021462038227233,0.6643675911026625,0.5876471467262604,0.316694224593686,0.28103221254430966,-414.73333333333335,-414.73333333333335
masked_reconstruction,20,0.7,13,0.08045219545460196,0.008669444377923932,0.8471681436122522,0.7538603867018255,0.3418552609300701,0.30558428685448946,-165.53846153846155,-165.53846153846155
masked_reconstruction,20,0.75,13,0.045647389205336356,0.0020961319748836332,0.8966330712653128,0.799181090840034,0.30530484736770214,0.4225203446609449,-49.46153846153846,-49.46153846153846
masked_reconstruction,20,0.8,12,0.03007422534710205,0.0004505151706522917,0.9107667829796395,0.8521940783159354,0.2996951784187127,0.07714285714285712,-12.25,-12.25
masked_reconstruction,20,0.85,9,0.024535540923472727,0.0,1.0,0.9451354970529535,0.32379908369629196,,0.0,0.0
masked_reconstruction,20,0.9,7,0.010596454808263715,0.0,1.0,0.9709586678146372,0.32833554937507153,,0.0,0.0
masked_reconstruction,50,0.33,15,1.0,0.8176541798996632,0.1823458201003366,0.4367562157077133,0.41475508660939525,0.4151952633967967,-4922.266666666666,-4922.266666666666
masked_reconstruction,50,0.35,15,0.9875318205018596,0.8078558134170641,0.18122656324760106,0.43807156885378523,0.4155057794661497,0.41626443474012464,-4777.266666666666,-4777.266666666666
masked_reconstruction,50,0.4,15,0.8576803928501568,0.7058148965472721,0.16838212118252321,0.4456317764801712,0.41597084754214314,0.4218490065638665,-3834.4666666666667,-3834.4666666666667
masked_reconstruction,50,0.45,15,0.6750832041572316,0.5549586262086738,0.1611862045624237,0.45931861775116956,0.41438499253700056,0.43008990041574274,-2773.8,-2773.8
masked_reconstruction,50,0.5,15,0.4903172126725767,0.39688710812013445,0.168657133806769,0.4787253836572913,0.4207597987317028,0.44161448636792555,-1843.0666666666666,-1843.0666666666666
masked_reconstruction,50,0.55,15,0.3416054732158493,0.26978702116122133,0.19091380434486246,0.48776055717950234,0.4079542135646585,0.4403685606723384,-1126.6666666666667,-1126.6666666666667
masked_reconstruction,50,0.6,15,0.21971958843924064,0.16494037164636674,0.2333392651821235,0.494126008816664,0.39294742374687475,0.4271080441310128,-616.8,-616.8
masked_reconstruction,50,0.65,15,0.12369173411763605,0.08298785353468907,0.31502976899949836,0.5451481161714687,0.40109066555428374,0.450335397313728,-252.4,-252.4
masked_reconstruction,50,0.7,14,0.0653510029421771,0.032980592599904775,0.5007934104916533,0.6661208471499516,0.4285540970728948,0.5007011795316871,-101.28571428571429,-101.28571428571429
masked_reconstruction,50,0.75,14,0.03411872951617973,0.01053986625910747,0.739671365856892,0.7924095711705929,0.38623845112540955,0.46092374287985893,-10.5,-10.5
masked_reconstruction,50,0.8,13,0.020718332431666837,0.0044249516854006155,0.7884284659064382,0.845649214289709,0.3195698177833381,0.37828611911791665,19.46153846153846,19.46153846153846
masked_reconstruction,50,0.85,13,0.010094774686469323,0.001654866993787823,0.8059701492537313,0.8920307102332312,0.32555660839150735,0.5324409151566232,12.923076923076923,12.923076923076923
masked_reconstruction,50,0.9,8,0.00230811214412905,0.00014656834644847502,0.75,0.8347440762305429,0.2840748680481816,0.36585365853658536,1.875,1.875
next_field,10,0.33,15,1.0,0.11431133390028872,0.8856886660997111,0.5570450580658334,0.273269787401566,0.17222460128265285,-2465.4666666666667,-2465.4666666666667
next_field,10,0.35,15,0.9979146732144578,0.11293936179837166,0.8864334662329431,0.5572996187840704,0.27296529425326066,0.17183646423089424,-2438.3333333333335,-2438.3333333333335
next_field,10,0.4,15,0.9731238645044513,0.09681324954889009,0.8954678163727673,0.5610454140539459,0.27078136785709855,0.16822299657628598,-2096.3333333333335,-2096.3333333333335
next_field,10,0.45,15,0.9315969198826827,0.07445549792233873,0.9081836886472571,0.5675989408518378,0.26909041014838897,0.17405920166772137,-1623.6,-1623.6
next_field,10,0.5,15,0.8788638157146821,0.05349108179347005,0.9214432632650326,0.5772959877741559,0.2684645589377552,0.18271626045792674,-1167.7333333333333,-1167.7333333333333
next_field,10,0.55,15,0.7719971650042463,0.03747315933116204,0.9288543647485371,0.5902073920583173,0.2707868120190259,0.17918125162007129,-812.8666666666667,-812.8666666666667
next_field,10,0.6,15,0.5681099962149998,0.0251934858075963,0.9272500631438632,0.6104292752100131,0.2763161506993674,0.15633904969797868,-540.7333333333333,-540.7333333333333
next_field,10,0.65,15,0.37640231518542316,0.0158569883623464,0.9291020209057087,0.6387200757409767,0.2828266945749854,0.13274984665248757,-334.26666666666665,-334.26666666666665
next_field,10,0.7,15,0.2282988873315719,0.009078050223670435,0.9342630126221371,0.6973444084298891,0.29731856872348117,0.15300704974648616,-187.46666666666667,-187.46666666666667
next_field,10,0.75,13,0.19506518071850204,0.004975008271430246,0.9382274089157472,0.7293900366672182,0.31099658064813424,0.18514202637737623,-102.92307692307692,-102.92307692307692
next_field,10,0.8,10,0.047996983300703205,0.0023178800366599334,0.803509372013308,0.7230088590348699,0.2972115615715224,0.22579050559617783,-49.5,-49.5
next_field,10,0.85,9,0.033155471130643176,0.0006698344492096222,0.7738712528168057,0.7570945856797835,0.27783151626918406,0.20245180011804048,-8.88888888888889,-8.88888888888889
next_field,10,0.9,9,0.006858572268638434,0.00016397218547867777,0.7777777777777778,0.7603112043182207,0.2676054649138706,0.15384615384615385,-2.111111111111111,-2.111111111111111
next_field,20,0.33,15,1.0,0.19625571914653156,0.8037442808534685,0.462551515595891,0.2805151636127316,0.32860328590943855,-2870.6666666666665,-2870.6666666666665
next_field,20,0.35,15,0.9901678011368696,0.18962764098455817,0.8062939608238644,0.46342441497935166,0.2803927388257494,0.32880725306246666,-2768.0,-2768.0
