pretraining_objective,horizon,fill_mode,n_groups,mean_fill_fraction,mean_directional_hit_rate,mean_gross_proxy,mean_cost_adjusted_proxy,mean_average_cost
masked_reconstruction,10,abstain_only,15,0.0,,0.0,0.0,
masked_reconstruction,10,aggressive_crossing,15,1.0,0.2124238754531264,-10224.2,-10787.6321,0.03149999999999991
masked_reconstruction,10,passive_conservative,15,0.0007464949938296,0.30144578707797093,-8.2,-8.3225,0.010499999999999968
masked_reconstruction,10,passive_optimistic,15,1.0,0.2124238754531264,-10224.2,-10599.821400000004,0.020999999999999967
masked_reconstruction,20,abstain_only,15,0.0,,0.0,0.0,
masked_reconstruction,20,aggressive_crossing,15,1.0,0.29474679040263124,-9021.933333333332,-9732.319233333332,0.03149999999999991
masked_reconstruction,20,passive_conservative,15,0.002778900526588791,0.4225203446609449,-42.86666666666667,-43.598166666666664,0.010499999999999933
masked_reconstruction,20,passive_optimistic,15,1.0,0.29474679040263124,-9021.933333333332,-9495.523933333334,0.02099999999999997
masked_reconstruction,50,abstain_only,15,0.0,,0.0,0.0,
masked_reconstruction,50,aggressive_crossing,15,1.0,0.4151952633967967,-4922.266666666666,-5843.511466666665,0.03149999999999991
masked_reconstruction,50,passive_conservative,15,0.011669959565251046,0.46092374287985893,-9.8,-13.640900000000004,0.010499999999999928
masked_reconstruction,50,passive_optimistic,15,1.0,0.4151952633967967,-4922.266666666666,-5536.429866666668,0.020999999999999984
next_field,10,abstain_only,15,0.0,,0.0,0.0,
next_field,10,aggressive_crossing,15,1.0,0.17222460128265285,-2465.4666666666667,-2594.8434666666667,0.03149999999999993
next_field,10,passive_conservative,15,0.04309746162877104,0.18514202637737623,-89.2,-90.74000000000001,0.010499999999999917
next_field,10,passive_optimistic,15,1.0,0.17222460128265285,-2465.4666666666667,-2551.717866666667,0.02099999999999993
next_field,20,abstain_only,15,0.0,,0.0,0.0,
next_field,20,aggressive_crossing,15,1.0,0.32860328590943855,-2870.6666666666665,-3099.491066666667,0.031499999999999924
next_field,20,passive_conservative,15,0.04391077693254142,0.32523991760630794,-242.46666666666667,-248.1051666666667,0.010499999999999917
next_field,20,passive_optimistic,15,1.0,0.32860328590943855,-2870.6666666666665,-3023.216266666667,0.020999999999999953
next_field,50,abstain_only,15,0.0,,0.0,0.0,
next_field,50,aggressive_crossing,15,1.0,0.4030905770290378,-4668.333333333333,-5486.835633333334,0.03149999999999991
next_field,50,passive_conservative,15,0.030518039431748464,0.4873327755962858,-85.53333333333333,-93.48463333333335,0.010499999999999909
next_field,50,passive_optimistic,15,1.0,0.4030905770290378,-4668.333333333333,-5214.001533333335,0.020999999999999956
supervised,10,abstain_only,15,0.0,,0.0,0.0,
supervised,10,aggressive_crossing,15,1.0,0.23353398116007298,-8243.2,-8727.783399999998,0.03149999999999992
supervised,10,passive_conservative,15,0.0009347323814333133,0.10762240882722807,-13.266666666666667,-13.435366666666665,0.010499999999999933
supervised,10,passive_optimistic,15,1.0,0.23353398116007298,-8243.2,-8566.255599999999,0.020999999999999974
supervised,20,abstain_only,15,0.0,,0.0,0.0,
supervised,20,aggressive_crossing,15,1.0,0.30597189743518866,-8180.4,-8871.3084,0.03149999999999991
supervised,20,passive_conservative,15,0.0008691153244376494,0.2767427048774365,-12.133333333333333,-12.371333333333332,0.010499999999999952
supervised,20,passive_optimistic,15,1.0,0.30597189743518866,-8180.4,-8641.0056,0.020999999999999942
supervised,50,abstain_only,15,0.0,,0.0,0.0,
supervised,50,aggressive_crossing,15,1.0,0.419072082198609,-4834.666666666667,-5790.0742666666665,0.03149999999999991
supervised,50,passive_conservative,15,0.005649079198095641,0.5195692904721971,8.2,6.281299999999999,0.010499999999999962
supervised,50,passive_optimistic,15,1.0,0.419072082198609,-4834.666666666667,-5471.605066666667,0.020999999999999963
