pretraining_objective,horizon,latency_step,n_groups,mean_directional_hit_rate,mean_net_degradation_vs_latency_0,mean_gross_degradation_vs_latency_0,mean_active_trades,mean_dropped_samples
masked_reconstruction,10,0,15,0.2124238754531264,0.0,0.0,17886.733333333334,0.0
masked_reconstruction,10,1,15,0.21145404595388154,-42.8,-42.8,17886.733333333334,1.0
masked_reconstruction,10,2,15,0.20437939105914987,-296.53333333333336,-296.53333333333336,17886.733333333334,2.0
masked_reconstruction,10,5,15,0.2008988376198068,-421.2,-421.2,17886.733333333334,5.0
masked_reconstruction,10,10,15,0.19899378360837472,-485.3333333333333,-485.3333333333333,17886.733333333334,10.0
masked_reconstruction,20,0,15,0.29474679040263124,0.0,0.0,22551.933333333334,0.0
masked_reconstruction,20,1,15,0.28972328305960565,-237.0,-237.0,22551.866666666665,1.0
masked_reconstruction,20,2,15,0.28093314921001683,-651.6666666666666,-651.6666666666666,22551.6,2.0
masked_reconstruction,20,5,15,0.27686649118731094,-856.6,-856.6,22550.533333333333,5.0
masked_reconstruction,20,10,15,0.27271951560118085,-1055.4666666666667,-1055.4666666666667,22549.0,10.0
masked_reconstruction,50,0,15,0.4151952633967967,0.0,0.0,29245.866666666665,0.0
masked_reconstruction,50,1,15,0.4114726378272527,-216.66666666666666,-216.66666666666666,29245.2,1.0
masked_reconstruction,50,2,15,0.40685277744383525,-482.4,-482.4,29244.4,2.0
masked_reconstruction,50,5,15,0.3861866112130648,-1672.8,-1672.8,29242.133333333335,5.0
masked_reconstruction,50,10,15,0.37636802227583177,-2236.4666666666667,-2236.4666666666667,29238.2,10.0
next_field,10,0,15,0.17222460128265285,0.0,0.0,4107.2,0.0
next_field,10,1,15,0.20646467924073084,12.4,12.4,4107.2,1.0
next_field,10,2,15,0.18198662961696666,-14.4,-14.4,4107.2,2.0
next_field,10,5,15,0.17863779618326428,-38.0,-38.0,4107.2,5.0
next_field,10,10,15,0.20040670808658315,-37.2,-37.2,4107.2,10.0
next_field,20,0,15,0.32860328590943855,0.0,0.0,7264.266666666666,0.0
next_field,20,1,15,0.3151814540606353,-72.8,-72.8,7264.266666666666,1.0
next_field,20,2,15,0.29621557590269965,-211.2,-211.2,7264.266666666666,2.0
next_field,20,5,15,0.2924839494396019,-272.93333333333334,-272.93333333333334,7264.266666666666,5.0
next_field,20,10,15,0.28260865256615414,-337.46666666666664,-337.46666666666664,7264.266666666666,10.0
next_field,50,0,15,0.4030905770290378,0.0,0.0,25984.2,0.0
next_field,50,1,15,0.39930449197577816,-205.66666666666666,-205.66666666666666,25983.6,1.0
next_field,50,2,15,0.3945325912988954,-460.8,-460.8,25983.0,2.0
next_field,50,5,15,0.3744986117600757,-1528.0666666666666,-1528.0666666666666,25981.2,5.0
next_field,50,10,15,0.36686345094071104,-1974.1333333333334,-1974.1333333333334,25977.533333333333,10.0
supervised,10,0,15,0.23353398116007298,0.0,0.0,15383.6,0.0
supervised,10,1,15,0.2281004623187476,-198.93333333333334,-198.93333333333334,15383.6,1.0
supervised,10,2,15,0.21692338972535977,-519.0,-519.0,15383.533333333333,2.0
supervised,10,5,15,0.21120542080175025,-659.4,-659.4,15383.4,5.0
supervised,10,10,15,0.20763246842563587,-748.2,-748.2,15383.4,10.0
supervised,20,0,15,0.30597189743518866,0.0,0.0,21933.6,0.0
supervised,20,1,15,0.2985406859978532,-368.6,-368.6,21933.4,1.0
supervised,20,2,15,0.28679297250777785,-942.6666666666666,-942.6666666666666,21933.2,2.0
supervised,20,5,15,0.2809868207488114,-1220.5333333333333,-1220.5333333333333,21932.266666666666,5.0
supervised,20,10,15,0.2750827159504009,-1508.2,-1508.2,21931.0,10.0
supervised,50,0,15,0.419072082198609,0.0,0.0,30330.4,0.0
supervised,50,1,15,0.4152630305216245,-228.0,-228.0,30329.733333333334,1.0
supervised,50,2,15,0.41045143047887594,-517.2,-517.2,30329.066666666666,2.0
supervised,50,5,15,0.38830921038716737,-1852.6666666666667,-1852.6666666666667,30326.8,5.0
supervised,50,10,15,0.37811741739051163,-2476.6666666666665,-2476.6666666666665,30323.2,10.0
