pretraining_objective,horizon,threshold,n_groups,mean_signal_change_rate,mean_active_fraction,mean_turnover_adjusted_cost_proxy
masked_reconstruction,10,0.33,15,0.5052408942426241,0.5052264409832705,-0.5751522490937473
masked_reconstruction,10,0.35,15,0.5007154318577175,0.5007011013389,-0.5755709209762188
masked_reconstruction,10,0.4,15,0.4322696583016081,0.4322572188808076,-0.5835193161374377
masked_reconstruction,10,0.45,15,0.29292841091460603,0.29291993964709523,-0.5769450149959435
masked_reconstruction,10,0.5,15,0.16000020042850016,0.15999561960680708,-0.6000841312182686
masked_reconstruction,10,0.55,15,0.08089178594560582,0.08088952128290215,-0.6074207745342256
masked_reconstruction,10,0.6,15,0.026252649433084127,0.026251919972020844,-0.5605214099421619
masked_reconstruction,10,0.65,14,0.008780760156079256,0.008780521543061614,-0.6141830012138864
masked_reconstruction,10,0.7,13,0.002367874264273377,0.0023678115390002308,-0.6330474140731421
masked_reconstruction,10,0.75,13,0.00034856400602811675,0.00034855496800066356,-0.397108425844058
masked_reconstruction,10,0.8,12,0.0,0.0,
masked_reconstruction,10,0.85,11,0.0,0.0,
masked_reconstruction,10,0.9,8,0.0,0.0,
masked_reconstruction,10,0.95,2,0.0,0.0,
masked_reconstruction,20,0.33,15,0.6307600415759917,0.630742201644663,-0.4105064191947374
masked_reconstruction,20,0.35,15,0.6256665029185307,0.6256488037509784,-0.41054455640391274
masked_reconstruction,20,0.4,15,0.5419018828554729,0.5418865154255237,-0.4174481155100937
masked_reconstruction,20,0.45,15,0.40301723153423363,0.403005800438745,-0.428259596258723
masked_reconstruction,20,0.5,15,0.2497132097739869,0.24970610839715654,-0.4160672092382432
masked_reconstruction,20,0.55,15,0.1346047314173209,0.13460090164194233,-0.400148143872554
masked_reconstruction,20,0.6,15,0.06465014533015377,0.06464832586324316,-0.427871827240466
masked_reconstruction,20,0.65,15,0.02602217914832066,0.026021462038227233,-0.43793557491138074
masked_reconstruction,20,0.7,13,0.008669675846610169,0.008669444377923932,-0.3888314262910211
masked_reconstruction,20,0.75,13,0.002096186676321725,0.0020961319748836332,-0.15495931067811028
masked_reconstruction,20,0.8,12,0.00045052671526833336,0.0004505151706522917,-0.8457142857142858
masked_reconstruction,20,0.85,9,0.0,0.0,
masked_reconstruction,20,0.9,7,0.0,0.0,
masked_reconstruction,50,0.33,15,0.8176773158828575,0.8176541798996632,-0.1696094732064065
masked_reconstruction,50,0.35,15,0.8078786853768529,0.8078558134170641,-0.16747113051975054
masked_reconstruction,50,0.4,15,0.7058349871173735,0.7058148965472721,-0.15630198687226687
masked_reconstruction,50,0.45,15,0.5549745212031477,0.5549586262086738,-0.1398201991685145
masked_reconstruction,50,0.5,15,0.3968985116165577,0.39688710812013445,-0.11677102726414902
masked_reconstruction,50,0.55,15,0.2697947444297755,0.26978702116122133,-0.1192628786553231
masked_reconstruction,50,0.6,15,0.16494504548906622,0.16494037164636674,-0.1457839117379745
masked_reconstruction,50,0.65,15,0.08299016869405894,0.08298785353468907,-0.09932920537254403
masked_reconstruction,50,0.7,14,0.03298149519746623,0.032980592599904775,0.0014023590633742064
masked_reconstruction,50,0.75,14,0.010540150541410906,0.01053986625910747,-0.07815251424028187
masked_reconstruction,50,0.8,13,0.004425069334939394,0.0044249516854006155,-0.2434277617641666
masked_reconstruction,50,0.85,13,0.0016549103247649537,0.001654866993787823,0.06488183031324625
masked_reconstruction,50,0.9,8,0.000146572165620025,0.00014656834644847502,-0.2682926829268293
next_field,10,0.33,15,0.11431452989412814,0.11431133390028872,-0.6555507974346942
next_field,10,0.35,15,0.11294252055921478,0.11293936179837166,-0.6563270715382116
next_field,10,0.4,15,0.09681596682979272,0.09681324954889009,-0.663554006847428
next_field,10,0.45,15,0.07445759711845665,0.07445549792233873,-0.6518815966645573
next_field,10,0.5,15,0.05349260030918428,0.05349108179347005,-0.6345674790841463
next_field,10,0.55,15,0.03747423078215846,0.03747315933116204,-0.6416374967598573
next_field,10,0.6,15,0.025194211880770048,0.0251934858075963,-0.6873219006040426
next_field,10,0.65,15,0.015857448864085428,0.0158569883623464,-0.7345003066950249
next_field,10,0.7,15,0.009078315688073055,0.009078050223670435,-0.6939859005070277
next_field,10,0.75,13,0.004975155283439276,0.004975008271430246,-0.6297159472452475
next_field,10,0.8,10,0.002317950307213183,0.0023178800366599334,-0.5484189888076443
next_field,10,0.85,9,0.0006698564133080556,0.0006698344492096222,-0.5950963997639189
next_field,10,0.9,9,0.00016397783924287777,0.00016397218547867777,-0.6923076923076923
next_field,20,0.33,15,0.19626103797956787,0.19625571914653156,-0.34279342818112285
next_field,20,0.35,15,0.1896327768870423,0.18962764098455817,-0.34238549387506667
next_field,20,0.4,15,0.14059396708091285,0.14059018819497895,-0.3432958078806255
next_field,20,0.45,15,0.10109884076524726,0.1010961528502575,-0.3763972785977245
next_field,20,0.5,15,0.07129275116892152,0.07129087723930451,-0.4589360619930429
next_field,20,0.55,15,0.05075503758454146,0.050753718259714975,-0.3917749364035325
next_field,20,0.6,14,0.04005203486492465,0.040051001622218314,-0.3523583904288422
next_field,20,0.65,13,0.03198602989794126,0.031985207855022076,-0.22382523230699644
next_field,20,0.7,13,0.023130778927969504,0.023130185588101985,-0.14959687571298316
next_field,20,0.75,10,0.02063155034558466,0.020631021769363177,-0.349520164787384
next_field,20,0.8,7,0.018720188141010872,0.01871970904211243,-0.5872910898011293
next_field,20,0.85,7,0.010086757344154231,0.01008649948284382,-0.730212805158913
next_field,20,0.9,6,0.0032794984496916173,0.0032794146457806,-0.515865130619229
next_field,20,0.95,1,0.0,0.0,
next_field,50,0.33,15,0.7263568520368937,0.7263363237361796,-0.19381884594192458
next_field,50,0.35,15,0.7214923417272617,0.7214719504783526,-0.19304316978038236
next_field,50,0.4,15,0.5370501587810393,0.5370349334322815,-0.19648234795858333
next_field,50,0.45,15,0.3817955497996478,0.3817847639577058,-0.0768436523925571
next_field,50,0.5,14,0.2670912478937935,0.26708366519556376,-0.07321658486725402
next_field,50,0.55,14,0.1722719297549697,0.1722669767234782,-0.05694663258999456
next_field,50,0.6,14,0.1103397575696495,0.1103365286471896,-0.053562940270604924
next_field,50,0.65,12,0.08432314946525521,0.08432062700153554,-0.030957849751891295
next_field,50,0.7,12,0.05429451034713786,0.0542928484519512,-0.01226992643605908
next_field,50,0.75,12,0.028919659305437134,0.02891876099985956,-0.025334448807428415
next_field,50,0.8,10,0.01328785386823137,0.01328745876448558,-0.05808404815074143
next_field,50,0.85,10,0.00526944782084356,0.00526930076347326,-0.17864892436296004
next_field,50,0.9,7,0.004409816446530286,0.004409696445163443,-0.07792344881457554
next_field,50,0.95,1,0.0051617436424073,0.0051616041509026,0.24607329842931938
supervised,10,0.33,15,0.43815272805405897,0.4381400732596694,-0.532932037679854
supervised,10,0.35,15,0.432205202680953,0.4321927124563202,-0.5320661530620228
supervised,10,0.4,15,0.3537511433691567,0.35374080891662224,-0.5401475377410958
supervised,10,0.45,15,0.23481317618133643,0.23480615795223397,-0.5442106186492219
supervised,10,0.5,15,0.12449464870405631,0.12449088924988244,-0.5626531829414052
supervised,10,0.55,15,0.049012044061199904,0.04901061508173868,-0.5052957005372859
supervised,10,0.6,15,0.017903150204532443,0.01790265648069629,-0.47253280521646834
supervised,10,0.65,14,0.006193693030405771,0.00619352993427095,-0.46181216338170855
supervised,10,0.7,12,0.002206701110313012,0.0022066440355659597,-0.2676012900009419
supervised,10,0.75,12,0.0005156277334462416,0.0005156144879092999,-0.7847551823455438
supervised,10,0.8,12,8.5181777914e-06,8.517960118908333e-06,-1.0
supervised,10,0.85,10,0.0,0.0,
supervised,10,0.9,6,0.0,0.0,
supervised,20,0.33,15,0.6149117757481652,0.6148943383535769,-0.3880562051296227
supervised,20,0.35,15,0.6054771272779421,0.6054599429425191,-0.38628011785664446
supervised,20,0.4,15,0.47432300162708113,0.4743093583527946,-0.36006598938847933
supervised,20,0.45,15,0.32103765897073316,0.3210282280366919,-0.33397347532588845
supervised,20,0.5,15,0.2029589670610418,0.2029528696387523,-0.3113897881138865
supervised,20,0.55,15,0.12020500999808476,0.12020135694846933,-0.31208739159617604
supervised,20,0.6,14,0.0611316665172227,0.061129818949296776,-0.365909823945089
supervised,20,0.65,13,0.0247520041509002,0.02475127284165607,-0.32829447268121625
supervised,20,0.7,12,0.0068875068015968365,0.0068873131485291846,-0.21625306369072197
supervised,20,0.75,12,0.0007589204962492507,0.0007589001004044657,-0.446514590245127
supervised,20,0.8,11,1.626197578359091e-05,1.6261560227009093e-05,-0.42857142857142855
supervised,20,0.85,9,0.0,0.0,
supervised,20,0.9,6,0.0,0.0,
supervised,20,0.95,1,0.0,0.0,
supervised,50,0.33,15,0.8526472819933821,0.8526230036733798,-0.16185583560278186
supervised,50,0.35,15,0.8470055064432936,0.8469813809788905,-0.16062396870524195
supervised,50,0.4,15,0.7639854234852127,0.7639635801710085,-0.1432275217150228
supervised,50,0.45,15,0.609123478604342,0.6091060411679986,-0.11769167439137712
supervised,50,0.5,15,0.42042688378150916,0.42041485231917264,-0.07975728926866946
supervised,50,0.55,15,0.2525508241876094,0.2525436097415836,-0.051063368749645476
supervised,50,0.6,15,0.12383848986687236,0.12383498918002314,-0.024936101829151774
supervised,50,0.65,15,0.04828397224320958,0.04828263785067896,-0.0020927528143283884
supervised,50,0.7,15,0.015244975011620527,0.015244564226381853,-0.09644259991039594
supervised,50,0.75,15,0.004797425264228034,0.004797299203790734,0.03913858094439435
supervised,50,0.8,13,0.002407801525851354,0.0024077386558903156,-0.1717835905773713
supervised,50,0.85,10,0.00118560596190426,0.00118557506904996,0.0993872982208083
supervised,50,0.9,6,7.382894268266667e-05,7.382701895181666e-05,0.29411764705882354
