feature_group,fold,run_count,mean_delta_macro_f1,mean_delta_mcc,std_delta_macro_f1,std_delta_mcc,macro_f1_degradation_count,macro_f1_improvement_count,macro_f1_neutral_count,mcc_degradation_count,mcc_improvement_count,mcc_neutral_count
depth_imbalance,fold_1,20,3.2914409456925516e-05,0.00014982320280079001,0.0009817641991059789,0.0009199869198198214,4,16,0,4,16,0
depth_imbalance,fold_2,20,0.0003641182402801985,0.000393497958902535,0.000979096436937064,0.0012714996736943184,13,7,0,13,7,0
depth_imbalance,fold_3,20,-0.00024471159359837564,-0.00016808454588196513,0.0005728605676961461,0.000695217355227261,10,10,0,10,10,0
depth_imbalance,fold_4,20,2.089499005781904e-05,4.170482617914321e-05,0.0004397870092762926,0.000665901143438329,9,11,0,12,8,0
depth_imbalance,fold_5,20,-0.0003940390349999348,-0.0001180396770869907,0.0008036484217973876,0.00109076377558955,7,10,3,4,13,3
depth_slope,fold_1,18,9.315476479081668e-05,-3.323994058803333e-05,0.00043296900894835406,0.0007994091779956001,3,6,9,3,6,9
depth_slope,fold_2,18,0.0005421300842996167,0.0006772859511796323,0.0007165882198597521,0.0009660535859705512,0,9,9,0,9,9
depth_slope,fold_3,18,0.00014692268511096664,9.98840704058e-05,0.0006573736262018028,0.0007217234938913168,3,6,9,6,3,9
depth_slope,fold_4,18,-1.1682063581652802e-05,1.721397299880412e-05,3.47175647105966e-05,0.00012515151819010882,6,3,9,3,6,9
depth_slope,fold_5,18,-0.0005702088811653828,-0.00040256148082395,0.001072783579909664,0.0013122105316441877,9,0,9,3,6,9
liquidity_concentration,fold_1,18,0.00016381835798263638,-6.652901517106288e-05,0.00017539146459093837,0.0003680119702509581,6,12,0,9,9,0
liquidity_concentration,fold_2,18,0.00048410702149884253,0.0004770711080653962,0.001096707331314288,0.0014827525301492168,6,9,3,9,6,3
liquidity_concentration,fold_3,18,0.0006662681550623436,0.0007672810319939166,0.0010284103319538125,0.0011705614011147836,6,12,0,6,12,0
liquidity_concentration,fold_4,18,2.5480926408118004e-06,0.0001634452019692414,0.0006563575175603136,0.0010120175093281387,9,3,6,6,6,6
liquidity_concentration,fold_5,18,0.000782820376701009,0.0006307409883956666,0.002323355311740736,0.0019230226902199503,6,9,3,6,9,3
microprice,fold_1,18,-0.00023971723433038113,-0.0004713249606482501,0.0003685950190419185,0.000628038834693408,15,3,0,15,3,0
microprice,fold_2,18,3.268272262045593e-05,0.0001022090601790198,0.00031338607361189606,0.00029045627675994127,9,6,3,6,9,3
microprice,fold_3,18,-6.341516879131995e-05,5.618734689829579e-06,0.00050481764165606,0.0006618573930946512,6,12,0,6,12,0
microprice,fold_4,18,0.000377592218693909,0.00045223097106747185,0.0005991736331203145,0.0008647303275967838,6,12,0,3,15,0
microprice,fold_5,18,2.6769830246318185e-05,6.38063129411394e-05,0.0004698720469465205,0.0007360553463403862,15,3,0,12,6,0
midprice,fold_1,18,5.6859626193483336e-05,5.678090128986666e-05,0.00038728530713811227,0.0004915023774098512,9,9,0,9,9,0
midprice,fold_2,18,0.00027558229907043337,0.0002343135860226845,0.0006951431578135228,0.0007103750229878017,12,6,0,6,12,0
midprice,fold_3,18,0.00044999236540806716,0.0006135449722595016,0.0014015438488096965,0.001597972618288449,9,9,0,3,15,0
midprice,fold_4,18,-0.00048716927761608325,-0.0005551390367914168,0.0004751582983861242,0.0007068110620532026,18,0,0,15,3,0
midprice,fold_5,18,-0.0003063622832476052,9.461792543595e-05,0.0004998258666016335,0.0003590041202800367,15,3,0,9,9,0
price_levels,fold_1,18,-0.013389661290644466,-0.01032586640511373,0.010864714240720982,0.01824494997638962,18,0,0,6,12,0
price_levels,fold_2,18,-0.0006260052820907834,0.0014137976139514338,0.0032834068376917194,0.006920343080118259,12,6,0,6,12,0
price_levels,fold_3,18,-0.0023583216938678,-0.0033406807952445945,0.0032249480079695127,0.006460775427340079,12,6,0,9,9,0
price_levels,fold_4,18,-0.009509885425256952,-0.014749205035710228,0.011456864846866796,0.021367587281826493,12,6,0,15,3,0
price_levels,fold_5,18,-0.00431599967042451,-0.006457197931662542,0.005647228434170638,0.009315125393168462,9,9,0,15,3,0
size_levels,fold_1,18,-0.013264001418445283,-0.013460036874867017,0.012163266635445235,0.021820539051873724,18,0,0,12,6,0
size_levels,fold_2,18,-0.003176095899992133,-0.003175800681025183,0.003343802473809262,0.00930594709458223,15,3,0,9,9,0
size_levels,fold_3,18,-0.008120957888004633,-0.012942479945367,0.008568948362698366,0.018523408308396765,15,3,0,9,9,0
size_levels,fold_4,18,-0.013073798845442318,-0.019634906745022565,0.015707047622247203,0.02590597482243153,18,0,0,15,3,0
size_levels,fold_5,18,-0.005661334352981184,-0.008067240488787267,0.006892840800511458,0.012342694201356386,12,6,0,12,6,0
snapshot_order_flow_proxy,fold_1,20,-0.09156280431727176,-0.12113758031645679,0.10678612525623006,0.13425402081966384,20,0,0,20,0,0
snapshot_order_flow_proxy,fold_2,20,-0.13535002604401278,-0.19642215670136337,0.1344752826883249,0.17908211997697993,20,0,0,20,0,0
snapshot_order_flow_proxy,fold_3,20,-0.16469091274187272,-0.21313986314618863,0.16012491231735773,0.19511401887970736,20,0,0,20,0,0
snapshot_order_flow_proxy,fold_4,20,-0.18152298218587498,-0.22241368088327845,0.17401837660038064,0.20596536625191905,20,0,0,20,0,0
snapshot_order_flow_proxy,fold_5,20,-0.18170682936603713,-0.22985810287460756,0.17987083184289818,0.2185060553419423,20,0,0,20,0,0
spread,fold_1,20,-0.01594805123246294,-0.01155611510875525,0.010536171735069846,0.007802763948972169,19,1,0,19,1,0
spread,fold_2,20,-0.005246698881559675,-0.004320862245204499,0.0058279352774546645,0.0050836501783006,16,4,0,16,4,0
spread,fold_3,20,-0.004118558405789638,-0.002795134960865345,0.006885795130519793,0.007852787995415316,13,7,0,10,10,0
spread,fold_4,20,-0.007319286035186938,-0.00405950163549703,0.005937801311719939,0.006409047510482243,20,0,0,13,7,0
spread,fold_5,20,-0.004813440519565797,0.00033595715353563517,0.005419197492194822,0.003783685221201898,16,4,0,3,17,0
top_of_book,fold_1,18,-0.00029858812319428336,-0.00033203509310947114,0.000520115377882397,0.0008295139751455868,12,6,0,9,9,0
top_of_book,fold_2,18,0.0003544391559136663,0.00036842206331970867,0.0007000934707162317,0.0009377947888343327,9,9,0,6,12,0
top_of_book,fold_3,18,0.0006409577539095334,0.0008163795327021167,0.001165549917349407,0.001369542724904546,6,12,0,9,9,0
top_of_book,fold_4,18,-0.0003434627996603195,-0.0003774920922203667,0.00021444055807945143,0.000325184530058748,15,3,0,15,3,0
top_of_book,fold_5,18,-0.00033096350189449535,-3.662090719638416e-05,0.00039299473909321325,0.0006139788075905841,15,3,0,9,9,0
top_of_book_imbalance,fold_1,20,0.00017506400432004606,0.00015058943313005381,0.000322627275695165,0.0006711098468637455,2,9,9,5,6,9
top_of_book_imbalance,fold_2,20,0.0006627363849971801,0.0007821303119559348,0.0013735821114551992,0.0016512690943851827,3,7,10,3,7,10
top_of_book_imbalance,fold_3,20,0.0004420560995962074,0.0004629839963945706,0.0010312683638219607,0.0011642648164997247,4,6,10,4,6,10
top_of_book_imbalance,fold_4,20,0.0001990781093660538,0.00029369408370235,0.0005470385012609461,0.000607826223266978,3,7,10,3,7,10
top_of_book_imbalance,fold_5,20,-0.00032225476078002633,-0.00016388250116900998,0.0007104853057144123,0.000975822006674564,6,3,11,6,3,11
volatility_proxy,fold_1,18,0.0002563125569462655,0.00021132584174235,0.000683108319456234,0.0012004347586713586,6,12,0,9,9,0
volatility_proxy,fold_2,18,0.0003940938203328825,0.001187498682677777,0.001013196463201719,0.0011234033600044649,9,9,0,3,15,0
volatility_proxy,fold_3,18,0.00046149342764369297,0.0010279869230170166,0.0008917661298725649,0.0011752171531626378,3,15,0,3,15,0
volatility_proxy,fold_4,18,-0.0001300619617844651,0.0004450698286663666,0.0004237770754196516,0.0012361187566979283,9,9,0,6,12,0
volatility_proxy,fold_5,18,-0.0004055502491970167,0.00043841912413809515,0.0005610972593912966,0.00044901695169337623,15,3,0,3,15,0
