fold,horizon,seed,model,ablation_mode,feature_group,delta_macro_f1,delta_mcc,macro_f1_degraded_when_removed,mcc_degraded_when_removed,horizon_beyond_10,proxy_scope_note
fold_1,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.4968646792734493,-0.6131781078517746,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.5166751323786302,-0.6678677566862105,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.5150065696406108,-0.6334096020568888,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.4939890563810639,-0.5884480196533858,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.4979863572540644,-0.608150309532664,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,10,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.1320258478205586,-0.1879402273463329,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,10,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.1320258478205586,-0.1879402273463329,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,10,2,logistic,remove_one_group,snapshot_order_flow_proxy,-0.1320258478205586,-0.1879402273463329,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,10,0,logistic,remove_one_group,snapshot_order_flow_proxy,-0.2727461510842702,-0.4017437633513078,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,10,1,logistic,remove_one_group,snapshot_order_flow_proxy,-0.2727461510842702,-0.4017437633513078,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
