feature_group,horizon,run_count,mean_delta_macro_f1,mean_delta_mcc,std_delta_macro_f1,std_delta_mcc,macro_f1_degradation_count,macro_f1_improvement_count,macro_f1_neutral_count,mcc_degradation_count,mcc_improvement_count,mcc_neutral_count
depth_imbalance,10,35,-6.225482023875271e-05,-9.214403708622071e-05,0.0009540399663528666,0.0011425112310952798,13,19,3,13,19,3
depth_imbalance,20,30,9.982154154039664e-05,0.0002561322538402129,0.0004782588948590297,0.0006684211833294385,12,18,0,12,18,0
depth_imbalance,50,35,-0.00014949106611208295,4.3403113745188145e-05,0.0009078719207429738,0.0009941960993867162,18,17,0,18,17,0
depth_slope,10,30,-2.371186401429878e-05,-0.00011725293519809,0.001209960777641325,0.001455752568592521,9,6,15,9,6,15
depth_slope,20,30,0.00021710004493135277,0.00025636685552867243,0.00039597123075757636,0.0005898499231434359,3,12,15,3,12,15
depth_slope,50,30,-7.319822724443526e-05,7.603562357276933e-05,0.00029481824175509573,0.00035405250069738475,9,6,15,3,12,15
liquidity_concentration,10,30,0.00044930069755608996,0.0004473588659459001,0.0012565387442252701,0.0015787190169178735,6,15,9,9,12,9
liquidity_concentration,20,30,0.00013770847528923175,0.00017077931822789006,0.0005593811299616913,0.0008062348324122468,12,15,3,15,12,3
liquidity_concentration,50,30,0.0006727280294860642,0.0005650674049781048,0.0017599786220132997,0.0014532888567333714,15,15,0,12,18,0
microprice,10,30,6.81902709495909e-05,-6.917138297307593e-05,0.00033528245512822206,0.0005734890508717837,15,12,3,12,15,3
microprice,20,30,-0.00010634301805584994,-3.984861258077422e-05,0.0006565761627667497,0.000884448901861437,24,6,0,18,12,0
microprice,50,30,0.00011850016816964829,0.0002005440664913765,0.0004372892999792853,0.0006563756461698874,12,18,0,12,18,0
midprice,10,30,0.00026123299340786586,0.0002580451569080718,0.0012839232424323396,0.0014883527197172004,24,6,0,18,12,0
midprice,20,30,-0.00011256885382224619,0.00010967219655653987,0.0003033659644772244,0.0004021947421590908,21,9,0,9,21,0
midprice,50,30,-0.00015532250170064235,-0.00010124634453466001,0.000605039691742749,0.000584902524731751,18,12,0,15,15,0
price_levels,10,30,-0.0020603671105241103,0.001322421992945973,0.0034449059185985473,0.002219174061709549,18,12,0,12,18,0
price_levels,20,30,-0.0019185688876654956,0.00204871164424572,0.004354344230525607,0.0038471370042560517,15,15,0,9,21,0
price_levels,50,30,-0.0141409880191811,-0.023446625169459494,0.010921747688799313,0.015215403602146918,30,0,0,30,0,0
size_levels,10,30,-0.0017424628979849897,-0.00235240536555465,0.0024801962031128838,0.0033705723957450544,21,9,0,21,9,0
size_levels,20,30,-0.0036624670231446303,0.002665968270600369,0.003050564338586362,0.004378087107664157,27,3,0,6,24,0
size_levels,50,30,-0.02057278312178971,-0.034681841746087134,0.011570932700864433,0.016649768197989523,30,0,0,30,0,0
snapshot_order_flow_proxy,10,35,-0.23973734570107155,-0.3146780508124584,0.18458818706742705,0.21625318673517488,35,0,0,35,0,0
snapshot_order_flow_proxy,20,30,-0.18304173098804366,-0.22890300020101115,0.11374005548722387,0.13975321641285648,30,0,0,30,0,0
snapshot_order_flow_proxy,50,35,-0.03470320182635927,-0.050817311256329045,0.05647334111812935,0.08204113228082338,35,0,0,35,0,0
spread,10,35,-0.006695751719039623,-0.0047877033701049995,0.008220085430869524,0.006165937575556429,28,7,0,24,11,0
spread,20,30,-0.008724879189915368,-0.0059427439191558394,0.01141146482971437,0.010667608332026917,21,9,0,15,15,0
spread,50,35,-0.007223514732212909,-0.002916034297353703,0.004475380103982614,0.004485248860308428,35,0,0,22,13,0
top_of_book,10,30,0.00015945168383930003,0.00015676453984511424,0.0010178126937737042,0.0013297425058290612,21,9,0,15,15,0
top_of_book,20,30,-0.00011762185091632001,0.0003896996085664651,0.0007488521844662728,0.0007750473195173708,21,9,0,12,18,0
top_of_book,50,30,-2.8400341878519166e-05,-0.00028327204631421743,0.0005165569514476793,0.0006031010033732001,15,15,0,21,9,0
top_of_book_imbalance,10,35,0.0005264264753300862,0.0005529708646276446,0.001481627336996011,0.0017595620455843372,5,13,17,8,10,17
top_of_book_imbalance,20,30,8.540892020605001e-05,0.0001412342087169709,0.00030630935930737725,0.00047110329696042056,6,9,15,6,9,15
top_of_book_imbalance,50,35,6.132578592156287e-05,0.00019769428448003715,0.0003227272139615744,0.0004966801004490298,7,10,18,7,10,18
volatility_proxy,10,30,0.00045141827507107896,0.00080505503908761,0.0010180915858295837,0.0012839282693320494,15,15,0,9,21,0
volatility_proxy,20,30,0.0001275525641555067,0.001302929356933611,0.00039212682071661584,0.0006718862812344512,12,18,0,0,30,0
volatility_proxy,50,30,-0.00023319828286177027,-0.0001218041558762567,0.0007577855631683293,0.0008768891441380392,15,15,0,15,15,0
