feature_group,model,run_count,mean_delta_macro_f1,mean_delta_mcc,std_delta_macro_f1,std_delta_mcc,macro_f1_degradation_count,macro_f1_improvement_count,macro_f1_neutral_count,mcc_degradation_count,mcc_improvement_count,mcc_neutral_count
depth_imbalance,gradient_boosting,10,-0.0004431737213718984,-0.00028393503771117237,0.0012978762949228792,0.001282597828178319,4,6,0,4,6,0
depth_imbalance,logistic,45,9.740540447532555e-06,0.00017013211317135085,0.001041027300580405,0.0012893550266628083,21,24,0,21,24,0
depth_imbalance,ridge,45,-9.40104183305179e-06,2.5809790726026312e-05,0.00016317761101887864,0.00024117511689725836,18,24,3,18,24,3
depth_slope,logistic,45,8.012663578174578e-05,0.0001434330292689012,0.001080474692137069,0.0013283788934127087,21,24,0,15,30,0
depth_slope,ridge,45,0.0,0.0,0.0,0.0,0,0,45,0,0,45
liquidity_concentration,logistic,45,0.0008494904367561641,0.0007960389285456668,0.0017452620327448136,0.0017932959656029317,15,30,0,18,27,0
liquidity_concentration,ridge,45,-9.66563520190679e-06,-7.235202444403492e-06,8.648264762543092e-05,0.00013796721078662154,18,15,12,18,15,12
microprice,logistic,45,8.120625862989252e-05,0.00011087800500351033,0.0006791420764720674,0.0009779186080654712,27,18,0,21,24,0
microprice,ridge,45,-2.7641311254299724e-05,-4.9861957711826127e-05,0.00020304493207064822,0.00029653738255504085,24,18,3,21,21,3
midprice,logistic,45,0.00010958624260219391,0.00020102015150238924,0.0011879103382868934,0.0013059848892446923,24,21,0,21,24,0
midprice,ridge,45,-0.00011402515067887581,-2.3372812215754854e-05,0.00019560087871263148,0.00035412203869652765,39,6,0,21,24,0
price_levels,logistic,45,-0.003606002991599173,-0.004529566870727335,0.008116169828627158,0.011552916987472383,21,24,0,24,21,0
price_levels,ridge,45,-0.00847394635331463,-0.00885409415078453,0.009380155251632015,0.017480487775566014,42,3,0,27,18,0
size_levels,logistic,45,-0.006776471689994187,-0.009387742660717254,0.011356387710916346,0.017993091089534455,33,12,0,21,24,0
size_levels,ridge,45,-0.010542003671952035,-0.013524443233310361,0.0103279594255046,0.0205106009140258,45,0,0,36,9,0
snapshot_order_flow_proxy,gradient_boosting,10,-0.3369478300376982,-0.4347831413550975,0.16771204749125382,0.1887477599533109,10,0,0,10,0,0
snapshot_order_flow_proxy,logistic,45,-0.20989220412678236,-0.2677063921191164,0.1617872695042405,0.19831050961234728,45,0,0,45,0,0
snapshot_order_flow_proxy,ridge,45,-0.050712080155982206,-0.07255130265614852,0.03604374404630974,0.049023755842081344,45,0,0,45,0,0
spread,gradient_boosting,10,-0.002313747672159729,-0.0023784480578453275,0.0029281445823753794,0.00393943864723245,6,4,0,4,6,0
spread,logistic,45,-0.006199021695185373,-0.0019121359604881067,0.009344456593640015,0.007038825325818986,33,12,0,21,24,0
spread,ridge,45,-0.009929494410808013,-0.007512945269673595,0.007328927391952092,0.007397088180027112,45,0,0,36,9,0
top_of_book,logistic,45,0.0002516950015710176,0.000238472448074753,0.0010130331223621959,0.001271629444776416,21,24,0,24,21,0
top_of_book,ridge,45,-0.00024274200754137692,-6.301104667651169e-05,0.0003472313657306604,0.0005612526701866738,36,9,0,24,21,0
top_of_book_imbalance,gradient_boosting,10,-2.7396563850848783e-05,-5.7317493973513895e-05,0.00014773226208404845,0.0002678966988493104,3,2,5,3,2,5
top_of_book_imbalance,logistic,45,0.0005201680530777268,0.0006907440315558471,0.0013411522148578155,0.0015923541424083879,15,30,0,18,27,0
top_of_book_imbalance,ridge,45,0.0,0.0,0.0,0.0,0,0,45,0,0,45
volatility_proxy,logistic,45,0.00010652894514484448,0.00045329222096999344,0.0010943465545124713,0.0013925475378572414,21,24,0,15,30,0
volatility_proxy,ridge,45,0.00012398609243169918,0.000870827939126649,0.00036739571061179804,0.0007637218738062061,21,24,0,9,36,0
