feature_group,run_count,mean_delta_macro_f1,mean_delta_mcc,abs_mean_delta_macro_f1,macro_f1_degradation_count,macro_f1_improvement_count,macro_f1_degradation_fraction,mcc_degradation_count,mcc_improvement_count,mcc_degradation_fraction,fold_consistency,seed_consistency,horizon_consistency,model_consistency,stability_score,folds_covered,seeds_covered,horizons_covered,models_covered
snapshot_order_flow_proxy,100,-0.15096671093101388,-0.19659427678437902,0.15096671093101388,100,0,1.0,100,0,1.0,1.0,1.0,1.0,1.0,1.0,"fold_1,fold_2,fold_3,fold_4,fold_5","0,1,2","10,20,50","gradient_boosting,logistic,ridge"
size_levels,90,-0.00865923768097311,-0.011456092947013805,0.00865923768097311,78,12,0.8666666666666667,57,33,0.6333333333333333,1.0,1.0,1.0,1.0,1.0,"fold_1,fold_2,fold_3,fold_4,fold_5","0,1,2","10,20,50","logistic,ridge"
spread,100,-0.007489207014912997,-0.004479131359357298,0.007489207014912997,84,16,0.84,61,39,0.61,1.0,1.0,1.0,1.0,1.0,"fold_1,fold_2,fold_3,fold_4,fold_5","0,1,2","10,20,50","gradient_boosting,logistic,ridge"
price_levels,90,-0.006039974672456901,-0.0066918305107559325,0.006039974672456901,63,27,0.7,51,39,0.5666666666666667,1.0,1.0,1.0,1.0,1.0,"fold_1,fold_2,fold_3,fold_4,fold_5","0,1,2","10,20,50","logistic,ridge"
liquidity_concentration,90,0.0004199124007771287,0.00039440186305063157,0.0004199124007771287,33,45,0.36666666666666664,36,42,0.4,0.0,0.0,0.0,0.5,0.125,"fold_1,fold_2,fold_3,fold_4,fold_5","0,1,2","10,20,50","logistic,ridge"
top_of_book_imbalance,100,0.0002313359674998922,0.0003051030648027798,0.0002313359674998922,18,32,0.18,21,29,0.21,0.2,0.0,0.0,0.3333333333333333,0.13333333333333333,"fold_1,fold_2,fold_3,fold_4,fold_5","0,1,2","10,20,50","gradient_boosting,logistic,ridge"
volatility_proxy,90,0.0001152575187882718,0.0006620600800483211,0.0001152575187882718,42,48,0.4666666666666667,24,66,0.26666666666666666,0.4,0.0,0.3333333333333333,0.0,0.18333333333333335,"fold_1,fold_2,fold_3,fold_4,fold_5","0,1,2","10,20,50","logistic,ridge"
depth_imbalance,100,-4.4164597760673485e-05,5.9780352982702475e-05,4.4164597760673485e-05,43,54,0.43,43,54,0.43,0.4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5166666666666666,"fold_1,fold_2,fold_3,fold_4,fold_5","0,1,2","10,20,50","gradient_boosting,logistic,ridge"
depth_slope,90,4.006331789087288e-05,7.17165146344506e-05,4.006331789087288e-05,21,24,0.23333333333333334,15,30,0.16666666666666666,0.4,0.0,0.6666666666666666,0.0,0.26666666666666666,"fold_1,fold_2,fold_3,fold_4,fold_5","0,1,2","10,20,50","logistic,ridge"
microprice,90,2.67824736877964e-05,3.05080236458421e-05,2.67824736877964e-05,51,36,0.5666666666666667,42,45,0.4666666666666667,0.4,0.0,0.3333333333333333,0.5,0.30833333333333335,"fold_1,fold_2,fold_3,fold_4,fold_5","0,1,2","10,20,50","logistic,ridge"
