feature_group,fold,run_count,mean_delta_macro_f1,mean_delta_mcc,std_delta_macro_f1,std_delta_mcc,macro_f1_degradation_count,macro_f1_improvement_count,macro_f1_neutral_count,mcc_degradation_count,mcc_improvement_count,mcc_neutral_count
depth_imbalance,fold_1,2,-0.0017446806241509,-0.00127674741307925,0.0020344690884952,0.00148818469056475,1,1,0,1,1,0
depth_imbalance,fold_2,2,-2.4282654961050004e-05,-0.00025110324410370006,0.00053973433269535,0.0012821763467811,1,1,0,1,1,0
depth_imbalance,fold_3,2,-0.0005793238761313,-0.00027708732658899996,0.0007093874510233,0.000427185408493,1,1,0,1,1,0
depth_imbalance,fold_4,2,0.0005751110580402072,0.000983458006514338,0.0005609404182392927,0.0009767233517815619,0,2,0,0,2,0
depth_imbalance,fold_5,2,-0.0004426925096564493,-0.00059819521129825,0.0004993206610075507,0.00073368548565475,1,1,0,1,1,0
snapshot_order_flow_proxy,fold_1,2,-0.3374212456188078,-0.4375289240257129,0.15944343365464145,0.1756491838260617,2,0,0,2,0,0
snapshot_order_flow_proxy,fold_2,2,-0.34844190138954895,-0.4499459988358491,0.16823323098908122,0.21792175785036133,2,0,0,2,0,0
snapshot_order_flow_proxy,fold_3,2,-0.33913844926432946,-0.4433906209896862,0.17586812037628133,0.19001898106720264,2,0,0,2,0,0
snapshot_order_flow_proxy,fold_4,2,-0.3171426113288668,-0.4063458221156345,0.1768464450521971,0.18210219753775125,2,0,0,2,0,0
snapshot_order_flow_proxy,fold_5,2,-0.34259494258693773,-0.4367043408086047,0.1553914146671267,0.17144596872405932,2,0,0,2,0,0
spread,fold_1,2,-0.0023387933862257,-0.0023088319606990003,0.0032096250720572,0.004003253543598,1,1,0,1,1,0
spread,fold_2,2,-0.00338600970468715,-0.0041546512655306,0.0042305195767429506,0.0053296394236258,1,1,0,1,1,0
spread,fold_3,2,-0.0026478953011229694,-0.00362684441912315,0.0026890562135797307,0.00376097578859845,1,1,0,1,1,0
spread,fold_4,2,-0.0016674381280796621,-0.0023461172274735873,0.0015930968032431378,0.002399721973180513,2,0,0,1,1,0
spread,fold_5,2,-0.0015286018406831642,0.0005442045835997,0.0016143066450349359,1.7519687774999841e-06,1,1,0,0,2,0
top_of_book_imbalance,fold_1,2,-0.00024018753692244286,-0.00043649638893126196,0.00018807020556975716,0.00038291464374193805,2,0,0,2,0,0
top_of_book_imbalance,fold_2,2,8.224625725975e-05,0.00012349389771755,8.224625725975e-05,0.00012349389771755,0,1,1,0,1,1
top_of_book_imbalance,fold_3,2,-2.77580520325893e-05,-2.8378908405457537e-05,2.77580520325893e-05,2.8378908405457537e-05,1,0,1,1,0,1
top_of_book_imbalance,fold_4,2,4.871651244103825e-05,5.47939297516e-05,4.871651244103825e-05,5.47939297516e-05,0,1,1,0,1,1
top_of_book_imbalance,fold_5,2,0.0,0.0,0.0,0.0,0,0,2,0,0,2
