fold,horizon,seed,model,ablation_mode,feature_group,delta_macro_f1,delta_mcc,macro_f1_degraded_when_removed,mcc_degraded_when_removed,horizon_beyond_10,proxy_scope_note
fold_1,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.4968646792734493,-0.6131781078517746,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.5166751323786302,-0.6678677566862105,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.5150065696406108,-0.6334096020568888,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.4939890563810639,-0.5884480196533858,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.4979863572540644,-0.608150309532664,True,True,False,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_1,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.1779778119641664,-0.2618797401996512,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_2,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.1802086704004677,-0.2320242409854878,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_3,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.1632703288880481,-0.2533716399224835,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_4,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.1402961662766697,-0.2242436245778833,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
fold_5,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,-0.187203527919811,-0.2652583720845454,True,True,True,snapshot_order_flow_proxy is a labelled snapshot proxy derived from FI-2010 matrices. It should not be interpreted as true event-level order-flow imbalance.
