ablation_mode,feature_group,delta_macro_f1
all_features,all,0.0
derived_microstructure_only,derived_microstructure,-0.025944589617435208
no_proxy_features,no_proxy,-0.13030214214138228
only_one_group,depth_imbalance,-0.23421867404011756
only_one_group,depth_slope,-0.21072212091874304
only_one_group,liquidity_concentration,-0.23416995914450925
only_one_group,microprice,-0.2275380260098829
only_one_group,midprice,-0.2275418807137235
only_one_group,price_levels,-0.16686503108818093
only_one_group,size_levels,-0.17170158340478064
only_one_group,snapshot_order_flow_proxy,-0.06217233973317227
only_one_group,spread,-0.17906820554891942
only_one_group,top_of_book,-0.19673657810783288
only_one_group,top_of_book_imbalance,-0.23429523959376242
only_one_group,volatility_proxy,-0.23384835970240966
raw_lob_only,raw_lob,-0.14447341214300724
remove_one_group,depth_imbalance,1.6974930724038943e-07
remove_one_group,depth_slope,4.006331789087288e-05
remove_one_group,liquidity_concentration,0.0004199124007771286
remove_one_group,microprice,2.6782473687796407e-05
remove_one_group,midprice,-2.2194540383409193e-06
remove_one_group,price_levels,-0.006039974672456903
remove_one_group,size_levels,-0.00865923768097311
remove_one_group,snapshot_order_flow_proxy,-0.13030214214138228
remove_one_group,spread,-0.008064258052996693
remove_one_group,top_of_book,4.476497014820294e-06
remove_one_group,top_of_book_imbalance,0.0002600840265388634
remove_one_group,volatility_proxy,0.00011525751878827182
