ablation_mode,feature_group,delta_mcc
all_features,all,0.0
derived_microstructure_only,derived_microstructure,-0.00414014656426364
no_proxy_features,no_proxy,-0.2634225994218373
only_one_group,depth_imbalance,-0.33563358587779263
only_one_group,depth_slope,-0.3347511300356327
only_one_group,liquidity_concentration,-0.3360540855595857
only_one_group,microprice,-0.33299788736494823
only_one_group,midprice,-0.3347511300356327
only_one_group,price_levels,-0.29237076282422697
only_one_group,size_levels,-0.3276153615841805
only_one_group,snapshot_order_flow_proxy,-0.01367828872996744
only_one_group,spread,-0.27232740658806354
only_one_group,top_of_book,-0.3347511300356327
only_one_group,top_of_book_imbalance,-0.33486641936373135
only_one_group,volatility_proxy,-0.3397456190587416
raw_lob_only,raw_lob,-0.289623359677159
remove_one_group,depth_imbalance,-7.318406652039e-05
remove_one_group,depth_slope,-0.00011725293519809
remove_one_group,liquidity_concentration,0.0004473588659459
remove_one_group,microprice,-6.917138297307595e-05
remove_one_group,midprice,0.00025804515690807175
remove_one_group,price_levels,0.0013224219929459727
remove_one_group,size_levels,-0.00235240536555465
remove_one_group,snapshot_order_flow_proxy,-0.2634225994218373
remove_one_group,spread,-0.00570564054748912
remove_one_group,top_of_book,0.0001567645398451142
remove_one_group,top_of_book_imbalance,0.0006451577321488199
remove_one_group,volatility_proxy,0.00080505503908761
