feature_group,model,macro_f1
depth_imbalance,logistic,0.2126560218573734
depth_imbalance,ridge,0.21262006332773412
depth_slope,logistic,0.23626718243924208
depth_slope,ridge,0.2360020089886145
liquidity_concentration,logistic,0.21275506196975869
liquidity_concentration,ridge,0.21261845300656546
microprice,logistic,0.2193186906227884
microprice,ridge,0.2193186906227884
midprice,logistic,0.21931483591894785
midprice,ridge,0.21931483591894785
price_levels,logistic,0.2761806991552674
price_levels,ridge,0.2838026719337134
size_levels,logistic,0.27625386754107956
size_levels,ridge,0.27405639891470185
snapshot_order_flow_proxy,logistic,0.4770957362747448
snapshot_order_flow_proxy,ridge,0.29227301752425333
spread,logistic,0.26841479516669264
spread,ridge,0.2671622270008112
top_of_book,logistic,0.24912313038785336
top_of_book,ridge,0.25111714666182355
top_of_book_imbalance,logistic,0.21256422721270457
top_of_book_imbalance,ridge,0.2125587268651132
volatility_proxy,logistic,0.2130376828408052
volatility_proxy,ridge,0.21297903101971813
