model_key,threshold,eligible_count,total_count,eligible_fraction
matrix_transformer/masked_reconstruction,0.33,1600173,1600173,1.0
matrix_transformer/masked_reconstruction,0.35,1585228,1600173,0.9906603848458886
matrix_transformer/masked_reconstruction,0.4,1399228,1600173,0.8744229530182049
matrix_transformer/masked_reconstruction,0.45,1105273,1600173,0.6907209407982762
matrix_transformer/masked_reconstruction,0.5,803594,1600173,0.5021919504953527
matrix_transformer/masked_reconstruction,0.55,558757,1600173,0.349185369331941
matrix_transformer/masked_reconstruction,0.6,382160,1600173,0.2388241771358472
matrix_transformer/masked_reconstruction,0.65,231523,1600173,0.1446862308012946
matrix_transformer/masked_reconstruction,0.7,138495,1600173,0.08655001677943572
matrix_transformer/masked_reconstruction,0.75,89121,1600173,0.055694603021048346
matrix_transformer/masked_reconstruction,0.8,54738,1600173,0.034207551308514765
matrix_transformer/masked_reconstruction,0.85,28381,1600173,0.01773620727258865
matrix_transformer/masked_reconstruction,0.9,11248,1600173,0.007029239963428954
matrix_transformer/masked_reconstruction,0.95,93,1600173,5.8118715913841815e-05
matrix_transformer/next_field,0.33,1600173,1600173,1.0
matrix_transformer/next_field,0.35,1589986,1600173,0.9936338133439322
matrix_transformer/next_field,0.4,1400703,1600173,0.875344728351247
matrix_transformer/next_field,0.45,1208114,1600173,0.7549896167476892
matrix_transformer/next_field,0.5,959281,1600173,0.5994858055972698
matrix_transformer/next_field,0.55,778552,1600173,0.4865423926037997
matrix_transformer/next_field,0.6,546594,1600173,0.3415843161958113
matrix_transformer/next_field,0.65,368012,1600173,0.22998263312779305
matrix_transformer/next_field,0.7,248173,1600173,0.15509135574715985
matrix_transformer/next_field,0.75,158406,1600173,0.0989930463768605
matrix_transformer/next_field,0.8,47190,1600173,0.029490561333055863
matrix_transformer/next_field,0.85,27947,1600173,0.017464986598324055
matrix_transformer/next_field,0.9,8619,1600173,0.0053862926071118564
matrix_transformer/next_field,0.95,197,1600173,0.00012311168854867567
matrix_transformer/supervised,0.33,1600173,1600173,1.0
matrix_transformer/supervised,0.35,1583594,1600173,0.9896392452566066
matrix_transformer/supervised,0.4,1349458,1600173,0.8433200660178618
matrix_transformer/supervised,0.45,1047088,1600173,0.6543592474063742
matrix_transformer/supervised,0.5,749300,1600173,0.4682618691853943
matrix_transformer/supervised,0.55,505624,1600173,0.3159808345722619
matrix_transformer/supervised,0.6,340302,1600173,0.21266575551518493
matrix_transformer/supervised,0.65,212017,1600173,0.13249629883768818
matrix_transformer/supervised,0.7,123558,1600173,0.0772154010847577
matrix_transformer/supervised,0.75,80953,1600173,0.050590154939497166
matrix_transformer/supervised,0.8,49629,1600173,0.031014771527828555
matrix_transformer/supervised,0.85,29800,1600173,0.018622986389596623
matrix_transformer/supervised,0.9,12386,1600173,0.0077404130678370405
matrix_transformer/supervised,0.95,52,1600173,3.249648631741693e-05
