model_key,threshold,retained_count,total_count,retained_fraction,macro_f1,status,reason
matrix_transformer/masked_reconstruction,0.33,1600173,1600173,1.0,0.4010798418116543,ok,
matrix_transformer/masked_reconstruction,0.35,1585228,1600173,0.9906603848458886,0.4017463909360373,ok,
matrix_transformer/masked_reconstruction,0.4,1399228,1600173,0.8744229530182049,0.406732421719451,ok,
matrix_transformer/masked_reconstruction,0.45,1105273,1600173,0.6907209407982762,0.4166974452384051,ok,
matrix_transformer/masked_reconstruction,0.5,803594,1600173,0.5021919504953527,0.4306752335914407,ok,
matrix_transformer/masked_reconstruction,0.55,558757,1600173,0.349185369331941,0.4458825986127873,ok,
matrix_transformer/masked_reconstruction,0.6,382160,1600173,0.2388241771358472,0.45011816533115684,ok,
matrix_transformer/masked_reconstruction,0.65,231523,1600173,0.1446862308012946,0.46463873235436237,ok,
matrix_transformer/masked_reconstruction,0.7,138495,1600173,0.08655001677943572,0.4527942914763457,ok,
matrix_transformer/masked_reconstruction,0.75,89121,1600173,0.055694603021048346,0.42462883279853464,ok,
matrix_transformer/masked_reconstruction,0.8,54738,1600173,0.034207551308514765,0.43705272487085606,ok,
matrix_transformer/masked_reconstruction,0.85,28381,1600173,0.01773620727258865,0.45301082621543726,ok,
matrix_transformer/masked_reconstruction,0.9,11248,1600173,0.007029239963428954,0.3722999437285151,ok,
matrix_transformer/masked_reconstruction,0.95,93,1600173,5.8118715913841815e-05,0.3333333333333333,ok,
matrix_transformer/next_field,0.33,1600173,1600173,1.0,0.4001592324625316,ok,
matrix_transformer/next_field,0.35,1589986,1600173,0.9936338133439322,0.4003238676854,ok,
matrix_transformer/next_field,0.4,1400703,1600173,0.875344728351247,0.3998560161172777,ok,
matrix_transformer/next_field,0.45,1208114,1600173,0.7549896167476892,0.39136908090578854,ok,
matrix_transformer/next_field,0.5,959281,1600173,0.5994858055972698,0.38694560215872936,ok,
matrix_transformer/next_field,0.55,778552,1600173,0.4865423926037997,0.3718984300479969,ok,
matrix_transformer/next_field,0.6,546594,1600173,0.3415843161958113,0.3725080330982243,ok,
matrix_transformer/next_field,0.65,368012,1600173,0.22998263312779305,0.37906022075661233,ok,
matrix_transformer/next_field,0.7,248173,1600173,0.15509135574715985,0.3817486316521532,ok,
matrix_transformer/next_field,0.75,158406,1600173,0.0989930463768605,0.3886762433251317,ok,
matrix_transformer/next_field,0.8,47190,1600173,0.029490561333055863,0.48940629661010465,ok,
matrix_transformer/next_field,0.85,27947,1600173,0.017464986598324055,0.47697197818378134,ok,
matrix_transformer/next_field,0.9,8619,1600173,0.0053862926071118564,0.497986727505277,ok,
matrix_transformer/next_field,0.95,197,1600173,0.00012311168854867567,0.3611771363893605,ok,
matrix_transformer/supervised,0.33,1600173,1600173,1.0,0.4192595403477915,ok,
matrix_transformer/supervised,0.35,1583594,1600173,0.9896392452566066,0.4202334628910492,ok,
matrix_transformer/supervised,0.4,1349458,1600173,0.8433200660178618,0.43041364686219746,ok,
matrix_transformer/supervised,0.45,1047088,1600173,0.6543592474063742,0.4445604693185166,ok,
matrix_transformer/supervised,0.5,749300,1600173,0.4682618691853943,0.4605876351202163,ok,
matrix_transformer/supervised,0.55,505624,1600173,0.3159808345722619,0.47312607750920926,ok,
matrix_transformer/supervised,0.6,340302,1600173,0.21266575551518493,0.47156404028367316,ok,
matrix_transformer/supervised,0.65,212017,1600173,0.13249629883768818,0.45922329486276575,ok,
matrix_transformer/supervised,0.7,123558,1600173,0.0772154010847577,0.43506689527551234,ok,
matrix_transformer/supervised,0.75,80953,1600173,0.050590154939497166,0.41037285418936253,ok,
matrix_transformer/supervised,0.8,49629,1600173,0.031014771527828555,0.41451342108524275,ok,
matrix_transformer/supervised,0.85,29800,1600173,0.018622986389596623,0.41144910399926454,ok,
matrix_transformer/supervised,0.9,12386,1600173,0.0077404130678370405,0.34703192562200397,ok,
matrix_transformer/supervised,0.95,52,1600173,3.249648631741693e-05,0.3333333333333333,ok,
