model_key,bin_index,confidence_lower,confidence_upper,count,fraction,mean_confidence,empirical_accuracy
matrix_transformer/masked_reconstruction,3,0.3,0.4,200945,0.1255770469817951,0.3761291196511092,0.3480604145412924
matrix_transformer/masked_reconstruction,4,0.4,0.5,595634,0.37223100252285224,0.4506904976847279,0.34156545798258664
matrix_transformer/masked_reconstruction,5,0.5,0.6,421434,0.2633677733595055,0.5443655801681784,0.38704992952633155
matrix_transformer/masked_reconstruction,6,0.6,0.7,243665,0.15227416035641148,0.642261117961136,0.499443908645066
matrix_transformer/masked_reconstruction,7,0.7,0.8,83757,0.05234246547092096,0.7437274121946915,0.6508590326778657
matrix_transformer/masked_reconstruction,8,0.8,0.9,43490,0.027178311345085814,0.8431453438311832,0.8488618073120258
matrix_transformer/masked_reconstruction,9,0.9,1.0,11248,0.007029239963428954,0.9212479935126341,0.9402560455192034
matrix_transformer/next_field,3,0.3,0.4,199470,0.12465527164875298,0.377049114260444,0.3400812152203339
matrix_transformer/next_field,4,0.4,0.5,441422,0.2758589227539772,0.45269488036116484,0.4126935222983902
matrix_transformer/next_field,5,0.5,0.6,412687,0.25790148940145846,0.5548891965115246,0.48875297743810686
matrix_transformer/next_field,6,0.6,0.7,298421,0.1864929604486515,0.6448687007832283,0.5318962137383093
matrix_transformer/next_field,7,0.7,0.8,200983,0.12560079441410396,0.7504514993905324,0.5740386002796256
matrix_transformer/next_field,8,0.8,0.9,38571,0.024104268725944008,0.8496574269620634,0.7325970288558762
matrix_transformer/next_field,9,0.9,1.0,8619,0.0053862926071118564,0.917746626218637,0.8064740689175078
matrix_transformer/supervised,3,0.3,0.4,250715,0.15667993398213817,0.3764196780156007,0.35639271682986656
matrix_transformer/supervised,4,0.4,0.5,600158,0.3750581968324675,0.4496096577274422,0.3688278753261641
matrix_transformer/supervised,5,0.5,0.6,408998,0.2555961136702094,0.5441659388596847,0.42409987334901394
matrix_transformer/supervised,6,0.6,0.7,216744,0.13545035443042722,0.6422314756647174,0.5342477761783486
matrix_transformer/supervised,7,0.7,0.8,73929,0.046200629556929156,0.7446138859312611,0.6970606933679612
matrix_transformer/supervised,8,0.8,0.9,37243,0.023274358459991512,0.8477442763925265,0.868404800902183
matrix_transformer/supervised,9,0.9,1.0,12386,0.0077404130678370405,0.9197256928620634,0.9500242208945584
