source,ssl_objective,fold,n_pairs,mean_delta_macro_f1,macro_f1_wins,macro_f1_ties,macro_f1_losses,mean_delta_mcc,mcc_wins,mcc_ties,mcc_losses,mean_delta_ece,ece_wins,ece_ties,ece_losses
one_epoch_full_grid,masked_reconstruction,1,9,-0.0022488779111804985,4,0,5,-0.0019874083043723233,4,0,5,0.024804366626277677,4,0,5
one_epoch_full_grid,masked_reconstruction,2,9,0.024877926871257717,8,0,1,0.01166681527662191,7,0,2,-0.008002478107730856,6,0,3
one_epoch_full_grid,masked_reconstruction,3,9,-0.017956988605569227,3,0,6,-0.014338043131220354,2,0,7,0.050031277213075515,2,0,7
one_epoch_full_grid,masked_reconstruction,4,9,-0.029026507638274593,0,0,9,-0.04897492465802325,0,0,9,0.03355365642191134,2,0,7
one_epoch_full_grid,masked_reconstruction,5,9,-0.025671426927910634,4,0,5,-0.04604586436607224,2,0,7,0.010147921940343148,4,0,5
one_epoch_full_grid,next_field,1,9,-0.0910402360968409,0,0,9,-0.1222592413389809,0,6,3,0.03870219360107113,3,0,6
one_epoch_full_grid,next_field,2,9,-0.04320437849864769,0,0,9,-0.024063989800614357,2,2,5,-0.09814812668747279,8,0,1
one_epoch_full_grid,next_field,3,9,-0.07236770407576543,1,0,8,-0.0456532051280986,0,0,9,-0.02061248250074331,6,0,3
one_epoch_full_grid,next_field,4,9,-0.046485498801551235,1,0,8,-0.07048186373694658,1,0,8,0.023587299976778067,3,0,6
one_epoch_full_grid,next_field,5,9,-0.05794315356547676,1,0,8,-0.09182416341781932,0,0,9,0.015083244379830043,4,0,5
proper_training_subset,masked_reconstruction,1,2,0.0445416805497409,1,1,0,0.06190174874598655,1,1,0,0.02098315620965515,0,0,2
proper_training_subset,next_field,1,2,0.00323255456830045,1,1,0,0.0203816690284509,1,1,0,0.05312799097761395,0,0,2
