source,ssl_objective,metric,direction,n_pairs,mean_delta,n_improved,n_tied,n_worsened
one_epoch_full_grid,masked_reconstruction,macro_f1,higher_is_better,45,-0.010005174842335448,19,0,26
one_epoch_full_grid,masked_reconstruction,mcc,higher_is_better,45,-0.01993588503661325,15,0,30
one_epoch_full_grid,masked_reconstruction,accuracy,higher_is_better,45,-0.020815132370276785,13,0,32
one_epoch_full_grid,masked_reconstruction,ece,lower_is_better,45,0.022106948818775358,18,0,27
one_epoch_full_grid,masked_reconstruction,brier_score,lower_is_better,45,0.025081833964803735,14,0,31
one_epoch_full_grid,masked_reconstruction,nll,lower_is_better,45,0.04900733247992576,16,0,29
one_epoch_full_grid,next_field,macro_f1,higher_is_better,45,-0.062208194207656387,3,0,42
one_epoch_full_grid,next_field,mcc,higher_is_better,45,-0.06505023630181143,3,8,34
one_epoch_full_grid,next_field,accuracy,higher_is_better,45,0.04425828755286038,25,0,20
one_epoch_full_grid,next_field,ece,lower_is_better,45,-0.008277574246107373,24,0,21
one_epoch_full_grid,next_field,brier_score,lower_is_better,45,-0.012112295706398877,22,0,23
one_epoch_full_grid,next_field,nll,lower_is_better,45,-0.013550958877936075,22,0,23
proper_training_subset,masked_reconstruction,macro_f1,higher_is_better,2,0.0445416805497409,1,1,0
proper_training_subset,masked_reconstruction,mcc,higher_is_better,2,0.06190174874598655,1,1,0
proper_training_subset,masked_reconstruction,accuracy,higher_is_better,2,0.04413528736831125,1,1,0
proper_training_subset,masked_reconstruction,ece,lower_is_better,2,0.02098315620965515,0,0,2
proper_training_subset,masked_reconstruction,brier_score,lower_is_better,2,-0.023293336543149152,2,0,0
proper_training_subset,masked_reconstruction,nll,lower_is_better,2,-0.03264971926210575,2,0,0
proper_training_subset,next_field,macro_f1,higher_is_better,2,0.00323255456830045,1,1,0
proper_training_subset,next_field,mcc,higher_is_better,2,0.0203816690284509,1,1,0
proper_training_subset,next_field,accuracy,higher_is_better,2,0.01310368206946905,1,1,0
proper_training_subset,next_field,ece,lower_is_better,2,0.05312799097761395,0,0,2
proper_training_subset,next_field,brier_score,lower_is_better,2,0.01396498215923505,1,0,1
proper_training_subset,next_field,nll,lower_is_better,2,0.037570811384118954,1,0,1
