ssl_objective,fold,horizon,matched_run_count,mean_delta_macro_f1,mean_delta_mcc,mean_delta_ece,mean_delta_brier_score,macro_f1_wins,ece_wins
market_state_multitask,1,10,1,0.0794254028038907,0.0816675204568941,0.0095671760466538,0.0279418437624382,1,0
market_state_multitask,1,50,1,-0.0816384879322444,-0.0757934836581946,0.0928341106917657,0.055660162137924,0,0
market_state_multitask,2,10,1,0.0,0.0,0.0438795424138985,0.0087284203421402,0,0
market_state_multitask,2,50,1,-0.1071548920499302,-0.1360673974975322,0.0362540593091948,0.1072754735387935,0,0
market_state_multitask,3,10,1,-0.05842088580643,0.0213555956165704,0.00323284208156,-0.0372796580130341,0,0
market_state_multitask,3,50,1,0.0315479614721154,0.0408944929122747,-0.0175451195587994,-0.0392774849537911,1,1
market_state_multitask,4,10,1,0.0010255805372038,0.008602565563955,-0.0108219547612085,-0.0126692736587927,1,1
market_state_multitask,4,50,1,-0.0165460135759945,-0.0177293017245528,0.0206652412102519,0.0229978520667446,0,0
market_state_multitask,5,10,1,0.4074118373346641,0.6178752394147412,-0.1160305811719383,-0.4044003302054365,1,1
market_state_multitask,5,50,1,0.0213184576559631,0.0253494183566671,-0.0094359247933167,-0.0303774471873245,1,1
