sequence_id,event_type,side,price,quantity,regime_id,regime_name,latent_mid
0,ADD,BID,99.99,8.1848,0,stable_liquid,100.0
1,ADD,ASK,100.01,6.3489,0,stable_liquid,100.0
2,ADD,BID,99.98,5.2049,0,stable_liquid,100.0
3,ADD,ASK,100.02,5.0826,0,stable_liquid,100.0
4,ADD,BID,99.97,9.0664,0,stable_liquid,100.0
5,ADD,ASK,100.03,9.5638,0,stable_liquid,100.0
6,ADD,BID,99.96,8.0332,0,stable_liquid,100.0
7,ADD,ASK,100.04,8.6475,0,stable_liquid,100.0
8,ADD,BID,99.95,7.7181,0,stable_liquid,100.0
9,ADD,ASK,100.05,9.6754,0,stable_liquid,100.0
10,ADD,ASK,100.03,8.2082,0,stable_liquid,99.997507
11,CANCEL,ASK,100.01,3.6813,0,stable_liquid,99.994578
12,ADD,BID,99.99,7.3236,0,stable_liquid,99.998748
13,ADD,ASK,100.04,11.5407,0,stable_liquid,100.002362
14,CANCEL,ASK,100.04,9.7117,0,stable_liquid,100.000531
15,ADD,BID,99.98,8.1462,0,stable_liquid,100.002694
16,TRADE,BID,100.01,2.6676,0,stable_liquid,100.002176
17,ADD,BID,99.97,7.4513,0,stable_liquid,100.008231
18,CANCEL,BID,99.96,7.2266,0,stable_liquid,100.014064
19,ADD,ASK,100.03,5.8386,0,stable_liquid,100.015493
20,ADD,ASK,100.03,6.6078,0,stable_liquid,100.017074
21,ADD,BID,99.96,7.3137,0,stable_liquid,100.014427
22,CANCEL,BID,99.95,7.45,0,stable_liquid,100.015743
23,ADD,ASK,100.06,7.5942,0,stable_liquid,100.018276
24,ADD,BID,99.97,11.0565,0,stable_liquid,100.015804
25,TRADE,BID,100.02,5.0826,0,stable_liquid,100.010523
26,ADD,ASK,100.03,6.5658,0,stable_liquid,100.018532
27,TRADE,BID,100.03,9.111,0,stable_liquid,100.013422
28,TRADE,BID,100.03,13.1978,0,stable_liquid,100.010403
29,TRADE,BID,100.03,13.67,0,stable_liquid,100.008672
30,CANCEL,BID,99.97,14.8742,0,stable_liquid,100.009316
31,TRADE,BID,100.03,0.8054,0,stable_liquid,100.011327
32,TRADE,BID,100.04,7.133,0,stable_liquid,100.014819
33,ADD,ASK,100.03,10.1294,0,stable_liquid,100.005818
34,TRADE,BID,100.03,7.9932,0,stable_liquid,100.006627
35,ADD,BID,100.0,6.3665,0,stable_liquid,100.009531
36,CANCEL,BID,99.95,0.1536,0,stable_liquid,100.003824
37,ADD,ASK,100.01,6.471,0,stable_liquid,100.004858
38,ADD,ASK,100.06,10.4083,0,stable_liquid,100.005932
39,ADD,ASK,100.05,5.9839,0,stable_liquid,100.011541
40,ADD,ASK,100.06,11.6902,0,stable_liquid,100.012899
41,CANCEL,BID,99.95,0.0709,0,stable_liquid,100.011463
42,CANCEL,BID,100.0,6.1518,0,stable_liquid,100.015784
43,CANCEL,BID,99.99,9.7464,0,stable_liquid,100.015738
44,ADD,ASK,100.05,7.0748,0,stable_liquid,100.010995
45,CANCEL,ASK,100.05,16.0599,0,stable_liquid,100.01005
46,TRADE,BID,100.01,5.2929,0,stable_liquid,100.004102
47,CANCEL,ASK,100.04,3.1945,0,stable_liquid,100.004293
48,CANCEL,BID,100.0,0.1041,0,stable_liquid,99.998397
49,CANCEL,BID,99.99,5.4517,0,stable_liquid,99.997579
50,ADD,BID,99.98,6.8032,0,stable_liquid,99.999659
51,ADD,ASK,100.01,5.0745,0,stable_liquid,99.997761
52,TRADE,ASK,100.0,0.1106,0,stable_liquid,99.996629
53,CANCEL,BID,99.97,9.482,0,stable_liquid,99.994738
54,TRADE,BID,100.01,6.2526,0,stable_liquid,99.988318
55,ADD,BID,99.95,7.8454,0,stable_liquid,99.999501
56,ADD,ASK,100.02,5.9426,0,stable_liquid,100.005013
57,CANCEL,ASK,100.03,0.9488,0,stable_liquid,100.007334
58,CANCEL,ASK,100.02,4.1476,0,stable_liquid,100.003864
59,CANCEL,BID,99.95,5.3346,0,stable_liquid,100.001269
60,CANCEL,BID,99.98,15.0604,0,stable_liquid,100.00066
61,CANCEL,BID,99.97,1.6404,0,stable_liquid,99.994767
62,CANCEL,BID,99.99,0.2756,0,stable_liquid,99.987693
63,CANCEL,ASK,100.06,26.7529,0,stable_liquid,99.992881
64,ADD,ASK,100.0,10.3655,0,stable_liquid,99.993678
65,ADD,ASK,100.04,6.5813,0,stable_liquid,99.988793
66,CANCEL,BID,99.95,2.2427,0,stable_liquid,99.992012
67,ADD,BID,99.96,6.3609,0,stable_liquid,99.988689
68,ADD,ASK,100.02,14.5441,0,stable_liquid,99.987304
69,CANCEL,ASK,100.0,9.394,0,stable_liquid,99.986561
70,TRADE,ASK,99.99,0.0347,0,stable_liquid,99.983435
71,TRADE,BID,100.0,0.9715,0,stable_liquid,99.983574
72,ADD,ASK,100.04,11.5495,0,stable_liquid,99.985381
73,ADD,BID,99.94,5.985,0,stable_liquid,99.973637
74,ADD,BID,99.95,10.1138,0,stable_liquid,99.976566
75,CANCEL,ASK,100.05,2.8307,0,stable_liquid,99.979584
76,ADD,ASK,100.0,10.518,0,stable_liquid,99.97454
77,TRADE,BID,100.0,5.1491,0,stable_liquid,99.976773
78,CANCEL,BID,99.97,0.7516,0,stable_liquid,99.977816
79,ADD,BID,99.95,9.726,0,stable_liquid,99.979464
80,ADD,ASK,100.03,7.7289,0,stable_liquid,99.975043
81,ADD,ASK,99.99,5.6609,0,stable_liquid,99.971363
82,TRADE,BID,99.99,5.6609,0,stable_liquid,99.966954
83,ADD,ASK,99.99,7.8324,0,stable_liquid,99.968627
84,ADD,BID,99.92,8.5997,0,stable_liquid,99.962588
85,CANCEL,ASK,100.02,8.9513,0,stable_liquid,99.961227
86,ADD,ASK,99.99,12.5727,0,stable_liquid,99.95707
87,ADD,ASK,100.01,5.1288,0,stable_liquid,99.956078
88,TRADE,BID,99.99,7.4272,0,stable_liquid,99.96284
89,ADD,BID,99.95,5.5112,0,stable_liquid,99.96126
90,ADD,ASK,99.99,9.4264,0,stable_liquid,99.959791
91,ADD,BID,99.96,7.6661,0,stable_liquid,99.967785
92,CANCEL,ASK,100.01,3.137,0,stable_liquid,99.963909
93,ADD,BID,99.96,5.3183,0,stable_liquid,99.965367
94,ADD,ASK,99.99,6.354,0,stable_liquid,99.960989
95,CANCEL,ASK,100.05,3.4675,0,stable_liquid,99.965639
96,CANCEL,ASK,100.03,4.5245,0,stable_liquid,99.966129
97,ADD,BID,99.91,13.2616,0,stable_liquid,99.96211
98,TRADE,BID,99.99,5.0498,0,stable_liquid,99.961281
99,TRADE,BID,99.99,7.4205,0,stable_liquid,99.967657
100,ADD,ASK,100.01,7.3183,0,stable_liquid,99.966216
101,TRADE,ASK,99.98,5.0939,0,stable_liquid,99.969895
102,CANCEL,BID,99.96,19.692,0,stable_liquid,99.970528
103,CANCEL,BID,99.92,6.205,0,stable_liquid,99.95866
104,CANCEL,BID,99.95,19.8877,0,stable_liquid,99.962721
105,CANCEL,ASK,100.01,7.818,0,stable_liquid,99.96105
106,ADD,BID,99.93,5.7338,0,stable_liquid,99.959654
107,CANCEL,BID,99.93,4.6025,0,stable_liquid,99.955904
108,CANCEL,BID,99.97,0.5663,0,stable_liquid,99.955288
109,ADD,ASK,100.0,7.3894,0,stable_liquid,99.955033
110,ADD,ASK,100.01,6.9332,0,stable_liquid,99.963031
111,ADD,ASK,100.01,5.2567,0,stable_liquid,99.963457
112,CANCEL,ASK,100.06,2.2461,0,stable_liquid,99.966834
113,ADD,ASK,99.98,5.9926,0,stable_liquid,99.963267
114,ADD,BID,99.91,5.4001,0,stable_liquid,99.955515
115,CANCEL,BID,99.94,3.3891,0,stable_liquid,99.956843
116,ADD,ASK,99.98,8.4047,0,stable_liquid,99.946819
117,CANCEL,ASK,99.98,11.1484,0,stable_liquid,99.947462
118,ADD,BID,99.92,8.0551,0,stable_liquid,99.943105
119,CANCEL,BID,99.93,1.1216,0,stable_liquid,99.95016
120,CANCEL,BID,99.94,2.4016,0,stable_liquid,99.947308
121,ADD,BID,99.92,5.6859,0,stable_liquid,99.944145
122,CANCEL,ASK,100.02,5.6319,0,stable_liquid,99.936592
123,CANCEL,ASK,99.99,15.6458,0,stable_liquid,99.938037
124,CANCEL,ASK,100.0,6.5069,0,stable_liquid,99.942966
125,ADD,BID,99.92,5.9103,0,stable_liquid,99.94585
126,CANCEL,BID,99.91,15.4956,0,stable_liquid,99.945317
127,TRADE,ASK,99.97,0.2597,0,stable_liquid,99.952834
128,ADD,BID,99.94,9.0026,0,stable_liquid,99.95227
129,CANCEL,ASK,100.01,8.0669,0,stable_liquid,99.955227
130,ADD,ASK,100.0,6.9435,0,stable_liquid,99.954816
131,ADD,ASK,99.97,6.2475,0,stable_liquid,99.962072
132,ADD,BID,99.95,6.6288,0,stable_liquid,99.963564
133,ADD,ASK,100.01,7.721,0,stable_liquid,99.968694
134,CANCEL,BID,99.96,3.678,0,stable_liquid,99.968604
135,ADD,BID,99.96,8.9844,0,stable_liquid,99.966587
136,ADD,BID,99.96,7.7384,0,stable_liquid,99.967289
137,ADD,ASK,99.99,9.9743,0,stable_liquid,99.971123
138,CANCEL,ASK,100.04,8.2415,0,stable_liquid,99.971676
139,CANCEL,ASK,100.03,3.3076,0,stable_liquid,99.97381
140,ADD,BID,99.93,7.6846,0,stable_liquid,99.973578
141,ADD,ASK,100.02,10.4352,0,stable_liquid,99.972794
142,ADD,ASK,100.01,5.0294,0,stable_liquid,99.978121
143,CANCEL,ASK,99.99,8.6254,0,stable_liquid,99.974912
144,ADD,ASK,100.03,6.4517,0,stable_liquid,99.977497
145,ADD,BID,99.96,8.4168,0,stable_liquid,99.980105
146,ADD,ASK,100.0,6.0253,0,stable_liquid,99.973843
147,CANCEL,BID,99.92,10.6275,0,stable_liquid,99.982953
148,CANCEL,BID,99.92,7.0039,0,stable_liquid,99.986085
149,CANCEL,BID,99.95,11.9426,0,stable_liquid,99.98713
150,ADD,BID,99.96,10.3449,0,stable_liquid,99.986097
151,ADD,ASK,100.03,5.6091,0,stable_liquid,99.992325
152,CANCEL,BID,99.92,3.3595,0,stable_liquid,99.995957
153,ADD,BID,99.94,7.3013,0,stable_liquid,99.994677
154,ADD,ASK,100.03,13.5629,0,stable_liquid,99.999637
155,ADD,BID,99.96,7.1028,0,stable_liquid,100.000243
156,TRADE,BID,99.97,6.2475,0,stable_liquid,100.001502
157,ADD,BID,99.96,5.2716,0,stable_liquid,99.992321
158,ADD,ASK,100.01,6.3518,0,stable_liquid,99.990237
159,ADD,BID,99.96,8.1408,0,stable_liquid,99.994143
160,ADD,ASK,100.01,5.5807,0,stable_liquid,99.996528
161,CANCEL,BID,99.94,7.4649,0,stable_liquid,99.989783
162,CANCEL,ASK,99.99,1.4058,0,stable_liquid,99.985743
163,ADD,BID,99.96,7.1449,0,stable_liquid,99.987067
164,CANCEL,BID,99.96,66.5448,0,stable_liquid,99.987493
165,CANCEL,BID,99.96,0.4444,0,stable_liquid,99.983497
166,ADD,ASK,100.03,6.0384,0,stable_liquid,99.989003
167,ADD,ASK,100.0,8.0067,0,stable_liquid,99.985815
168,TRADE,ASK,99.96,0.251,0,stable_liquid,99.984428
169,CANCEL,BID,99.93,3.6522,0,stable_liquid,99.979231
170,ADD,BID,99.93,7.5634,0,stable_liquid,99.969165
171,ADD,ASK,99.98,5.9469,0,stable_liquid,99.966622
172,ADD,ASK,99.98,9.7565,0,stable_liquid,99.965135
173,TRADE,BID,99.98,6.0839,0,stable_liquid,99.967299
174,ADD,ASK,100.0,7.8857,0,stable_liquid,99.969061
175,ADD,ASK,100.0,5.7235,0,stable_liquid,99.973815
176,ADD,BID,99.92,17.7085,0,stable_liquid,99.969974
177,CANCEL,BID,99.93,7.9137,0,stable_liquid,99.970159
178,CANCEL,ASK,100.04,5.9575,0,stable_liquid,99.965414
179,TRADE,ASK,99.95,0.4612,0,stable_liquid,99.96745
180,ADD,ASK,99.98,6.0088,0,stable_liquid,99.964687
181,ADD,BID,99.93,6.0677,0,stable_liquid,99.966794
182,ADD,ASK,100.02,5.5812,0,stable_liquid,99.971869
183,ADD,BID,99.96,6.856,0,stable_liquid,99.968915
184,ADD,BID,99.97,6.4263,0,stable_liquid,99.977383
185,ADD,ASK,100.03,6.7875,0,stable_liquid,99.979508
186,CANCEL,ASK,99.99,0.3084,0,stable_liquid,99.98354
187,ADD,ASK,100.01,8.7148,0,stable_liquid,99.985792
188,ADD,ASK,100.01,5.1373,0,stable_liquid,99.97886
189,ADD,ASK,100.02,6.8191,0,stable_liquid,99.978611
190,ADD,ASK,99.99,6.0929,0,stable_liquid,99.981443
191,ADD,ASK,99.99,7.1474,0,stable_liquid,99.977116
192,ADD,BID,99.97,9.1893,0,stable_liquid,99.977523
193,ADD,BID,99.96,5.5471,0,stable_liquid,99.976354
194,ADD,ASK,100.0,5.8274,0,stable_liquid,99.973531
195,ADD,ASK,100.02,5.0217,0,stable_liquid,99.971001
196,ADD,ASK,100.01,7.7309,0,stable_liquid,99.967681
197,ADD,BID,99.94,15.5265,0,stable_liquid,99.965707
198,CANCEL,BID,99.96,4.9897,0,stable_liquid,99.965225
199,CANCEL,BID,99.97,14.2718,0,stable_liquid,99.963003
200,CANCEL,BID,99.97,0.7402,0,stable_liquid,99.963007
201,CANCEL,BID,99.94,12.5837,0,stable_liquid,99.959042
202,CANCEL,ASK,99.98,12.6634,0,stable_liquid,99.958629
