label,class_value,count,fraction
future_mid_direction,0,1966,0.47011
future_mid_direction,1,519,0.124103
future_mid_direction,2,1697,0.405787
future_return_bucket,1,4182,1.0
volatility_regime,0,2091,0.5
volatility_regime,1,2091,0.5
spread_widening,0,2657,0.635342
spread_widening,1,1525,0.364658
adverse_selection_proxy,0,1840,0.439981
adverse_selection_proxy,1,2342,0.560019
regime_label,0,602,0.14395
regime_label,1,600,0.143472
regime_label,2,600,0.143472
regime_label,3,600,0.143472
regime_label,4,600,0.143472
regime_label,5,600,0.143472
regime_label,6,580,0.13869
next_regime_id,0,582,0.139168
next_regime_id,1,600,0.143472
next_regime_id,2,600,0.143472
next_regime_id,3,600,0.143472
next_regime_id,4,600,0.143472
next_regime_id,5,600,0.143472
next_regime_id,6,600,0.143472
